date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-05,PT,,,9.0,,,,,,
2020-03-06,PT,,,13.0,,,,,,
2020-03-07,PT,,,21.0,,,,,,
2020-03-08,PT,,,30.0,,,,,,
2020-03-09,PT,,,38.0,,,,,,
2020-03-10,PT,,,40.0,,,,,,
2020-03-11,PT,,,57.0,,,,,,
2020-03-12,PT,,,69.0,,,,,,
2020-03-13,PT,,,107.0,,,,,,
2020-03-14,PT,,,114.0,,,10.0,,,
2020-03-15,PT,,,139.0,,,9.0,,,
2020-03-16,PT,,,139.0,,,18.0,,,
2020-03-17,PT,,,206.0,,,17.0,,,
2020-03-18,PT,,,89.0,,,20.0,,,
2020-03-19,PT,,,89.0,,,20.0,,,
2020-03-20,PT,,,126.0,,,26.0,,,
2020-03-21,PT,,,156.0,,,35.0,,,
2020-03-22,PT,,,169.0,,,41.0,,,
2020-03-23,PT,,,201.0,,,47.0,,,
2020-03-24,PT,,,203.0,,,48.0,,,
2020-03-25,PT,,,276.0,,,61.0,,,
2020-03-26,PT,,,191.0,,,61.0,,,
2020-03-27,PT,,,354.0,,,71.0,,,
2020-03-28,PT,,,418.0,,,89.0,,,
2020-03-29,PT,,,486.0,,,138.0,,,
2020-03-30,PT,,,571.0,,,164.0,,,
2020-03-31,PT,,,627.0,,,188.0,,,
2020-04-01,PT,,,726.0,,,230.0,,,
2020-04-02,PT,,,1042.0,,,240.0,,,
2020-04-03,PT,,,1058.0,,,245.0,,,
2020-04-04,PT,,,1075.0,,,251.0,,,
2020-04-05,PT,,,1084.0,,,267.0,,,
2020-04-06,PT,,,1099.0,,,270.0,,,
2020-04-07,PT,,,1180.0,,,271.0,,,
2020-04-08,PT,,,1211.0,,,245.0,,,
2020-04-09,PT,,,1173.0,,,241.0,,,
2020-04-10,PT,,,1179.0,,,226.0,,,
2020-04-11,PT,,,1175.0,,,233.0,,,
2020-04-12,PT,,,1177.0,,,228.0,,,
2020-04-13,PT,,,1187.0,,,188.0,,,
2020-04-14,PT,,,1227.0,,,218.0,,,
2020-04-15,PT,,,1200.0,,,208.0,,,
