date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-06,SE,,,,1.0,1.0,,,,
2020-03-07,SE,,,,1.0,2.0,,,,
2020-03-08,SE,,,,1.0,3.0,,,,
2020-03-09,SE,,,,0.0,3.0,,,,
2020-03-10,SE,,,,2.0,5.0,,,,
2020-03-11,SE,,,,1.0,6.0,,,,
2020-03-12,SE,,,,0.0,6.0,,,,
2020-03-13,SE,,,,2.0,8.0,,,,
2020-03-14,SE,,,,6.0,14.0,,,,
2020-03-15,SE,,,,5.0,19.0,,,,
2020-03-16,SE,,,,5.0,24.0,,,,
2020-03-17,SE,,,,3.0,27.0,,,,
2020-03-18,SE,,,,15.0,42.0,,,,
2020-03-19,SE,,,,8.0,50.0,,,,
2020-03-20,SE,,,,17.0,67.0,,,,
2020-03-21,SE,,,,13.0,80.0,,,,
2020-03-22,SE,,,,27.0,107.0,,,,
2020-03-23,SE,,,,37.0,144.0,,,,
2020-03-24,SE,,,,32.0,176.0,,,,
2020-03-25,SE,,,,31.0,207.0,,,,
2020-03-26,SE,,,,40.0,247.0,,,,
2020-03-27,SE,,,,29.0,276.0,,,,
2020-03-28,SE,,,,28.0,304.0,,,,
2020-03-29,SE,,,,41.0,345.0,,,,
2020-03-30,SE,,,,29.0,374.0,,,,
2020-03-31,SE,,,,34.0,408.0,,,,
2020-04-01,SE,,,,48.0,456.0,,,,
2020-04-02,SE,,,,47.0,503.0,,,,
2020-04-03,SE,,,,39.0,542.0,,,,
2020-04-04,SE,,,,36.0,578.0,,,,
2020-04-05,SE,,,,44.0,622.0,,,,
2020-04-06,SE,,,,44.0,666.0,,,,
2020-04-07,SE,,,,45.0,711.0,,,,
2020-04-08,SE,,,,47.0,758.0,,,,
2020-04-09,SE,,,,36.0,794.0,,,,
2020-04-10,SE,,,,36.0,830.0,,,,
2020-04-11,SE,,,,45.0,875.0,,,,
2020-04-12,SE,,,,36.0,911.0,,,,
2020-04-13,SE,,,,43.0,954.0,,,,
2020-04-14,SE,,,,41.0,995.0,,,,
2020-04-15,SE,,,,32.0,1027.0,,,,
2020-04-16,SE,,,,33.0,1060.0,,,,
2020-04-17,SE,,,,39.0,1099.0,,,,
2020-04-18,SE,,,,29.0,1128.0,,,,
2020-04-19,SE,,,,33.0,1161.0,,,,
2020-04-20,SE,,,,28.0,1189.0,,,,
2020-04-21,SE,,,,34.0,1223.0,,,,
2020-04-22,SE,,,,49.0,1272.0,,,,
2020-04-23,SE,,,,27.0,1299.0,,,,
2020-04-24,SE,,,,46.0,1345.0,,,,
2020-04-25,SE,,,,28.0,1373.0,,,,
2020-04-26,SE,,,,26.0,1399.0,,,,
2020-04-27,SE,,,,28.0,1427.0,,,,
2020-04-28,SE,,,,32.0,1459.0,,,,
2020-04-29,SE,,,,25.0,1484.0,,,,
2020-04-30,SE,,,,33.0,1517.0,,,,
2020-05-01,SE,,,,15.0,1532.0,,,,
2020-05-02,SE,,,,28.0,1560.0,,,,
2020-05-03,SE,,,,27.0,1587.0,,,,
2020-05-04,SE,,,,25.0,1612.0,,,,
2020-05-05,SE,,,,20.0,1632.0,,,,
