date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-01-13,US,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
2020-01-14,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
