date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-01-04,US_AR,0.0,0.0,,,,0.0,,,
2020-01-05,US_AR,0.0,0.0,,,,0.0,,,
2020-01-06,US_AR,0.0,0.0,,,,0.0,,,
2020-01-07,US_AR,0.0,0.0,,,,0.0,,,
2020-01-08,US_AR,0.0,0.0,,,,0.0,,,
2020-03-06,US_AR,0.0,,,,,,,,
2020-03-07,US_AR,0.0,,,,,,,,
2020-03-08,US_AR,0.0,,,,,,,,
2020-03-09,US_AR,0.0,,,,,,,,
2020-03-10,US_AR,0.0,,,,,,,,
2020-03-11,US_AR,0.0,,,,,,,,
2020-03-12,US_AR,0.0,,,,,,,,
2020-03-13,US_AR,0.0,,,,,,,,
2020-03-14,US_AR,0.0,,,,,,,,
2020-03-15,US_AR,0.0,,,,,,,,
2020-03-16,US_AR,0.0,,,,,,,,
2020-03-17,US_AR,0.0,,,,,,,,
2020-03-18,US_AR,0.0,,,,,,,,
2020-03-19,US_AR,0.0,,,,,,,,
2020-03-20,US_AR,0.0,,,,,,,,
2020-03-21,US_AR,0.0,,,,,,,,
2020-03-22,US_AR,0.0,,13.0,,,,,,
2020-03-23,US_AR,0.0,,13.0,,,,,,
2020-03-24,US_AR,0.0,,22.0,,,,,,
2020-03-25,US_AR,0.0,,22.0,,,,,,4.0
2020-03-26,US_AR,0.0,,41.0,,,,,,13.0
2020-03-27,US_AR,0.0,,48.0,,,,,,17.0
2020-03-28,US_AR,0.0,,48.0,,,,,,17.0
2020-03-29,US_AR,0.0,,43.0,,,,,,16.0
2020-03-30,US_AR,0.0,,62.0,,,,,,21.0
2020-03-31,US_AR,0.0,,64.0,,,,,,23.0
2020-04-01,US_AR,90.0,90.0,56.0,,,,,32.0,25.0
2020-04-02,US_AR,10.0,100.0,66.0,,,,0.0,32.0,23.0
2020-04-03,US_AR,5.0,105.0,71.0,,,,7.0,39.0,26.0
2020-04-04,US_AR,1.0,106.0,72.0,,,,0.0,39.0,23.0
2020-04-05,US_AR,24.0,130.0,67.0,,,,0.0,39.0,27.0
2020-04-06,US_AR,7.0,137.0,74.0,,,,0.0,39.0,22.0
2020-04-07,US_AR,11.0,148.0,74.0,,,,4.0,43.0,26.0
2020-04-08,US_AR,-18.0,130.0,76.0,,43.0,,-4.0,39.0,30.0
2020-04-09,US_AR,0.0,130.0,73.0,0.0,43.0,,0.0,39.0,31.0
2020-04-10,US_AR,0.0,130.0,86.0,0.0,43.0,,0.0,39.0,33.0
2020-04-11,US_AR,0.0,130.0,86.0,0.0,43.0,,0.0,39.0,33.0
2020-04-12,US_AR,0.0,130.0,74.0,0.0,43.0,,0.0,39.0,30.0
2020-04-13,US_AR,0.0,130.0,74.0,0.0,43.0,,0.0,39.0,28.0
2020-04-14,US_AR,0.0,130.0,81.0,0.0,43.0,,0.0,39.0,29.0
2020-04-15,US_AR,0.0,130.0,83.0,0.0,43.0,,0.0,39.0,26.0
2020-04-16,US_AR,0.0,130.0,85.0,0.0,,,0.0,39.0,21.0
2020-04-17,US_AR,0.0,130.0,83.0,0.0,,,0.0,39.0,21.0
2020-04-18,US_AR,161.0,291.0,86.0,0.0,,,18.0,57.0,22.0
2020-04-19,US_AR,0.0,291.0,88.0,0.0,,,0.0,57.0,25.0
2020-04-20,US_AR,0.0,291.0,93.0,0.0,,,0.0,57.0,24.0
2020-04-21,US_AR,0.0,291.0,86.0,0.0,,,0.0,57.0,27.0
2020-04-22,US_AR,0.0,291.0,97.0,0.0,,,0.0,57.0,23.0
2020-04-23,US_AR,0.0,291.0,101.0,0.0,,,0.0,57.0,24.0
2020-04-24,US_AR,0.0,291.0,101.0,0.0,,,0.0,57.0,24.0
2020-04-25,US_AR,0.0,291.0,104.0,0.0,,,0.0,57.0,25.0
2020-04-26,US_AR,0.0,291.0,104.0,0.0,,,0.0,57.0,25.0
2020-04-27,US_AR,0.0,291.0,109.0,0.0,,,0.0,57.0,25.0
2020-04-28,US_AR,0.0,291.0,104.0,0.0,,,0.0,57.0,20.0
2020-04-29,US_AR,98.0,389.0,93.0,0.0,,,25.0,82.0,18.0
2020-04-30,US_AR,13.0,402.0,95.0,0.0,,,3.0,85.0,23.0
2020-05-01,US_AR,12.0,414.0,95.0,0.0,,,0.0,85.0,23.0
2020-05-02,US_AR,0.0,414.0,95.0,0.0,,,0.0,85.0,20.0
2020-05-03,US_AR,13.0,427.0,100.0,0.0,,,3.0,88.0,20.0
2020-05-04,US_AR,11.0,438.0,91.0,0.0,,,0.0,88.0,16.0
2020-05-05,US_AR,15.0,453.0,89.0,0.0,,,1.0,89.0,16.0
2020-05-06,US_AR,0.0,453.0,69.0,0.0,,,0.0,89.0,14.0
2020-05-07,US_AR,9.0,462.0,69.0,0.0,,,4.0,93.0,14.0
2020-05-08,US_AR,4.0,466.0,70.0,0.0,,,0.0,93.0,14.0
2020-05-09,US_AR,5.0,471.0,64.0,0.0,,,3.0,96.0,14.0
2020-05-10,US_AR,0.0,471.0,64.0,0.0,,,0.0,96.0,14.0
2020-05-11,US_AR,9.0,480.0,61.0,0.0,,,2.0,98.0,11.0
2020-05-12,US_AR,5.0,485.0,59.0,0.0,,,0.0,98.0,12.0
2020-05-13,US_AR,12.0,497.0,59.0,0.0,,,1.0,99.0,12.0
2020-05-14,US_AR,12.0,509.0,64.0,0.0,,,1.0,100.0,13.0
2020-05-15,US_AR,11.0,520.0,65.0,0.0,,,1.0,101.0,9.0
2020-05-16,US_AR,0.0,520.0,65.0,0.0,,,0.0,101.0,10.0
2020-05-17,US_AR,0.0,520.0,65.0,0.0,,,0.0,101.0,9.0
2020-05-18,US_AR,10.0,530.0,77.0,0.0,,,0.0,101.0,12.0
2020-05-19,US_AR,5.0,535.0,78.0,0.0,,,0.0,101.0,14.0
2020-05-20,US_AR,0.0,535.0,78.0,0.0,,,0.0,101.0,14.0
2020-05-21,US_AR,0.0,535.0,78.0,0.0,,,0.0,101.0,14.0
2020-05-22,US_AR,49.0,584.0,86.0,0.0,,,9.0,110.0,14.0
2020-05-23,US_AR,6.0,590.0,81.0,0.0,,,1.0,111.0,14.0
2020-05-24,US_AR,8.0,598.0,86.0,0.0,,,0.0,111.0,17.0
2020-05-25,US_AR,7.0,605.0,92.0,0.0,,,0.0,111.0,17.0
2020-05-26,US_AR,12.0,617.0,107.0,0.0,,,3.0,114.0,18.0
2020-05-27,US_AR,10.0,627.0,108.0,0.0,,,2.0,116.0,22.0
2020-05-28,US_AR,13.0,640.0,104.0,0.0,,,2.0,118.0,27.0
2020-05-29,US_AR,27.0,667.0,104.0,0.0,,,1.0,119.0,27.0
2020-05-30,US_AR,35.0,702.0,104.0,0.0,,,4.0,123.0,26.0
2020-05-31,US_AR,9.0,711.0,115.0,0.0,,,0.0,123.0,27.0
2020-06-01,US_AR,0.0,711.0,115.0,0.0,,,0.0,123.0,27.0
2020-06-02,US_AR,7.0,718.0,121.0,0.0,,,1.0,124.0,26.0
2020-06-03,US_AR,13.0,731.0,132.0,0.0,,,0.0,124.0,31.0
2020-06-04,US_AR,26.0,757.0,138.0,0.0,,,3.0,127.0,30.0
2020-06-05,US_AR,35.0,792.0,147.0,0.0,,,11.0,138.0,32.0
2020-06-06,US_AR,46.0,838.0,154.0,0.0,,,4.0,142.0,36.0
2020-06-07,US_AR,6.0,844.0,145.0,0.0,,,1.0,143.0,35.0
2020-06-08,US_AR,0.0,844.0,171.0,0.0,,,0.0,143.0,46.0
2020-06-09,US_AR,21.0,865.0,173.0,0.0,,,1.0,144.0,44.0
2020-06-10,US_AR,36.0,901.0,181.0,0.0,,,3.0,147.0,49.0
2020-06-11,US_AR,24.0,925.0,187.0,0.0,,,3.0,150.0,45.0
2020-06-12,US_AR,36.0,961.0,203.0,0.0,,,7.0,157.0,49.0
2020-06-13,US_AR,18.0,979.0,203.0,0.0,,,3.0,160.0,49.0
2020-06-14,US_AR,19.0,998.0,204.0,0.0,,,2.0,162.0,46.0
2020-06-15,US_AR,5.0,1003.0,206.0,0.0,,,1.0,163.0,45.0
2020-06-16,US_AR,23.0,1026.0,214.0,0.0,,,2.0,165.0,45.0
2020-06-17,US_AR,26.0,1052.0,217.0,0.0,,,3.0,168.0,53.0
2020-06-18,US_AR,22.0,1074.0,226.0,0.0,,,5.0,173.0,53.0
2020-06-19,US_AR,26.0,1100.0,224.0,0.0,,,2.0,175.0,53.0
2020-06-20,US_AR,0.0,1100.0,224.0,0.0,,,0.0,175.0,53.0
2020-06-21,US_AR,52.0,1152.0,240.0,0.0,,,9.0,184.0,59.0
