date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-04,US_AZ,0.0,4.0,,,,,,,
2020-03-05,US_AZ,1.0,5.0,,,,,,,
2020-03-06,US_AZ,1.0,6.0,,,,,,,
2020-03-07,US_AZ,0.0,6.0,,,,,,,
2020-03-08,US_AZ,0.0,6.0,,,,,,,
2020-03-09,US_AZ,2.0,8.0,,,,,,,
2020-03-10,US_AZ,0.0,8.0,,,,,,,
2020-03-11,US_AZ,3.0,11.0,,,,,,,
2020-03-12,US_AZ,5.0,16.0,,,,,,,
2020-03-13,US_AZ,6.0,22.0,,,,,,,
2020-03-14,US_AZ,4.0,26.0,,,,,,,
2020-03-15,US_AZ,10.0,36.0,,,,,,,
2020-03-16,US_AZ,6.0,42.0,,,,,,,
2020-03-17,US_AZ,13.0,55.0,,,,,,,
2020-03-18,US_AZ,12.0,67.0,,,,,,,
2020-03-19,US_AZ,18.0,85.0,,,,,,,
2020-03-20,US_AZ,23.0,108.0,,,,,,,
2020-03-21,US_AZ,20.0,128.0,,,,,,,
2020-03-22,US_AZ,17.0,145.0,,,,,,,
2020-03-23,US_AZ,44.0,189.0,,,,,,,
2020-03-24,US_AZ,30.0,219.0,,,,,,,
2020-03-25,US_AZ,45.0,264.0,,,,,,,
2020-03-26,US_AZ,39.0,303.0,,,,,,,
2020-03-27,US_AZ,40.0,343.0,,,,,,,
2020-03-28,US_AZ,43.0,386.0,,,,,,,
2020-03-29,US_AZ,41.0,427.0,,,,,,,
2020-03-30,US_AZ,51.0,478.0,,,,,,,
2020-03-31,US_AZ,56.0,534.0,,,,,,,
2020-04-01,US_AZ,48.0,582.0,,,,,,,
2020-04-02,US_AZ,34.0,616.0,,,,,,,
2020-04-03,US_AZ,51.0,667.0,,,,,,,
2020-04-04,US_AZ,44.0,711.0,,,,,,,
2020-04-05,US_AZ,49.0,760.0,,,,,,,
2020-04-06,US_AZ,59.0,819.0,,,,,,,
2020-04-07,US_AZ,34.0,853.0,,,,,,,
2020-04-08,US_AZ,53.0,906.0,,,,,,,
2020-04-09,US_AZ,44.0,950.0,,,,,,,
2020-04-10,US_AZ,45.0,995.0,,,,,,,
2020-04-11,US_AZ,42.0,1037.0,,,,,,,
2020-04-12,US_AZ,37.0,1074.0,,,,,,,
2020-04-13,US_AZ,48.0,1122.0,525.0,,,286.0,,,195.0
2020-04-14,US_AZ,49.0,1171.0,580.0,,,286.0,,,216.0
2020-04-15,US_AZ,42.0,1213.0,590.0,,,286.0,,,202.0
2020-04-16,US_AZ,45.0,1258.0,578.0,,,278.0,,,188.0
2020-04-17,US_AZ,31.0,1289.0,566.0,,,285.0,,,178.0
2020-04-18,US_AZ,52.0,1341.0,566.0,,,285.0,,,178.0
2020-04-19,US_AZ,46.0,1387.0,631.0,,,283.0,,,187.0
2020-04-20,US_AZ,67.0,1454.0,637.0,,,285.0,,,181.0
2020-04-21,US_AZ,30.0,1484.0,637.0,,,285.0,,,181.0
2020-04-22,US_AZ,44.0,1528.0,664.0,,,300.0,,,195.0
2020-04-23,US_AZ,44.0,1572.0,699.0,,,305.0,,,201.0
2020-04-24,US_AZ,54.0,1626.0,639.0,,,332.0,,,186.0
2020-04-25,US_AZ,46.0,1672.0,697.0,,,313.0,,,191.0
2020-04-26,US_AZ,44.0,1716.0,671.0,,,308.0,,,200.0
2020-04-27,US_AZ,56.0,1772.0,647.0,,,328.0,,,200.0
2020-04-28,US_AZ,52.0,1824.0,737.0,,,303.0,,,193.0
2020-04-29,US_AZ,60.0,1884.0,756.0,,,312.0,,,191.0
2020-04-30,US_AZ,53.0,1937.0,755.0,,,311.0,,,194.0
2020-05-01,US_AZ,49.0,1986.0,709.0,,,311.0,,,187.0
2020-05-02,US_AZ,47.0,2033.0,718.0,,,291.0,,,198.0
2020-05-03,US_AZ,56.0,2089.0,732.0,,,282.0,,,192.0
2020-05-04,US_AZ,46.0,2135.0,703.0,,,288.0,,,200.0
2020-05-05,US_AZ,57.0,2192.0,728.0,,,303.0,,,185.0
2020-05-06,US_AZ,52.0,2244.0,754.0,,,286.0,,,193.0
2020-05-07,US_AZ,48.0,2292.0,766.0,,,288.0,,,196.0
2020-05-08,US_AZ,58.0,2350.0,730.0,,,295.0,,,197.0
2020-05-09,US_AZ,36.0,2386.0,739.0,,,296.0,,,186.0
2020-05-10,US_AZ,35.0,2421.0,713.0,,,300.0,,,195.0
2020-05-11,US_AZ,41.0,2462.0,717.0,,,297.0,,,201.0
2020-05-12,US_AZ,42.0,2504.0,765.0,,,318.0,,,204.0
2020-05-13,US_AZ,39.0,2543.0,755.0,,,292.0,,,191.0
2020-05-14,US_AZ,52.0,2595.0,781.0,,,323.0,,,201.0
2020-05-15,US_AZ,41.0,2636.0,808.0,,,313.0,,,222.0
2020-05-16,US_AZ,37.0,2673.0,791.0,,,344.0,,,210.0
2020-05-17,US_AZ,30.0,2703.0,796.0,,,337.0,,,201.0
2020-05-18,US_AZ,54.0,2757.0,820.0,,,329.0,,,200.0
2020-05-19,US_AZ,43.0,2800.0,792.0,,,318.0,,,201.0
2020-05-20,US_AZ,36.0,2836.0,810.0,,,298.0,,,208.0
2020-05-21,US_AZ,49.0,2885.0,812.0,,,299.0,,,197.0
2020-05-22,US_AZ,58.0,2943.0,796.0,,,311.0,,,203.0
2020-05-23,US_AZ,41.0,2984.0,784.0,,,309.0,,,193.0
2020-05-24,US_AZ,42.0,3026.0,804.0,,,322.0,,,201.0
2020-05-25,US_AZ,51.0,3077.0,833.0,,,334.0,,,212.0
2020-05-26,US_AZ,45.0,3122.0,818.0,,,336.0,,,208.0
2020-05-27,US_AZ,50.0,3172.0,911.0,,,375.0,,,237.0
2020-05-28,US_AZ,51.0,3223.0,945.0,,,374.0,,,222.0
2020-05-29,US_AZ,58.0,3281.0,931.0,,,378.0,,,238.0
2020-05-30,US_AZ,53.0,3334.0,975.0,,,386.0,,,241.0
2020-05-31,US_AZ,45.0,3379.0,973.0,,,376.0,,,239.0
2020-06-01,US_AZ,66.0,3445.0,968.0,,,377.0,,,238.0
2020-06-02,US_AZ,75.0,3520.0,1009.0,,,380.0,,,235.0
2020-06-03,US_AZ,69.0,3589.0,1092.0,,,379.0,,,239.0
2020-06-04,US_AZ,53.0,3642.0,1079.0,,,375.0,,,223.0
2020-06-05,US_AZ,70.0,3712.0,1234.0,,,375.0,,,241.0
2020-06-06,US_AZ,65.0,3777.0,1278.0,,,391.0,,,292.0
2020-06-07,US_AZ,70.0,3847.0,1252.0,,,392.0,,,248.0
2020-06-08,US_AZ,64.0,3911.0,1266.0,,,390.0,,,246.0
2020-06-09,US_AZ,48.0,3959.0,1243.0,,,438.0,,,264.0
2020-06-10,US_AZ,41.0,4000.0,1274.0,,,413.0,,,273.0
2020-06-11,US_AZ,41.0,4041.0,1291.0,,,429.0,,,278.0
2020-06-12,US_AZ,38.0,4079.0,1336.0,,,429.0,,,278.0
2020-06-13,US_AZ,36.0,4115.0,1412.0,,,447.0,,,309.0
2020-06-14,US_AZ,33.0,4148.0,1457.0,,,452.0,,,317.0
2020-06-15,US_AZ,34.0,4182.0,1449.0,,,464.0,,,307.0
2020-06-16,US_AZ,27.0,4209.0,1506.0,,,502.0,,,340.0
2020-06-17,US_AZ,15.0,4224.0,1582.0,,,531.0,,,346.0
2020-06-18,US_AZ,17.0,4241.0,1667.0,,,540.0,,,341.0
2020-06-19,US_AZ,5.0,4246.0,1832.0,,,519.0,,,362.0
2020-06-20,US_AZ,6.0,4252.0,1938.0,,,546.0,,,368.0
2020-06-21,US_AZ,3.0,4255.0,1942.0,,,556.0,,,361.0
2020-06-22,US_AZ,0.0,4255.0,1992.0,,,583.0,,,379.0
2020-06-23,US_AZ,0.0,4255.0,2136.0,,,614.0,,,386.0
2020-06-24,US_AZ,58.0,4313.0,2270.0,,,581.0,,,407.0
2020-06-25,US_AZ,93.0,4406.0,2453.0,,,611.0,,,415.0
2020-06-26,US_AZ,108.0,4514.0,2110.0,,,581.0,,,312.0
2020-06-27,US_AZ,81.0,4595.0,2577.0,,,657.0,,,433.0
2020-06-28,US_AZ,22.0,4617.0,2691.0,,,666.0,,,475.0
2020-06-29,US_AZ,17.0,4634.0,2721.0,,,679.0,,,465.0
2020-06-30,US_AZ,102.0,4736.0,2793.0,,,683.0,,,455.0
2020-07-01,US_AZ,101.0,4837.0,2876.0,,,675.0,,,466.0
2020-07-02,US_AZ,79.0,4916.0,2938.0,,,723.0,,,488.0
2020-07-03,US_AZ,102.0,5018.0,3013.0,,,741.0,,,489.0
2020-07-04,US_AZ,50.0,5068.0,3113.0,,,796.0,,,413.0
2020-07-05,US_AZ,93.0,5161.0,3182.0,,,821.0,,,531.0
2020-07-06,US_AZ,27.0,5188.0,3212.0,,,839.0,,,533.0
2020-07-07,US_AZ,84.0,5272.0,3356.0,,,869.0,,,544.0
2020-07-08,US_AZ,115.0,5387.0,3421.0,,,871.0,,,570.0
2020-07-09,US_AZ,139.0,5526.0,3437.0,,,861.0,,,575.0
2020-07-10,US_AZ,133.0,5659.0,3432.0,,,876.0,,,615.0
2020-07-11,US_AZ,91.0,5750.0,3485.0,,,899.0,,,620.0
2020-07-12,US_AZ,45.0,5795.0,3432.0,,,922.0,,,631.0
2020-07-13,US_AZ,44.0,5839.0,3373.0,,,936.0,,,671.0
2020-07-14,US_AZ,103.0,5942.0,3517.0,,,970.0,,,674.0
2020-07-15,US_AZ,195.0,195.0,2110.0,,,571.0,,,671.0
2020-07-16,US_AZ,173.0,368.0,2245.0,,,555.0,,,657.0
2020-07-17,US_AZ,141.0,509.0,2289.0,,,637.0,,,687.0
2020-07-18,US_AZ,145.0,654.0,2194.0,,,554.0,,,657.0
2020-07-19,US_AZ,151.0,805.0,2227.0,,,638.0,,,622.0
2020-07-20,US_AZ,142.0,947.0,2251.0,,,649.0,,,622.0
2020-07-21,US_AZ,275.0,1222.0,2164.0,,,654.0,,,608.0
2020-07-22,US_AZ,259.0,1481.0,2029.0,,,630.0,,,609.0
2020-07-23,US_AZ,267.0,1748.0,2343.0,,,750.0,,,617.0
2020-07-24,US_AZ,281.0,2029.0,2241.0,,,767.0,,,575.0
2020-07-25,US_AZ,248.0,2277.0,2410.0,,,767.0,,,594.0
2020-07-26,US_AZ,265.0,2542.0,2228.0,,,751.0,,,581.0
2020-07-27,US_AZ,222.0,2764.0,2041.0,,,739.0,,,567.0
2020-07-28,US_AZ,263.0,3027.0,2004.0,,,734.0,,,574.0
2020-07-29,US_AZ,136.0,3163.0,1908.0,,,702.0,,,561.0
2020-07-30,US_AZ,131.0,3294.0,1829.0,,,648.0,,,531.0
