date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-04,US_CA,0.0,,,,,,,,
2020-03-05,US_CA,0.0,,,,,,,,
2020-03-06,US_CA,0.0,,,,,,,,
2020-03-07,US_CA,0.0,,,,,,,,
2020-03-08,US_CA,0.0,,,,,,,,
2020-03-09,US_CA,0.0,,,,,,,,
2020-03-10,US_CA,0.0,,,,,,,,
2020-03-11,US_CA,0.0,,,,,,,,
2020-03-12,US_CA,0.0,,,,,,,,
2020-03-13,US_CA,0.0,,,,,,,,
2020-03-14,US_CA,0.0,,,,,,,,
2020-03-15,US_CA,0.0,,,,,,,,
2020-03-16,US_CA,0.0,,,,,,,,
2020-03-17,US_CA,0.0,,,,,,,,
2020-03-18,US_CA,0.0,,,,,,,,
2020-03-19,US_CA,0.0,,,,,,,,
2020-03-20,US_CA,0.0,,,,,,,,
2020-03-21,US_CA,0.0,,,,,,,,
2020-03-22,US_CA,0.0,,,,,,,,
2020-03-23,US_CA,0.0,,,,,,,,
2020-03-24,US_CA,0.0,,,,,,,,
2020-03-25,US_CA,0.0,,,,,,,,
2020-03-26,US_CA,0.0,,,,,,,,
2020-03-27,US_CA,0.0,,746.0,,,200.0,,,
2020-03-28,US_CA,0.0,,1034.0,,,410.0,,,
2020-03-29,US_CA,0.0,,1034.0,,,410.0,,,
2020-03-30,US_CA,0.0,,1432.0,,,597.0,,,
2020-03-31,US_CA,0.0,,1617.0,,,657.0,,,
2020-04-01,US_CA,0.0,,1855.0,,,774.0,,,
2020-04-02,US_CA,0.0,,1922.0,,,816.0,,,
2020-04-03,US_CA,0.0,,2188.0,,,901.0,,,
2020-04-04,US_CA,0.0,,2300.0,,,1008.0,,,
2020-04-05,US_CA,0.0,,2398.0,,,1040.0,,,
2020-04-06,US_CA,0.0,,2509.0,,,1085.0,,,
2020-04-07,US_CA,0.0,,2611.0,,,1108.0,,,
2020-04-08,US_CA,0.0,,2714.0,,,1154.0,,,
2020-04-09,US_CA,0.0,,2825.0,,,1132.0,,,
2020-04-10,US_CA,0.0,,2897.0,,,1145.0,,,
2020-04-11,US_CA,0.0,,5236.0,,,1591.0,,,
2020-04-12,US_CA,0.0,,5234.0,,,1539.0,,,
2020-04-13,US_CA,0.0,,3015.0,,,1178.0,,,
2020-04-14,US_CA,0.0,,5163.0,,,1552.0,,,
2020-04-15,US_CA,0.0,,5163.0,,,1175.0,,,
2020-04-16,US_CA,0.0,,5031.0,,,1568.0,,,
2020-04-17,US_CA,0.0,,4892.0,,,1484.0,,,
2020-04-18,US_CA,0.0,,4936.0,,,1490.0,,,
2020-04-19,US_CA,0.0,,4731.0,,,1457.0,,,
2020-04-20,US_CA,0.0,,4674.0,,,1480.0,,,
2020-04-21,US_CA,0.0,,4886.0,,,1502.0,,,
2020-04-22,US_CA,0.0,,4984.0,,,1551.0,,,
2020-04-23,US_CA,0.0,,4929.0,,,1531.0,,,
2020-04-24,US_CA,0.0,,4880.0,,,1521.0,,,
2020-04-25,US_CA,0.0,,4847.0,,,1458.0,,,
2020-04-26,US_CA,0.0,,4928.0,,,1473.0,,,
2020-04-27,US_CA,0.0,,4878.0,,,1499.0,,,
2020-04-28,US_CA,0.0,,4983.0,,,1485.0,,,
2020-04-29,US_CA,0.0,,5011.0,,,1512.0,,,
2020-04-30,US_CA,0.0,,4981.0,,,1473.0,,,
2020-05-01,US_CA,0.0,,4706.0,,,1434.0,,,
2020-05-02,US_CA,0.0,,4722.0,,,1433.0,,,
2020-05-03,US_CA,0.0,,4734.0,,,1468.0,,,
2020-05-04,US_CA,0.0,,4616.0,,,1464.0,,,
2020-05-05,US_CA,0.0,,4622.0,,,1388.0,,,
2020-05-06,US_CA,0.0,,4681.0,,,1415.0,,,
2020-05-07,US_CA,0.0,,4560.0,,,1374.0,,,
2020-05-08,US_CA,0.0,,4514.0,,,1342.0,,,
2020-05-09,US_CA,0.0,,4538.0,,,1349.0,,,
2020-05-10,US_CA,0.0,,4555.0,,,1328.0,,,
