date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-04,US_GA,0.0,,,,,,,,
2020-03-05,US_GA,0.0,,,,,,,,
2020-03-06,US_GA,0.0,,,,,,,,
2020-03-07,US_GA,0.0,,,,,,,,
2020-03-08,US_GA,0.0,,,,,,,,
2020-03-09,US_GA,0.0,,,,,,,,
2020-03-10,US_GA,0.0,,,,,,,,
2020-03-11,US_GA,0.0,,,,,,,,
2020-03-12,US_GA,0.0,,,,,,,,
2020-03-13,US_GA,0.0,,,,,,,,
2020-03-14,US_GA,0.0,,,,,,,,
2020-03-15,US_GA,0.0,,,,,,,,
2020-03-16,US_GA,0.0,,,,,,,,
2020-03-17,US_GA,0.0,,,,,,,,
2020-03-18,US_GA,0.0,,,,,,,,
2020-03-19,US_GA,0.0,,,,,,,,
2020-03-20,US_GA,0.0,,,,,,,,
2020-03-21,US_GA,0.0,,,,,,,,
2020-03-22,US_GA,0.0,,,,,,,,
2020-03-23,US_GA,0.0,,,,,,,,
2020-03-24,US_GA,0.0,,,,,,,,
2020-03-25,US_GA,394.0,394.0,,,,,,,
2020-03-26,US_GA,79.0,473.0,,,,,,,
2020-03-27,US_GA,93.0,566.0,,,,,,,
2020-03-28,US_GA,51.0,617.0,,,,,,,
2020-03-29,US_GA,49.0,666.0,,,,,,,
2020-03-30,US_GA,41.0,707.0,,,,,,,
2020-03-31,US_GA,126.0,833.0,,,,,,,
2020-04-01,US_GA,119.0,952.0,,,,,,,
2020-04-02,US_GA,104.0,1056.0,,,,,,,
2020-04-03,US_GA,102.0,1158.0,,,,,,,
2020-04-04,US_GA,81.0,1239.0,,,,,,,
2020-04-05,US_GA,44.0,1283.0,,,,,,,
2020-04-06,US_GA,49.0,1332.0,,,,,,,
2020-04-07,US_GA,442.0,1774.0,,,,,,,
2020-04-08,US_GA,219.0,1993.0,,,,,,,
2020-04-09,US_GA,166.0,2159.0,,,,,,,
2020-04-10,US_GA,192.0,2351.0,,,,,,,
2020-04-11,US_GA,128.0,2479.0,,,,,,,
2020-04-12,US_GA,26.0,2505.0,,,,,,,
2020-04-13,US_GA,84.0,2589.0,,,,,,,
2020-04-14,US_GA,180.0,2769.0,,,,,,,
2020-04-15,US_GA,153.0,2922.0,,,,,,,
2020-04-16,US_GA,186.0,3108.0,,,,,,,
2020-04-17,US_GA,216.0,3324.0,,,,,,,
2020-04-18,US_GA,96.0,3420.0,,,,,,,
2020-04-19,US_GA,44.0,3464.0,,,,,,,
2020-04-20,US_GA,86.0,3550.0,,,,,,,
2020-04-21,US_GA,229.0,3779.0,,,,,,,
2020-04-22,US_GA,180.0,3959.0,,,,,,,
2020-04-23,US_GA,110.0,4069.0,,,,,,,
2020-04-24,US_GA,152.0,4221.0,,,,,,,
2020-04-25,US_GA,105.0,4326.0,,,,,,,
