date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-07,US_ID,0.0,,,,,,,,
2020-03-08,US_ID,0.0,,,,,,,,
2020-03-09,US_ID,0.0,,,,,,,,
2020-03-10,US_ID,0.0,,,,,,,,
2020-03-11,US_ID,0.0,,,,,,,,
2020-03-12,US_ID,0.0,,,,,,,,
2020-03-13,US_ID,0.0,,,,,,,,
2020-03-14,US_ID,0.0,,,,,,,,
2020-03-15,US_ID,0.0,,,,,,,,
2020-03-16,US_ID,0.0,,,,,,,,
2020-03-17,US_ID,0.0,,,,,,,,
2020-03-18,US_ID,0.0,,,,,,,,
2020-03-19,US_ID,0.0,,,,,,,,
2020-03-20,US_ID,0.0,,,,,,,,
2020-03-21,US_ID,0.0,,,,,,,,
2020-03-22,US_ID,0.0,,,,,,,,
2020-03-23,US_ID,0.0,,,,,,,,
2020-03-24,US_ID,0.0,,,,,,,,
2020-03-25,US_ID,0.0,,,,,,,,
2020-03-26,US_ID,0.0,,34.0,,,,,,
2020-03-27,US_ID,0.0,,31.0,,,,,,
2020-03-28,US_ID,25.0,25.0,37.0,,,,,,
2020-03-29,US_ID,11.0,36.0,35.0,,,,,,
2020-03-30,US_ID,3.0,39.0,42.0,,,,,,
2020-03-31,US_ID,6.0,45.0,45.0,,6.0,,,,
2020-04-01,US_ID,1.0,46.0,49.0,1.0,7.0,,,,
2020-04-02,US_ID,3.0,49.0,49.0,0.0,7.0,,,,
2020-04-03,US_ID,7.0,56.0,45.0,0.0,7.0,,,,
2020-04-04,US_ID,6.0,62.0,53.0,1.0,8.0,,,,
2020-04-05,US_ID,4.0,66.0,51.0,3.0,11.0,,,,
2020-04-06,US_ID,11.0,77.0,62.0,5.0,16.0,,,,
2020-04-07,US_ID,6.0,83.0,67.0,5.0,21.0,,,,
2020-04-08,US_ID,10.0,93.0,62.0,3.0,24.0,,,,
2020-04-09,US_ID,20.0,113.0,70.0,5.0,29.0,,,,
2020-04-10,US_ID,14.0,127.0,67.0,4.0,33.0,,,,
2020-04-11,US_ID,1.0,128.0,61.0,2.0,35.0,,,,
2020-04-12,US_ID,3.0,131.0,63.0,3.0,38.0,,,,
2020-04-13,US_ID,1.0,132.0,62.0,0.0,38.0,,,,
2020-04-14,US_ID,3.0,135.0,59.0,0.0,38.0,,,,
2020-04-15,US_ID,6.0,141.0,66.0,5.0,43.0,,,,
2020-04-16,US_ID,2.0,143.0,70.0,3.0,46.0,,,,
2020-04-17,US_ID,5.0,148.0,58.0,5.0,51.0,,,,
2020-04-18,US_ID,3.0,151.0,53.0,2.0,53.0,,,,
2020-04-19,US_ID,0.0,151.0,43.0,0.0,53.0,,,,
2020-04-20,US_ID,0.0,151.0,53.0,0.0,53.0,,,,
2020-04-21,US_ID,6.0,157.0,69.0,5.0,58.0,,,,
2020-04-22,US_ID,1.0,158.0,54.0,0.0,58.0,,,,
2020-04-23,US_ID,4.0,162.0,52.0,2.0,60.0,,,,
2020-04-24,US_ID,4.0,166.0,31.0,3.0,63.0,,,,
2020-04-25,US_ID,2.0,168.0,35.0,8.0,71.0,,,,
2020-04-26,US_ID,1.0,169.0,38.0,1.0,72.0,,,,
2020-04-27,US_ID,0.0,169.0,36.0,-1.0,71.0,,,,
2020-04-28,US_ID,3.0,172.0,41.0,2.0,73.0,,,,
2020-04-29,US_ID,1.0,173.0,39.0,0.0,73.0,,,,
2020-04-30,US_ID,2.0,175.0,36.0,1.0,74.0,,,,
2020-05-01,US_ID,3.0,178.0,28.0,1.0,75.0,,,,
2020-05-02,US_ID,0.0,178.0,23.0,1.0,76.0,,,,
2020-05-03,US_ID,22.0,200.0,27.0,7.0,83.0,,,,
