date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-04,US_IL,0.0,,,,,,,,
2020-03-05,US_IL,0.0,,,,,,,,
2020-03-06,US_IL,0.0,,,,,,,,
2020-03-07,US_IL,0.0,,,,,,,,
2020-03-08,US_IL,0.0,,,,,,,,
2020-03-09,US_IL,0.0,,,,,,,,
2020-03-10,US_IL,0.0,,,,,,,,
2020-03-11,US_IL,0.0,,,,,,,,
2020-03-12,US_IL,0.0,,,,,,,,
2020-03-13,US_IL,0.0,,,,,,,,
2020-03-14,US_IL,0.0,,,,,,,,
2020-03-15,US_IL,0.0,,,,,,,,
2020-03-16,US_IL,0.0,,,,,,,,
2020-03-17,US_IL,0.0,,,,,,,,
2020-03-18,US_IL,0.0,,,,,,,,
2020-03-19,US_IL,0.0,,,,,,,,
2020-03-20,US_IL,0.0,,,,,,,,
2020-03-21,US_IL,0.0,,,,,,,,
2020-03-22,US_IL,0.0,,,,,,,,
2020-03-23,US_IL,0.0,,,,,,,,
2020-03-24,US_IL,0.0,,,,,,,,
2020-03-25,US_IL,0.0,,,,,,,,
2020-03-26,US_IL,0.0,,,,,,,,
2020-03-27,US_IL,0.0,,,,,,,,
2020-03-28,US_IL,0.0,,,,,,,,
2020-03-29,US_IL,0.0,,,,,,,,
2020-03-30,US_IL,0.0,,,,,,,,
2020-03-31,US_IL,0.0,,,,,,,,
2020-04-01,US_IL,0.0,,,,,,,,
2020-04-02,US_IL,0.0,,,,,,,,
2020-04-03,US_IL,0.0,,,,,,,,
2020-04-04,US_IL,0.0,,,,,,,,
2020-04-05,US_IL,0.0,,,,,,,,
2020-04-06,US_IL,0.0,,,,,,,,
2020-04-07,US_IL,0.0,,3680.0,,,1166.0,,,821.0
2020-04-08,US_IL,0.0,,3680.0,,,1166.0,,,821.0
2020-04-09,US_IL,0.0,,3680.0,,,1166.0,,,821.0
2020-04-10,US_IL,0.0,,3680.0,,,1166.0,,,821.0
2020-04-11,US_IL,0.0,,3680.0,,,1166.0,,,821.0
2020-04-12,US_IL,0.0,,3680.0,,,1166.0,,,821.0
2020-04-13,US_IL,0.0,,3680.0,,,1166.0,,,821.0
2020-04-14,US_IL,0.0,,4283.0,,,1189.0,,,796.0
2020-04-15,US_IL,0.0,,4283.0,,,1189.0,,,796.0
2020-04-16,US_IL,0.0,,4423.0,,,1248.0,,,797.0
2020-04-17,US_IL,0.0,,4454.0,,,1196.0,,,777.0
2020-04-18,US_IL,0.0,,4340.0,,,1192.0,,,740.0
2020-04-19,US_IL,0.0,,4314.0,,,1196.0,,,749.0
2020-04-20,US_IL,0.0,,4599.0,,,1239.0,,,757.0
2020-04-21,US_IL,0.0,,4776.0,,,1226.0,,,781.0
2020-04-22,US_IL,0.0,,4665.0,,,1220.0,,,747.0
2020-04-23,US_IL,0.0,,4877.0,,,1268.0,,,766.0
2020-04-24,US_IL,0.0,,4828.0,,,1225.0,,,709.0
2020-04-25,US_IL,0.0,,4699.0,,,1244.0,,,763.0
2020-04-26,US_IL,0.0,,4595.0,,,1267.0,,,772.0
2020-04-27,US_IL,0.0,,4672.0,,,1249.0,,,763.0
2020-04-28,US_IL,0.0,,4738.0,,,1245.0,,,778.0
2020-04-29,US_IL,0.0,,5036.0,,,1290.0,,,777.0
2020-04-30,US_IL,0.0,,4953.0,,,1289.0,,,785.0
2020-05-01,US_IL,0.0,,4900.0,,,1263.0,,,777.0
2020-05-02,US_IL,0.0,,4717.0,,,1250.0,,,789.0
2020-05-03,US_IL,0.0,,4701.0,,,1232.0,,,759.0
2020-05-04,US_IL,0.0,,4493.0,,,1232.0,,,763.0
2020-05-05,US_IL,0.0,,4780.0,,,1266.0,,,780.0
2020-05-06,US_IL,0.0,,4832.0,,,1231.0,,,780.0
2020-05-07,US_IL,0.0,,4862.0,,,1253.0,,,766.0
2020-05-08,US_IL,0.0,,4750.0,,,1222.0,,,727.0
2020-05-09,US_IL,0.0,,4739.0,,,1215.0,,,739.0
2020-05-10,US_IL,0.0,,4293.0,,,1232.0,,,709.0
2020-05-11,US_IL,0.0,,4319.0,,,1248.0,,,730.0
2020-05-12,US_IL,0.0,,4626.0,,,1215.0,,,730.0
2020-05-13,US_IL,0.0,,4563.0,,,1208.0,,,714.0
2020-05-14,US_IL,0.0,,4473.0,,,1132.0,,,689.0
2020-05-15,US_IL,0.0,,4367.0,,,1129.0,,,675.0
2020-05-16,US_IL,0.0,,4306.0,,,1135.0,,,653.0
2020-05-17,US_IL,0.0,,4190.0,,,1144.0,,,735.0
2020-05-18,US_IL,0.0,,4120.0,,,1096.0,,,636.0
2020-05-19,US_IL,0.0,,4002.0,,,993.0,,,576.0
2020-05-20,US_IL,0.0,,3914.0,,,1005.0,,,554.0
2020-05-21,US_IL,0.0,,4107.0,,,1088.0,,,609.0
2020-05-22,US_IL,0.0,,3928.0,,,1060.0,,,589.0
2020-05-23,US_IL,0.0,,3753.0,,,1027.0,,,607.0
2020-05-24,US_IL,0.0,,3667.0,,,1007.0,,,632.0
2020-05-25,US_IL,0.0,,3762.0,,,1025.0,,,605.0
2020-05-26,US_IL,0.0,,3788.0,,,1035.0,,,590.0
2020-05-27,US_IL,0.0,,3826.0,,,1031.0,,,592.0
2020-05-28,US_IL,0.0,,3649.0,,,1009.0,,,576.0
2020-05-29,US_IL,0.0,,3599.0,,,980.0,,,593.0
2020-05-30,US_IL,0.0,,3336.0,,,925.0,,,661.0
