date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-06,US_KS,0.0,,,,,,,,
2020-03-07,US_KS,0.0,,,,,,,,
2020-03-08,US_KS,0.0,,,,,,,,
2020-03-09,US_KS,0.0,,,,,,,,
2020-03-10,US_KS,0.0,,,,,,,,
2020-03-11,US_KS,0.0,,,,,,,,
2020-03-12,US_KS,0.0,,,,,,,,
2020-03-13,US_KS,0.0,,,,,,,,
2020-03-14,US_KS,0.0,,,,,,,,
2020-03-15,US_KS,0.0,,,,,,,,
2020-03-16,US_KS,0.0,,,,,,,,
2020-03-17,US_KS,0.0,,,,,,,,
2020-03-18,US_KS,0.0,,,,,,,,
2020-03-19,US_KS,0.0,,,,,,,,
2020-03-20,US_KS,0.0,,,,,,,,
2020-03-21,US_KS,0.0,,,,,,,,
2020-03-22,US_KS,0.0,,,,,,,,
2020-03-23,US_KS,0.0,,,,,,,,
2020-03-24,US_KS,0.0,,,,,,,,
2020-03-25,US_KS,0.0,,,,,,,,
2020-03-26,US_KS,0.0,,,,,,,,
2020-03-27,US_KS,27.0,27.0,,,,,,,
2020-03-28,US_KS,0.0,27.0,,,,,,,
2020-03-29,US_KS,28.0,55.0,,,,,,,
2020-03-30,US_KS,11.0,66.0,,,,,,,
2020-03-31,US_KS,13.0,79.0,,,,,,,
2020-04-01,US_KS,35.0,114.0,,,,,,,
2020-04-02,US_KS,24.0,138.0,,,,,,,
2020-04-03,US_KS,13.0,151.0,,,,,,,
2020-04-04,US_KS,21.0,172.0,,,,,,,
2020-04-05,US_KS,11.0,183.0,,,,,,,
2020-04-06,US_KS,15.0,198.0,,,,,,,
2020-04-07,US_KS,25.0,223.0,,,,,,,
2020-04-08,US_KS,0.0,223.0,,,,,,,
2020-04-09,US_KS,40.0,263.0,,,,,,,
2020-04-10,US_KS,11.0,274.0,,,,,,,
2020-04-11,US_KS,19.0,293.0,,,,,,,
2020-04-12,US_KS,5.0,298.0,,,,,,,
2020-04-13,US_KS,11.0,309.0,,,,,,,
2020-04-14,US_KS,18.0,327.0,,,,,,,
2020-04-15,US_KS,15.0,342.0,,,,,,,
2020-04-16,US_KS,17.0,359.0,,,,,,,
2020-04-17,US_KS,16.0,375.0,,,,,,,
2020-04-18,US_KS,8.0,383.0,,,,,,,
2020-04-19,US_KS,7.0,390.0,,,,,,,
2020-04-20,US_KS,15.0,405.0,,,,,,,
2020-04-21,US_KS,14.0,419.0,,,,,,,
2020-04-22,US_KS,13.0,432.0,,,,,,,
2020-04-23,US_KS,10.0,442.0,,,,,,,
2020-04-24,US_KS,15.0,457.0,,,,,,,
2020-04-25,US_KS,17.0,474.0,,,,,,,
2020-04-26,US_KS,11.0,485.0,,,,,,,
2020-04-27,US_KS,11.0,496.0,,,,,,,
2020-04-28,US_KS,8.0,504.0,,,,,,,
2020-04-29,US_KS,11.0,515.0,,,198.0,,,88.0,
2020-04-30,US_KS,8.0,523.0,,3.0,201.0,,5.0,93.0,
2020-05-01,US_KS,11.0,534.0,,5.0,206.0,,3.0,96.0,
2020-05-02,US_KS,7.0,541.0,,0.0,206.0,,-1.0,95.0,
2020-05-03,US_KS,6.0,547.0,,3.0,209.0,,0.0,95.0,
2020-05-04,US_KS,6.0,553.0,,0.0,209.0,,0.0,95.0,
2020-05-05,US_KS,13.0,566.0,,3.0,212.0,,0.0,95.0,
2020-05-06,US_KS,5.0,571.0,,1.0,213.0,,1.0,96.0,
2020-05-07,US_KS,16.0,587.0,,5.0,218.0,,1.0,97.0,
2020-05-08,US_KS,21.0,608.0,,5.0,223.0,,2.0,99.0,
2020-05-09,US_KS,27.0,635.0,,6.0,229.0,,1.0,100.0,
2020-05-10,US_KS,22.0,657.0,,2.0,231.0,,1.0,101.0,
2020-05-11,US_KS,3.0,660.0,,2.0,233.0,,0.0,101.0,
2020-05-12,US_KS,0.0,660.0,,0.0,233.0,,0.0,101.0,
2020-05-13,US_KS,44.0,704.0,,5.0,238.0,,7.0,108.0,
2020-05-14,US_KS,0.0,704.0,,0.0,238.0,,0.0,108.0,
2020-05-15,US_KS,20.0,724.0,,8.0,246.0,,4.0,112.0,
2020-05-16,US_KS,0.0,724.0,,0.0,246.0,,0.0,112.0,
2020-05-17,US_KS,0.0,724.0,,0.0,246.0,,0.0,112.0,
2020-05-18,US_KS,16.0,740.0,,4.0,250.0,,3.0,115.0,
2020-05-19,US_KS,0.0,740.0,,0.0,250.0,,0.0,115.0,
2020-05-20,US_KS,20.0,760.0,,8.0,258.0,,1.0,116.0,
2020-05-21,US_KS,0.0,760.0,,0.0,258.0,,0.0,116.0,
2020-05-22,US_KS,27.0,787.0,,11.0,269.0,,4.0,120.0,
2020-05-23,US_KS,0.0,787.0,,0.0,269.0,,0.0,120.0,
2020-05-24,US_KS,0.0,787.0,,0.0,269.0,,0.0,120.0,
2020-05-25,US_KS,13.0,800.0,,2.0,271.0,,0.0,120.0,
2020-05-26,US_KS,0.0,800.0,,0.0,271.0,,0.0,120.0,
