date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-07,US_LA,0.0,,,,,,,,
2020-03-08,US_LA,0.0,,,,,,,,
2020-03-09,US_LA,0.0,,,,,,,,
2020-03-10,US_LA,0.0,,,,,,,,
2020-03-11,US_LA,0.0,,,,,,,,
2020-03-12,US_LA,0.0,,,,,,,,
2020-03-13,US_LA,0.0,,,,,,,,
2020-03-14,US_LA,0.0,,,,,,,,
2020-03-15,US_LA,0.0,,,,,,,,
2020-03-16,US_LA,0.0,,,,,,,,
2020-03-17,US_LA,0.0,,,,,,,,
2020-03-18,US_LA,0.0,,,,,,,,
2020-03-19,US_LA,0.0,,,,,,,,
2020-03-20,US_LA,0.0,,,,,,,,
2020-03-21,US_LA,0.0,,,,,,,,
2020-03-22,US_LA,0.0,,,,,,,,
2020-03-23,US_LA,0.0,,,,,,,,
2020-03-24,US_LA,0.0,,271.0,,,,,,
2020-03-25,US_LA,0.0,,491.0,,,,,,163.0
2020-03-26,US_LA,0.0,,676.0,,,,,,239.0
2020-03-27,US_LA,0.0,,773.0,,,,,,270.0
2020-03-28,US_LA,0.0,,927.0,,,,,,336.0
2020-03-29,US_LA,0.0,,1127.0,,,,,,380.0
2020-03-30,US_LA,0.0,,1185.0,,,,,,385.0
2020-03-31,US_LA,0.0,,1355.0,,,,,,438.0
2020-04-01,US_LA,0.0,,1498.0,,,,,,490.0
2020-04-02,US_LA,0.0,,1639.0,,,,,,507.0
2020-04-03,US_LA,0.0,,1707.0,,,,,,535.0
2020-04-04,US_LA,0.0,,1726.0,,,,,,571.0
2020-04-05,US_LA,0.0,,1803.0,,,,,,561.0
2020-04-06,US_LA,0.0,,1981.0,,,,,,552.0
2020-04-07,US_LA,0.0,,1996.0,,,,,,519.0
2020-04-08,US_LA,0.0,,1983.0,,,,,,490.0
2020-04-09,US_LA,0.0,,2014.0,,,,,,473.0
2020-04-10,US_LA,0.0,,2054.0,,,,,,479.0
2020-04-11,US_LA,0.0,,2067.0,,,,,,470.0
2020-04-12,US_LA,0.0,,2084.0,,,,,,458.0
2020-04-13,US_LA,0.0,,2134.0,,,,,,461.0
2020-04-14,US_LA,0.0,,1977.0,,,,,,436.0
2020-04-15,US_LA,0.0,,1943.0,,,,,,425.0
2020-04-16,US_LA,0.0,,1914.0,,,,,,396.0
2020-04-17,US_LA,0.0,,1868.0,,,,,,363.0
2020-04-18,US_LA,0.0,,1761.0,,,,,,347.0
2020-04-19,US_LA,0.0,,1748.0,,,,,,349.0
2020-04-20,US_LA,0.0,,1794.0,,,,,,332.0
2020-04-21,US_LA,0.0,,1798.0,,,,,,297.0
2020-04-22,US_LA,0.0,,1747.0,,,,,,287.0
2020-04-23,US_LA,0.0,,1727.0,,,,,,274.0
2020-04-24,US_LA,0.0,,1697.0,,,,,,286.0
2020-04-25,US_LA,0.0,,1700.0,,,,,,268.0
2020-04-26,US_LA,0.0,,1701.0,,,,,,265.0
2020-04-27,US_LA,0.0,,1683.0,,,,,,262.0
2020-04-28,US_LA,0.0,,1666.0,,,,,,244.0
2020-04-29,US_LA,0.0,,1629.0,,,,,,244.0
2020-04-30,US_LA,0.0,,1601.0,,,,,,231.0
2020-05-01,US_LA,0.0,,1607.0,,,,,,230.0
2020-05-02,US_LA,0.0,,1545.0,,,,,,208.0
2020-05-03,US_LA,0.0,,1530.0,,,,,,213.0
2020-05-04,US_LA,0.0,,1502.0,,,,,,220.0
2020-05-05,US_LA,0.0,,1512.0,,,,,,194.0
2020-05-06,US_LA,0.0,,1465.0,,,,,,187.0
2020-05-07,US_LA,0.0,,1432.0,,,,,,189.0
2020-05-08,US_LA,0.0,,1359.0,,,,,,185.0
2020-05-09,US_LA,0.0,,1333.0,,,,,,165.0
2020-05-10,US_LA,0.0,,1324.0,,,,,,161.0
2020-05-11,US_LA,0.0,,1310.0,,,,,,157.0
2020-05-12,US_LA,0.0,,1320.0,,,,,,146.0
2020-05-13,US_LA,0.0,,1194.0,,,,,,147.0
2020-05-14,US_LA,0.0,,1193.0,,,,,,140.0
2020-05-15,US_LA,0.0,,1091.0,,,,,,132.0
2020-05-16,US_LA,0.0,,1028.0,,,,,,123.0
2020-05-17,US_LA,0.0,,1019.0,,,,,,111.0
2020-05-18,US_LA,0.0,,1031.0,,,,,,118.0
2020-05-19,US_LA,0.0,,1004.0,,,,,,112.0
2020-05-20,US_LA,0.0,,931.0,,,,,,110.0
2020-05-21,US_LA,0.0,,884.0,,,,,,107.0
2020-05-22,US_LA,0.0,,867.0,,,,,,104.0
2020-05-23,US_LA,0.0,,836.0,,,,,,112.0
2020-05-24,US_LA,0.0,,813.0,,,,,,102.0
2020-05-25,US_LA,0.0,,847.0,,,,,,102.0
2020-05-26,US_LA,0.0,,831.0,,,,,,103.0
2020-05-27,US_LA,0.0,,798.0,,,,,,100.0
2020-05-28,US_LA,0.0,,761.0,,,,,,100.0
2020-05-29,US_LA,0.0,,714.0,,,,,,90.0
2020-05-30,US_LA,0.0,,674.0,,,,,,84.0
2020-05-31,US_LA,0.0,,678.0,,,,,,84.0
2020-06-01,US_LA,0.0,,661.0,,,,,,86.0
2020-06-02,US_LA,0.0,,639.0,,,,,,83.0
2020-06-03,US_LA,0.0,,617.0,,,,,,86.0
2020-06-04,US_LA,0.0,,613.0,,,,,,82.0
2020-06-05,US_LA,0.0,,604.0,,,,,,75.0
2020-06-06,US_LA,0.0,,582.0,,,,,,77.0
2020-06-07,US_LA,0.0,,575.0,,,,,,74.0
2020-06-08,US_LA,0.0,,582.0,,,,,,71.0
2020-06-09,US_LA,0.0,,568.0,,,,,,67.0
2020-06-10,US_LA,0.0,,549.0,,,,,,72.0
2020-06-11,US_LA,0.0,,553.0,,,,,,77.0
2020-06-12,US_LA,0.0,,549.0,,,,,,74.0
2020-06-13,US_LA,0.0,,542.0,,,,,,76.0
2020-06-14,US_LA,0.0,,556.0,,,,,,76.0
2020-06-15,US_LA,0.0,,568.0,,,,,,76.0
2020-06-16,US_LA,0.0,,588.0,,,,,,77.0
2020-06-17,US_LA,0.0,,585.0,,,,,,83.0
2020-06-18,US_LA,0.0,,585.0,,,,,,83.0
2020-06-19,US_LA,0.0,,561.0,,,,,,75.0
2020-06-20,US_LA,0.0,,574.0,,,,,,73.0
2020-06-21,US_LA,0.0,,589.0,,,,,,69.0
2020-06-22,US_LA,0.0,,630.0,,,,,,77.0
2020-06-23,US_LA,0.0,,646.0,,,,,,83.0
2020-06-24,US_LA,0.0,,631.0,,,,,,77.0
2020-06-25,US_LA,0.0,,653.0,,,,,,77.0
2020-06-26,US_LA,0.0,,700.0,,,,,,73.0
2020-06-27,US_LA,0.0,,700.0,,,,,,73.0
2020-06-28,US_LA,0.0,,715.0,,,,,,76.0
2020-06-29,US_LA,0.0,,737.0,,,,,,79.0
2020-06-30,US_LA,0.0,,781.0,,,,,,83.0
2020-07-01,US_LA,0.0,,799.0,,,,,,84.0
2020-07-02,US_LA,0.0,,840.0,,,,,,91.0
2020-07-03,US_LA,0.0,,852.0,,,,,,93.0
