date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-07,US_MS,0.0,,,,,,,,
2020-03-08,US_MS,0.0,,,,,,,,
2020-03-09,US_MS,0.0,,,,,,,,
2020-03-10,US_MS,0.0,,,,,,,,
2020-03-11,US_MS,0.0,,,,,,,,
2020-03-12,US_MS,0.0,,,,,,,,
2020-03-13,US_MS,0.0,,,,,,,,
2020-03-14,US_MS,0.0,,,,,,,,
2020-03-15,US_MS,0.0,,,,,,,,
2020-03-16,US_MS,0.0,,,,,,,,
2020-03-17,US_MS,0.0,,,,,,,,
2020-03-18,US_MS,0.0,,,,,,,,
2020-03-19,US_MS,0.0,,,,,,,,
2020-03-20,US_MS,0.0,,,,,,,,
2020-03-21,US_MS,0.0,,,,,,,,
2020-03-22,US_MS,33.0,33.0,,,,,,,
2020-03-23,US_MS,0.0,33.0,,,,,,,
2020-03-24,US_MS,53.0,86.0,,,,,,,
2020-03-25,US_MS,31.0,117.0,,,,,,,
2020-03-26,US_MS,33.0,150.0,,,,,,,
2020-03-27,US_MS,35.0,185.0,,,,,,,
2020-03-28,US_MS,34.0,219.0,,,,,,,
2020-03-29,US_MS,16.0,235.0,,,,,,,
2020-03-30,US_MS,-40.0,195.0,,,,,,,
2020-03-31,US_MS,16.0,211.0,,,,,,,
2020-04-01,US_MS,121.0,332.0,,,,,,,
2020-04-02,US_MS,28.0,360.0,,,,,,,
2020-04-03,US_MS,60.0,420.0,,,,,,,
2020-04-04,US_MS,16.0,436.0,,,,,,,
2020-04-05,US_MS,39.0,475.0,,,,,,,
2020-04-06,US_MS,0.0,475.0,,,,,,,
2020-04-07,US_MS,-98.0,377.0,,,,,,,
2020-04-08,US_MS,33.0,410.0,,,,,,,
2020-04-09,US_MS,31.0,441.0,,,,,,,
2020-04-10,US_MS,41.0,482.0,,,,,,,
2020-04-11,US_MS,46.0,528.0,,,,,,,
2020-04-12,US_MS,20.0,548.0,,,,,,,
2020-04-13,US_MS,1.0,549.0,,,,124.0,,,84.0
2020-04-14,US_MS,47.0,596.0,,,,154.0,,,99.0
2020-04-15,US_MS,49.0,645.0,,,,154.0,,,99.0
2020-04-16,US_MS,37.0,682.0,,,,154.0,,,99.0
2020-04-17,US_MS,54.0,736.0,,,,154.0,,,99.0
2020-04-18,US_MS,46.0,782.0,,,,154.0,,,99.0
2020-04-19,US_MS,26.0,808.0,,,,138.0,,,79.0
2020-04-20,US_MS,11.0,819.0,548.0,,,146.0,,,89.0
2020-04-21,US_MS,39.0,858.0,548.0,,,146.0,,,89.0
2020-04-22,US_MS,52.0,910.0,628.0,,,162.0,,,86.0
2020-04-23,US_MS,36.0,946.0,595.0,,,156.0,,,78.0
2020-04-24,US_MS,24.0,970.0,586.0,,,148.0,,,74.0
2020-04-25,US_MS,26.0,996.0,649.0,,,152.0,,,78.0
2020-04-26,US_MS,5.0,1001.0,644.0,,,146.0,,,67.0
2020-04-27,US_MS,59.0,1060.0,590.0,,,142.0,,,71.0
2020-04-28,US_MS,28.0,1088.0,639.0,,,162.0,,,77.0
2020-04-29,US_MS,38.0,1126.0,677.0,,,151.0,,,69.0
2020-04-30,US_MS,49.0,1175.0,639.0,,,146.0,,,72.0
2020-05-01,US_MS,51.0,1226.0,651.0,,,160.0,,,75.0
2020-05-02,US_MS,39.0,1265.0,632.0,,,142.0,,,71.0
2020-05-03,US_MS,33.0,1298.0,667.0,,,143.0,,,73.0
2020-05-04,US_MS,18.0,1316.0,646.0,,,145.0,,,78.0
2020-05-05,US_MS,36.0,1352.0,645.0,,,162.0,,,77.0
2020-05-06,US_MS,40.0,1392.0,618.0,,,144.0,,,79.0
2020-05-07,US_MS,50.0,1442.0,650.0,,,139.0,,,71.0
2020-05-08,US_MS,36.0,1478.0,632.0,,,123.0,,,58.0
2020-05-09,US_MS,34.0,1512.0,607.0,,,133.0,,,76.0
2020-05-10,US_MS,19.0,1531.0,645.0,,,141.0,,,78.0
2020-05-11,US_MS,15.0,1546.0,507.0,,,132.0,,,68.0
