date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-07,US_ND,0.0,,,,,,,,
2020-03-08,US_ND,0.0,,,,,,,,
2020-03-09,US_ND,0.0,,,,,,,,
2020-03-10,US_ND,0.0,,,,,,,,
2020-03-11,US_ND,0.0,,,,,,,,
2020-03-12,US_ND,0.0,,,,,,,,
2020-03-13,US_ND,0.0,,,,,,,,
2020-03-14,US_ND,0.0,,,,,,,,
2020-03-15,US_ND,0.0,,,,,,,,
2020-03-16,US_ND,0.0,,,,,,,,
2020-03-17,US_ND,0.0,,,,,,,,
2020-03-18,US_ND,0.0,,,,,,,,
2020-03-19,US_ND,0.0,,,,,,,,
2020-03-20,US_ND,0.0,,,,,,,,
2020-03-21,US_ND,3.0,3.0,,,,,,,
2020-03-22,US_ND,0.0,3.0,,,,,,,
2020-03-23,US_ND,1.0,4.0,,,,,,,
2020-03-24,US_ND,1.0,5.0,,,,,,,
2020-03-25,US_ND,3.0,8.0,,,,,,,
2020-03-26,US_ND,2.0,10.0,,,,,,,
2020-03-27,US_ND,3.0,13.0,,,,,,,
2020-03-28,US_ND,3.0,16.0,,,,,,,
2020-03-29,US_ND,1.0,17.0,,,,,,,
2020-03-30,US_ND,2.0,19.0,,,,,,,
2020-03-31,US_ND,2.0,21.0,,,,,,,
2020-04-01,US_ND,2.0,23.0,,,,,,,
2020-04-02,US_ND,5.0,28.0,,,,,,,
2020-04-03,US_ND,1.0,29.0,,,,,,,
2020-04-04,US_ND,1.0,30.0,,,,,,,
2020-04-05,US_ND,1.0,31.0,20.0,,,,,,
2020-04-06,US_ND,1.0,32.0,19.0,,,,,,
2020-04-07,US_ND,1.0,33.0,18.0,,,,,,
2020-04-08,US_ND,1.0,34.0,16.0,,,,,,
2020-04-09,US_ND,0.0,34.0,14.0,,,,,,
2020-04-10,US_ND,2.0,36.0,13.0,,,,,,
2020-04-11,US_ND,0.0,36.0,10.0,,,,,,
2020-04-12,US_ND,3.0,39.0,12.0,,,,,,
2020-04-13,US_ND,1.0,40.0,13.0,,,,,,
2020-04-14,US_ND,2.0,42.0,13.0,,,,,,
2020-04-15,US_ND,2.0,44.0,13.0,,,,,,
2020-04-16,US_ND,1.0,45.0,14.0,,,,,,
2020-04-17,US_ND,2.0,47.0,16.0,,,,,,
2020-04-18,US_ND,0.0,47.0,13.0,,,,,,
2020-04-19,US_ND,4.0,51.0,15.0,,,,,,
2020-04-20,US_ND,2.0,53.0,17.0,,,,,,
2020-04-21,US_ND,1.0,54.0,17.0,,,,,,
2020-04-22,US_ND,8.0,62.0,23.0,,,,,,
2020-04-23,US_ND,3.0,65.0,18.0,,,,,,
2020-04-24,US_ND,2.0,67.0,17.0,,,,,,
2020-04-25,US_ND,3.0,70.0,17.0,,,,,,
2020-04-26,US_ND,1.0,71.0,18.0,,,,,,
2020-04-27,US_ND,6.0,77.0,23.0,,,,,,
2020-04-28,US_ND,2.0,79.0,25.0,,,,,,
2020-04-29,US_ND,3.0,82.0,28.0,,,,,,
2020-04-30,US_ND,3.0,85.0,30.0,,,,,,
2020-05-01,US_ND,1.0,86.0,27.0,,,,,,
2020-05-02,US_ND,4.0,90.0,32.0,,,,,,
2020-05-03,US_ND,0.0,90.0,31.0,,,,,,
2020-05-04,US_ND,4.0,94.0,31.0,,,,,,
2020-05-05,US_ND,1.0,95.0,31.0,,,,,,
2020-05-06,US_ND,2.0,97.0,32.0,,,,,,
2020-05-07,US_ND,5.0,102.0,35.0,,,,,,
2020-05-08,US_ND,2.0,104.0,33.0,,,,,,
2020-05-09,US_ND,6.0,110.0,34.0,,,,,,
2020-05-10,US_ND,0.0,110.0,29.0,,,,,,
2020-05-11,US_ND,5.0,115.0,34.0,,,,,,
2020-05-12,US_ND,7.0,122.0,38.0,,,,,,
2020-05-13,US_ND,5.0,127.0,37.0,,,,,,
2020-05-14,US_ND,2.0,129.0,38.0,,,,,,
2020-05-15,US_ND,1.0,130.0,35.0,,,,,,
2020-05-16,US_ND,0.0,130.0,33.0,,,,,,
2020-05-17,US_ND,0.0,130.0,30.0,,,,,,
2020-05-18,US_ND,3.0,133.0,32.0,,,,,,
2020-05-19,US_ND,2.0,135.0,32.0,,,,,,
