date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-05,US_OH,0.0,,,,,,,,
2020-03-06,US_OH,0.0,,,,,,,,
2020-03-07,US_OH,0.0,,,,,,,,
2020-03-08,US_OH,0.0,,,,,,,,
2020-03-09,US_OH,0.0,,,,,,,,
2020-03-10,US_OH,0.0,,,,,,,,
2020-03-11,US_OH,0.0,,,,,,,,
2020-03-12,US_OH,0.0,,,,,,,,
2020-03-13,US_OH,0.0,,,,,,,,
2020-03-14,US_OH,0.0,,,,,,,,
2020-03-15,US_OH,0.0,,,,,,,,
2020-03-16,US_OH,0.0,,,,,,,,
2020-03-17,US_OH,0.0,,,,,,,,
2020-03-18,US_OH,0.0,,,,,,,,
2020-03-19,US_OH,0.0,,,,,,,,
2020-03-20,US_OH,0.0,,,,,,,,
2020-03-21,US_OH,58.0,58.0,,,,,,,
2020-03-22,US_OH,25.0,83.0,,,,,,,
2020-03-23,US_OH,21.0,104.0,,,,,,,
2020-03-24,US_OH,41.0,145.0,,,,,,,
2020-03-25,US_OH,37.0,182.0,,,74.0,,,,
2020-03-26,US_OH,41.0,223.0,,17.0,91.0,,,,
2020-03-27,US_OH,53.0,276.0,,16.0,107.0,,,,
2020-03-28,US_OH,68.0,344.0,,16.0,123.0,,,,
2020-03-29,US_OH,59.0,403.0,,16.0,139.0,,,,
2020-03-30,US_OH,72.0,475.0,,24.0,163.0,,,,
2020-03-31,US_OH,110.0,585.0,,35.0,198.0,,,,
2020-04-01,US_OH,94.0,679.0,,24.0,222.0,,,,
2020-04-02,US_OH,123.0,802.0,,38.0,260.0,,,,
2020-04-03,US_OH,93.0,895.0,,28.0,288.0,,,,
2020-04-04,US_OH,111.0,1006.0,,38.0,326.0,,,,
2020-04-05,US_OH,98.0,1104.0,,20.0,346.0,,,,
2020-04-06,US_OH,110.0,1214.0,,25.0,371.0,,,,
2020-04-07,US_OH,140.0,1354.0,,46.0,417.0,,,,
2020-04-08,US_OH,141.0,1495.0,,55.0,472.0,,,,
2020-04-09,US_OH,117.0,1612.0,,25.0,497.0,,,,
2020-04-10,US_OH,143.0,1755.0,,51.0,548.0,,,,
2020-04-11,US_OH,104.0,1859.0,,24.0,572.0,,,,
2020-04-12,US_OH,89.0,1948.0,,23.0,595.0,,,,
2020-04-13,US_OH,85.0,2033.0,,18.0,613.0,,,,
2020-04-14,US_OH,123.0,2156.0,,41.0,654.0,,,,
2020-04-15,US_OH,81.0,2237.0,,23.0,677.0,,,,
2020-04-16,US_OH,94.0,2331.0,,30.0,707.0,,,,
2020-04-17,US_OH,93.0,2424.0,,33.0,740.0,,,,
2020-04-18,US_OH,95.0,2519.0,,20.0,760.0,,,,
2020-04-19,US_OH,46.0,2565.0,,5.0,765.0,,,,
2020-04-20,US_OH,88.0,2653.0,,33.0,798.0,,,,
2020-04-21,US_OH,126.0,2779.0,,40.0,838.0,,,,
2020-04-22,US_OH,103.0,2882.0,,42.0,880.0,,,,
2020-04-23,US_OH,78.0,2960.0,,20.0,900.0,,,,
2020-04-24,US_OH,93.0,3053.0,,20.0,920.0,,,,
2020-04-25,US_OH,62.0,3115.0,,18.0,938.0,,,,
2020-04-26,US_OH,63.0,3178.0,,14.0,952.0,,,,
2020-04-27,US_OH,54.0,3232.0,,26.0,978.0,,,,
2020-04-28,US_OH,108.0,3340.0,,26.0,1004.0,,,,
2020-04-29,US_OH,81.0,3421.0,,10.0,1014.0,,,,
2020-04-30,US_OH,112.0,3533.0,,21.0,1035.0,,,,
2020-05-01,US_OH,101.0,3634.0,,21.0,1056.0,,,,
2020-05-02,US_OH,78.0,3712.0,1003.0,10.0,1066.0,424.0,,,267.0
2020-05-03,US_OH,57.0,3769.0,931.0,12.0,1078.0,393.0,,,255.0
2020-05-04,US_OH,40.0,3809.0,1078.0,12.0,1090.0,412.0,,,275.0
2020-05-05,US_OH,147.0,3956.0,1069.0,33.0,1123.0,402.0,,,281.0
2020-05-06,US_OH,96.0,4052.0,1045.0,28.0,1151.0,407.0,,,275.0
2020-05-07,US_OH,88.0,4140.0,1057.0,16.0,1167.0,418.0,,,279.0
2020-05-08,US_OH,78.0,4218.0,1060.0,21.0,1188.0,393.0,,,274.0
2020-05-09,US_OH,82.0,4300.0,929.0,12.0,1200.0,368.0,,,222.0
2020-05-10,US_OH,51.0,4351.0,962.0,5.0,1205.0,381.0,,,254.0
2020-05-11,US_OH,62.0,4413.0,1011.0,12.0,1217.0,391.0,,,256.0
2020-05-12,US_OH,126.0,4539.0,1032.0,15.0,1232.0,401.0,,,270.0
2020-05-13,US_OH,79.0,4618.0,924.0,16.0,1248.0,353.0,,,244.0
2020-05-14,US_OH,100.0,4718.0,953.0,20.0,1268.0,360.0,,,253.0
2020-05-15,US_OH,73.0,4791.0,944.0,9.0,1277.0,370.0,,,260.0
2020-05-16,US_OH,79.0,4870.0,866.0,0.0,1277.0,366.0,,,251.0
2020-05-17,US_OH,51.0,4921.0,914.0,28.0,1305.0,343.0,,,230.0
2020-05-18,US_OH,77.0,4998.0,912.0,23.0,1328.0,367.0,,,247.0
2020-05-19,US_OH,119.0,5117.0,913.0,29.0,1357.0,365.0,,,234.0
2020-05-20,US_OH,81.0,5198.0,902.0,12.0,1369.0,333.0,,,248.0
2020-05-21,US_OH,97.0,5295.0,892.0,28.0,1397.0,349.0,,,258.0
2020-05-22,US_OH,84.0,5379.0,879.0,19.0,1416.0,362.0,,,232.0
2020-05-23,US_OH,58.0,5437.0,858.0,13.0,1429.0,333.0,,,223.0
2020-05-24,US_OH,39.0,5476.0,864.0,9.0,1438.0,317.0,,,205.0
2020-05-25,US_OH,35.0,5511.0,872.0,5.0,1443.0,323.0,,,211.0
2020-05-26,US_OH,68.0,5579.0,937.0,7.0,1450.0,351.0,,,232.0
2020-05-27,US_OH,121.0,5700.0,885.0,42.0,1492.0,313.0,,,217.0
2020-05-28,US_OH,111.0,5811.0,812.0,24.0,1516.0,285.0,,,190.0
2020-05-29,US_OH,136.0,5947.0,833.0,17.0,1533.0,326.0,,,222.0
2020-05-30,US_OH,64.0,6011.0,806.0,15.0,1548.0,339.0,,,219.0
2020-05-31,US_OH,38.0,6049.0,779.0,8.0,1556.0,310.0,,,213.0
