date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-04,US_SC,0.0,,,,,,,,
2020-03-05,US_SC,0.0,,,,,,,,
2020-03-06,US_SC,0.0,,,,,,,,
2020-03-07,US_SC,0.0,,,,,,,,
2020-03-08,US_SC,0.0,,,,,,,,
2020-03-09,US_SC,0.0,,,,,,,,
2020-03-10,US_SC,0.0,,,,,,,,
2020-03-11,US_SC,0.0,,,,,,,,
2020-03-12,US_SC,0.0,,,,,,,,
2020-03-13,US_SC,0.0,,,,,,,,
2020-03-14,US_SC,0.0,,,,,,,,
2020-03-15,US_SC,0.0,,,,,,,,
2020-03-16,US_SC,0.0,,,,,,,,
2020-03-17,US_SC,0.0,,,,,,,,
2020-03-18,US_SC,0.0,,,,,,,,
2020-03-19,US_SC,0.0,,,,,,,,
2020-03-20,US_SC,0.0,,,,,,,,
2020-03-21,US_SC,0.0,,,,,,,,
2020-03-22,US_SC,0.0,,,,,,,,
2020-03-23,US_SC,0.0,,,,,,,,
2020-03-24,US_SC,0.0,,,,,,,,
2020-03-25,US_SC,102.0,102.0,,,,,,,
2020-03-26,US_SC,0.0,102.0,,,,,,,
2020-03-27,US_SC,0.0,102.0,,,,,,,
2020-03-28,US_SC,0.0,102.0,,,,,,,
2020-03-29,US_SC,0.0,102.0,,,,,,,
2020-03-30,US_SC,0.0,102.0,,,,,,,
2020-03-31,US_SC,0.0,102.0,,,,,,,
2020-04-01,US_SC,0.0,102.0,,,,,,,
2020-04-02,US_SC,139.0,241.0,,,,,,,
2020-04-03,US_SC,0.0,241.0,,,,,,,
2020-04-04,US_SC,0.0,241.0,,,,,,,
2020-04-05,US_SC,0.0,241.0,,,,,,,
2020-04-06,US_SC,0.0,241.0,,,,,,,
2020-04-07,US_SC,0.0,241.0,,,,,,,
2020-04-08,US_SC,0.0,241.0,,,,,,,
2020-04-09,US_SC,0.0,241.0,,,,,,,
2020-04-10,US_SC,255.0,496.0,,,,,,,
2020-04-11,US_SC,0.0,496.0,,,,,,,
2020-04-12,US_SC,0.0,496.0,,,,,,,
2020-04-13,US_SC,0.0,496.0,,,,,,,
2020-04-14,US_SC,179.0,675.0,,,,,,,
2020-04-15,US_SC,0.0,675.0,,,,,,,
2020-04-16,US_SC,0.0,675.0,,,,,,,
2020-04-17,US_SC,0.0,675.0,,,,,,,
2020-04-18,US_SC,101.0,776.0,,,,,,,
2020-04-19,US_SC,0.0,776.0,,,,,,,
2020-04-20,US_SC,0.0,776.0,,,,,,,
2020-04-21,US_SC,0.0,776.0,,,,,,,
2020-04-22,US_SC,61.0,837.0,,,,,,,
2020-04-23,US_SC,0.0,837.0,,,,,,,
2020-04-24,US_SC,0.0,837.0,,,,,,,
2020-04-25,US_SC,107.0,944.0,,,,,,,
2020-04-26,US_SC,0.0,944.0,,,,,,,
2020-04-27,US_SC,0.0,944.0,,,,,,,
2020-04-28,US_SC,0.0,944.0,,,,,,,
2020-04-29,US_SC,56.0,1000.0,,,,,,,
2020-04-30,US_SC,0.0,1000.0,,,,,,,
2020-05-01,US_SC,110.0,1110.0,,,,,,,
2020-05-02,US_SC,0.0,1110.0,,,,,,,
2020-05-03,US_SC,0.0,1110.0,,,,,,,
2020-05-04,US_SC,0.0,1110.0,,,,,,,
2020-05-05,US_SC,0.0,1110.0,,,,,,,
2020-05-06,US_SC,42.0,1152.0,,,,,,,
2020-05-07,US_SC,0.0,1152.0,,,,,,,
2020-05-08,US_SC,0.0,1152.0,,,,,,,
2020-05-09,US_SC,100.0,1252.0,,,,,,,
2020-05-10,US_SC,0.0,1252.0,,,,,,,
2020-05-11,US_SC,0.0,1252.0,,,,,,,
2020-05-12,US_SC,86.0,1338.0,,,,,,,
2020-05-13,US_SC,0.0,1338.0,,,,,,,
2020-05-14,US_SC,0.0,1338.0,,,,,,,
2020-05-15,US_SC,83.0,1421.0,,,,,,,
2020-05-16,US_SC,0.0,1421.0,,,,,,,
2020-05-17,US_SC,0.0,1421.0,,,,,,,
2020-05-18,US_SC,0.0,1421.0,,,,,,,
2020-05-19,US_SC,23.0,1444.0,,,,,,,
2020-05-20,US_SC,0.0,1444.0,,,,,,,
2020-05-21,US_SC,0.0,1444.0,414.0,,,,,,
2020-05-22,US_SC,90.0,1534.0,429.0,,,,,,
