date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-07,US_SD,0.0,,,,,,,,
2020-03-08,US_SD,0.0,,,,,,,,
2020-03-09,US_SD,0.0,,,,,,,,
2020-03-10,US_SD,0.0,,,,,,,,
2020-03-11,US_SD,0.0,,,,,,,,
2020-03-12,US_SD,0.0,,,,,,,,
2020-03-13,US_SD,0.0,,,,,,,,
2020-03-14,US_SD,0.0,,,,,,,,
2020-03-15,US_SD,0.0,,,,,,,,
2020-03-16,US_SD,0.0,,,,,,,,
2020-03-17,US_SD,0.0,,,,,,,,
2020-03-18,US_SD,0.0,,,,,,,,
2020-03-19,US_SD,0.0,,,,,,,,
2020-03-20,US_SD,0.0,,,,,,,,
2020-03-21,US_SD,0.0,,,,,,,,
2020-03-22,US_SD,0.0,,,,,,,,
2020-03-23,US_SD,0.0,,,,,,,,
2020-03-24,US_SD,0.0,,,,,,,,
2020-03-25,US_SD,0.0,,,,,,,,
2020-03-26,US_SD,0.0,,,,,,,,
2020-03-27,US_SD,0.0,,,,,,,,
2020-03-28,US_SD,0.0,,,,,,,,
2020-03-29,US_SD,0.0,,,,,,,,
2020-03-30,US_SD,0.0,,,,,,,,
2020-03-31,US_SD,12.0,12.0,,,,,,,
2020-04-01,US_SD,0.0,12.0,,,,,,,
2020-04-02,US_SD,5.0,17.0,,,,,,,
2020-04-03,US_SD,0.0,17.0,,,,,,,
2020-04-04,US_SD,2.0,19.0,,,,,,,
2020-04-05,US_SD,3.0,22.0,,,,,,,
2020-04-06,US_SD,1.0,23.0,,,,,,,
2020-04-07,US_SD,0.0,23.0,,,,,,,
2020-04-08,US_SD,3.0,26.0,,,,,,,
2020-04-09,US_SD,1.0,27.0,,,,,,,
2020-04-10,US_SD,2.0,29.0,,,,,,,
2020-04-11,US_SD,4.0,33.0,,,,,,,
2020-04-12,US_SD,10.0,43.0,,,,,,,
2020-04-13,US_SD,1.0,44.0,,,,,,,
2020-04-14,US_SD,1.0,45.0,,,,,,,
2020-04-15,US_SD,6.0,51.0,,,,,,,
2020-04-16,US_SD,4.0,55.0,,,,,,,
2020-04-17,US_SD,8.0,63.0,,,,,,,
2020-04-18,US_SD,5.0,68.0,,,,,,,
2020-04-19,US_SD,6.0,74.0,,,,,,,
2020-04-20,US_SD,13.0,87.0,,,,,,,
2020-04-21,US_SD,13.0,100.0,65.0,,,,,,
2020-04-22,US_SD,11.0,111.0,62.0,,,,,,
2020-04-23,US_SD,8.0,119.0,58.0,,,,,,
2020-04-24,US_SD,5.0,124.0,61.0,,,,,,
2020-04-25,US_SD,4.0,128.0,61.0,,,,,,
2020-04-26,US_SD,7.0,135.0,64.0,,,,,,
2020-04-27,US_SD,15.0,150.0,61.0,,,,,,
2020-04-28,US_SD,7.0,157.0,69.0,,,,,,
2020-04-29,US_SD,8.0,165.0,69.0,,,,,,
2020-04-30,US_SD,8.0,173.0,76.0,,,,,,
2020-05-01,US_SD,6.0,179.0,69.0,,,,,,
2020-05-02,US_SD,8.0,187.0,71.0,,,,,,
2020-05-03,US_SD,10.0,197.0,71.0,,,,,,
2020-05-04,US_SD,14.0,211.0,69.0,,,,,,
2020-05-05,US_SD,9.0,220.0,75.0,,,,,,
2020-05-06,US_SD,10.0,230.0,72.0,,,,,,
2020-05-07,US_SD,6.0,236.0,70.0,,,,,,
2020-05-08,US_SD,11.0,247.0,76.0,,,,,,
2020-05-09,US_SD,6.0,253.0,79.0,,,,,,
2020-05-10,US_SD,8.0,261.0,77.0,,,,,,
2020-05-11,US_SD,2.0,263.0,78.0,,,,,,
2020-05-12,US_SD,8.0,271.0,74.0,,,,,,
2020-05-13,US_SD,10.0,281.0,79.0,,,,,,
2020-05-14,US_SD,9.0,290.0,85.0,,,,,,
2020-05-15,US_SD,6.0,296.0,80.0,,,,,,
2020-05-16,US_SD,8.0,304.0,75.0,,,,,,
2020-05-17,US_SD,8.0,312.0,77.0,,,,,,
2020-05-18,US_SD,4.0,316.0,77.0,,,,,,
2020-05-19,US_SD,11.0,327.0,75.0,,,,,,
2020-05-20,US_SD,6.0,333.0,81.0,,,,,,
2020-05-21,US_SD,9.0,342.0,91.0,,,,,,
2020-05-22,US_SD,9.0,351.0,83.0,,,,,,
2020-05-23,US_SD,7.0,358.0,90.0,,,,,,
2020-05-24,US_SD,6.0,364.0,85.0,,,,,,
2020-05-25,US_SD,6.0,370.0,99.0,,,,,,
2020-05-26,US_SD,8.0,378.0,106.0,,,,,,
2020-05-27,US_SD,13.0,391.0,101.0,,,,,,
2020-05-28,US_SD,15.0,406.0,105.0,,,,,,
2020-05-29,US_SD,12.0,418.0,95.0,,,,,,
2020-05-30,US_SD,9.0,427.0,93.0,,,,,,
2020-05-31,US_SD,5.0,432.0,86.0,,,,,,
2020-06-01,US_SD,3.0,435.0,87.0,,,,,,
2020-06-02,US_SD,8.0,443.0,89.0,,,,,,
2020-06-03,US_SD,13.0,456.0,87.0,,,,,,
2020-06-04,US_SD,8.0,464.0,86.0,,,,,,
2020-06-05,US_SD,3.0,467.0,83.0,,,,,,
2020-06-06,US_SD,7.0,474.0,93.0,,,,,,
2020-06-07,US_SD,4.0,478.0,87.0,,,,,,
2020-06-08,US_SD,4.0,482.0,92.0,,,,,,
2020-06-09,US_SD,5.0,487.0,90.0,,,,,,
2020-06-10,US_SD,16.0,503.0,101.0,,,,,,
2020-06-11,US_SD,11.0,514.0,87.0,,,,,,
2020-06-12,US_SD,11.0,525.0,87.0,,,,,,
2020-06-13,US_SD,6.0,531.0,85.0,,,,,,
2020-06-14,US_SD,8.0,539.0,87.0,,,,,,
2020-06-15,US_SD,5.0,544.0,93.0,,,,,,
2020-06-16,US_SD,18.0,562.0,92.0,,,,,,
2020-06-17,US_SD,8.0,570.0,91.0,,,,,,
2020-06-18,US_SD,15.0,585.0,93.0,,,,,,
2020-06-19,US_SD,4.0,589.0,95.0,,,,,,
2020-06-20,US_SD,9.0,598.0,91.0,,,,,,
2020-06-21,US_SD,10.0,608.0,89.0,,,,,,
2020-06-22,US_SD,8.0,616.0,88.0,,,,,,
2020-06-23,US_SD,8.0,624.0,85.0,,,,,,
2020-06-24,US_SD,5.0,629.0,81.0,,,,,,
2020-06-25,US_SD,3.0,632.0,79.0,,,,,,
2020-06-26,US_SD,7.0,639.0,79.0,,,,,,
2020-06-27,US_SD,6.0,645.0,73.0,,,,,,
2020-06-28,US_SD,7.0,652.0,75.0,,,,,,
2020-06-29,US_SD,5.0,657.0,70.0,,,,,,
2020-06-30,US_SD,9.0,666.0,62.0,,,,,,
2020-07-01,US_SD,8.0,674.0,65.0,,,,,,
2020-07-02,US_SD,9.0,683.0,64.0,,,,,,
2020-07-03,US_SD,4.0,687.0,58.0,,,,,,
2020-07-04,US_SD,2.0,689.0,54.0,,,,,,
2020-07-05,US_SD,2.0,691.0,59.0,,,,,,
2020-07-06,US_SD,1.0,692.0,59.0,,,,,,
2020-07-07,US_SD,7.0,699.0,64.0,,,,,,
2020-07-08,US_SD,10.0,709.0,54.0,,,,,,
2020-07-09,US_SD,9.0,718.0,61.0,,,,,,
2020-07-10,US_SD,8.0,726.0,65.0,,,,,,
2020-07-11,US_SD,12.0,738.0,65.0,,,,,,
2020-07-12,US_SD,0.0,738.0,53.0,,,,,,
2020-07-13,US_SD,4.0,742.0,63.0,,,,,,
2020-07-14,US_SD,2.0,744.0,62.0,,,,,,
2020-07-15,US_SD,15.0,15.0,24.0,,,5.0,,,
2020-07-16,US_SD,17.0,32.0,23.0,,,3.0,,,
2020-07-17,US_SD,16.0,48.0,28.0,,,5.0,,,
2020-07-18,US_SD,26.0,74.0,25.0,,,6.0,,,
2020-07-19,US_SD,3.0,77.0,21.0,,,6.0,,,
2020-07-20,US_SD,2.0,79.0,19.0,,,6.0,,,
2020-07-21,US_SD,1.0,80.0,19.0,,,6.0,,,
2020-07-22,US_SD,2.0,82.0,13.0,,,3.0,,,
2020-07-23,US_SD,2.0,84.0,12.0,,,2.0,,,
2020-07-24,US_SD,3.0,87.0,11.0,,,1.0,,,
2020-07-25,US_SD,4.0,91.0,26.0,,,1.0,,,
2020-07-26,US_SD,2.0,93.0,28.0,,,2.0,,,
2020-07-27,US_SD,2.0,95.0,15.0,,,2.0,,,
2020-07-28,US_SD,4.0,99.0,14.0,,,2.0,,,
2020-07-29,US_SD,6.0,105.0,15.0,,,2.0,,,
2020-07-30,US_SD,4.0,109.0,12.0,,,3.0,,,
2020-07-31,US_SD,6.0,115.0,22.0,,,6.0,,,
2020-08-01,US_SD,3.0,118.0,49.0,,,6.0,,,
2020-08-02,US_SD,6.0,124.0,54.0,,,6.0,,,
2020-08-03,US_SD,1.0,125.0,44.0,,,6.0,,,
2020-08-04,US_SD,6.0,131.0,50.0,,,8.0,,,
2020-08-05,US_SD,7.0,138.0,47.0,,,8.0,,,
2020-08-06,US_SD,8.0,146.0,45.0,,,8.0,,,
2020-08-07,US_SD,6.0,152.0,51.0,,,10.0,,,
2020-08-08,US_SD,16.0,168.0,60.0,,,11.0,,,
2020-08-09,US_SD,15.0,183.0,63.0,,,11.0,,,
2020-08-10,US_SD,14.0,197.0,67.0,,,13.0,,,
2020-08-11,US_SD,12.0,209.0,70.0,,,14.0,,,
2020-08-12,US_SD,11.0,220.0,61.0,,,16.0,,,
2020-08-13,US_SD,18.0,238.0,67.0,,,13.0,,,
2020-08-14,US_SD,14.0,252.0,69.0,,,13.0,,,
2020-08-15,US_SD,14.0,266.0,67.0,,,12.0,,,
2020-08-16,US_SD,10.0,276.0,65.0,,,11.0,,,
2020-08-17,US_SD,18.0,294.0,72.0,,,15.0,,,
2020-08-18,US_SD,14.0,308.0,65.0,,,18.0,,,
2020-08-19,US_SD,14.0,322.0,58.0,,,9.0,,,
2020-08-20,US_SD,10.0,332.0,59.0,,,20.0,,,
2020-08-21,US_SD,22.0,354.0,65.0,,,20.0,,,
2020-08-22,US_SD,13.0,367.0,61.0,,,19.0,,,
2020-08-23,US_SD,11.0,378.0,60.0,,,19.0,,,
2020-08-24,US_SD,16.0,394.0,62.0,,,19.0,,,
2020-08-25,US_SD,21.0,415.0,67.0,,,17.0,,,
2020-08-26,US_SD,18.0,433.0,72.0,,,17.0,,,
2020-08-27,US_SD,22.0,455.0,79.0,,,20.0,,,
2020-08-28,US_SD,25.0,480.0,83.0,,,24.0,,,
2020-08-29,US_SD,17.0,497.0,74.0,,,19.0,,,
2020-08-30,US_SD,22.0,519.0,81.0,,,24.0,,,
2020-08-31,US_SD,15.0,534.0,80.0,,,20.0,,,
2020-09-01,US_SD,18.0,552.0,81.0,,,22.0,,,
2020-09-02,US_SD,20.0,572.0,85.0,,,23.0,,,
2020-09-03,US_SD,23.0,595.0,94.0,,,20.0,,,
2020-09-04,US_SD,17.0,612.0,86.0,,,21.0,,,
2020-09-05,US_SD,12.0,624.0,90.0,,,20.0,,,
2020-09-06,US_SD,14.0,638.0,88.0,,,21.0,,,
2020-09-07,US_SD,10.0,648.0,79.0,,,25.0,,,
2020-09-08,US_SD,20.0,668.0,84.0,,,21.0,,,
2020-09-09,US_SD,19.0,687.0,83.0,,,22.0,,,
2020-09-10,US_SD,28.0,715.0,91.0,,,24.0,,,
2020-09-11,US_SD,30.0,745.0,99.0,,,22.0,,,
2020-09-12,US_SD,27.0,772.0,96.0,,,21.0,,,
2020-09-13,US_SD,20.0,792.0,99.0,,,23.0,,,
2020-09-14,US_SD,29.0,821.0,119.0,,,25.0,,,
2020-09-15,US_SD,37.0,858.0,128.0,,,25.0,,,
2020-09-16,US_SD,34.0,892.0,129.0,,,21.0,,,
2020-09-17,US_SD,34.0,926.0,127.0,,,24.0,,,
2020-09-18,US_SD,35.0,961.0,142.0,,,26.0,,,
2020-09-19,US_SD,36.0,997.0,150.0,,,25.0,,,
2020-09-20,US_SD,21.0,1018.0,142.0,,,24.0,,,
2020-09-21,US_SD,34.0,1052.0,154.0,,,28.0,,,
2020-09-22,US_SD,40.0,1092.0,167.0,,,32.0,,,
2020-09-23,US_SD,34.0,1126.0,166.0,,,26.0,,,
2020-09-24,US_SD,45.0,1171.0,172.0,,,24.0,,,
2020-09-25,US_SD,46.0,1217.0,190.0,,,30.0,,,
2020-09-26,US_SD,47.0,1264.0,188.0,,,33.0,,,
2020-09-27,US_SD,37.0,1301.0,183.0,,,31.0,,,
2020-09-28,US_SD,32.0,1333.0,190.0,,,29.0,,,
2020-09-29,US_SD,60.0,1393.0,192.0,,,34.0,,,
2020-09-30,US_SD,38.0,1431.0,179.0,,,43.0,,,
2020-10-01,US_SD,40.0,1471.0,182.0,,,45.0,,,
2020-10-02,US_SD,47.0,1518.0,190.0,,,48.0,,,
2020-10-03,US_SD,42.0,1560.0,199.0,,,45.0,,,
2020-10-04,US_SD,40.0,1600.0,218.0,,,49.0,,,
2020-10-05,US_SD,37.0,1637.0,161.0,,,57.0,,,
2020-10-06,US_SD,65.0,1702.0,238.0,,,56.0,,,
2020-10-07,US_SD,53.0,1755.0,261.0,,,57.0,,,
2020-10-08,US_SD,42.0,1797.0,187.0,,,63.0,,,
2020-10-09,US_SD,51.0,1848.0,242.0,,,64.0,,,
2020-10-10,US_SD,56.0,1904.0,248.0,,,62.0,,,
2020-10-11,US_SD,46.0,1950.0,257.0,,,59.0,,,
2020-10-12,US_SD,38.0,1988.0,265.0,,,62.0,,,
2020-10-13,US_SD,42.0,2030.0,271.0,,,62.0,,,
2020-10-14,US_SD,49.0,2079.0,278.0,,,60.0,,,
2020-10-15,US_SD,43.0,2122.0,278.0,,,55.0,,,
2020-10-16,US_SD,51.0,2173.0,283.0,,,61.0,,,
2020-10-17,US_SD,51.0,2224.0,293.0,,,66.0,,,
2020-10-18,US_SD,44.0,2268.0,293.0,,,65.0,,,
2020-10-19,US_SD,48.0,2316.0,311.0,,,66.0,,,
2020-10-20,US_SD,48.0,2364.0,320.0,,,70.0,,,
2020-10-21,US_SD,51.0,2415.0,283.0,,,76.0,,,
2020-10-22,US_SD,78.0,2493.0,336.0,,,74.0,,,
2020-10-23,US_SD,49.0,2542.0,341.0,,,71.0,,,
2020-10-24,US_SD,60.0,2602.0,349.0,,,70.0,,,
2020-10-25,US_SD,52.0,2654.0,371.0,,,83.0,,,
2020-10-26,US_SD,62.0,2716.0,387.0,,,77.0,,,
2020-10-27,US_SD,92.0,2808.0,401.0,,,79.0,,,
2020-10-28,US_SD,78.0,2886.0,401.0,,,71.0,,,
