date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-05,US_TN,0.0,,,,,,,,
2020-03-06,US_TN,0.0,,,,,,,,
2020-03-07,US_TN,0.0,,,,,,,,
2020-03-08,US_TN,0.0,,,,,,,,
2020-03-09,US_TN,0.0,,,,,,,,
2020-03-10,US_TN,0.0,,,,,,,,
2020-03-11,US_TN,0.0,,,,,,,,
2020-03-12,US_TN,0.0,,,,,,,,
2020-03-13,US_TN,0.0,,,,,,,,
2020-03-14,US_TN,0.0,,,,,,,,
2020-03-15,US_TN,0.0,,,,,,,,
2020-03-16,US_TN,0.0,,,,,,,,
2020-03-17,US_TN,0.0,,,,,,,,
2020-03-18,US_TN,0.0,,,,,,,,
2020-03-19,US_TN,0.0,,,,,,,,
2020-03-20,US_TN,0.0,,,,,,,,
2020-03-21,US_TN,0.0,,,,,,,,
2020-03-22,US_TN,0.0,,,,,,,,
2020-03-23,US_TN,0.0,,,,,,,,
2020-03-24,US_TN,0.0,,,,,,,,
2020-03-25,US_TN,53.0,53.0,,,,,,,
2020-03-26,US_TN,23.0,76.0,,,,,,,
2020-03-27,US_TN,27.0,103.0,,,,,,,
2020-03-28,US_TN,15.0,118.0,,,,,,,
2020-03-29,US_TN,15.0,133.0,,,,,,,
2020-03-30,US_TN,15.0,148.0,,,,,,,
2020-03-31,US_TN,27.0,175.0,9.0,,,,,,
2020-04-01,US_TN,25.0,200.0,486.0,,,,,,
2020-04-02,US_TN,63.0,263.0,656.0,,,,,,
2020-04-03,US_TN,30.0,293.0,625.0,,,,,,
2020-04-04,US_TN,18.0,311.0,601.0,,,,,,
2020-04-05,US_TN,17.0,328.0,637.0,,,,,,
2020-04-06,US_TN,24.0,352.0,834.0,,,,,,
2020-04-07,US_TN,56.0,408.0,802.0,,,,,,
2020-04-08,US_TN,41.0,449.0,708.0,,,,,,
2020-04-09,US_TN,56.0,505.0,639.0,,,,,,
2020-04-10,US_TN,31.0,536.0,561.0,,,,,,
2020-04-11,US_TN,20.0,556.0,411.0,,,,,,
2020-04-12,US_TN,11.0,567.0,324.0,,,,,,
