date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-03,US_TX,0.0,,,,,,,,
2020-03-04,US_TX,0.0,,,,,,,,
2020-03-05,US_TX,0.0,,,,,,,,
2020-03-06,US_TX,0.0,,,,,,,,
2020-03-07,US_TX,0.0,,,,,,,,
2020-03-08,US_TX,0.0,,,,,,,,
2020-03-09,US_TX,0.0,,,,,,,,
2020-03-10,US_TX,0.0,,,,,,,,
2020-03-11,US_TX,0.0,,,,,,,,
2020-03-12,US_TX,0.0,,,,,,,,
2020-03-13,US_TX,0.0,,,,,,,,
2020-03-14,US_TX,0.0,,,,,,,,
2020-03-15,US_TX,0.0,,,,,,,,
2020-03-16,US_TX,0.0,,,,,,,,
2020-03-17,US_TX,0.0,,,,,,,,
2020-03-18,US_TX,0.0,,,,,,,,
2020-03-19,US_TX,0.0,,,,,,,,
2020-03-20,US_TX,0.0,,,,,,,,
2020-03-21,US_TX,0.0,,,,,,,,
2020-03-22,US_TX,0.0,,,,,,,,
2020-03-23,US_TX,0.0,,,,,,,,
2020-03-24,US_TX,0.0,,,,,,,,
2020-03-25,US_TX,0.0,,,,,,,,
2020-03-26,US_TX,0.0,,,,,,,,
2020-03-27,US_TX,0.0,,,,,,,,
2020-03-28,US_TX,0.0,,,,,,,,
2020-03-29,US_TX,0.0,,,,,,,,
2020-03-30,US_TX,0.0,,,,,,,,
2020-03-31,US_TX,0.0,,196.0,,,,,,
2020-04-01,US_TX,0.0,,196.0,,,,,,
2020-04-02,US_TX,0.0,,196.0,,,,,,
2020-04-03,US_TX,0.0,,196.0,,,,,,
2020-04-04,US_TX,0.0,,196.0,,,,,,
2020-04-05,US_TX,0.0,,827.0,,,,,,
2020-04-06,US_TX,0.0,,1153.0,,,,,,
2020-04-07,US_TX,0.0,,1252.0,,,,,,
2020-04-08,US_TX,0.0,,1491.0,,,,,,
2020-04-09,US_TX,0.0,,1439.0,,,,,,
2020-04-10,US_TX,0.0,,1532.0,,,,,,
2020-04-11,US_TX,0.0,,1514.0,,,563.0,,,
2020-04-12,US_TX,0.0,,1338.0,,,591.0,,,
2020-04-13,US_TX,0.0,,1176.0,,,594.0,,,
2020-04-14,US_TX,0.0,,1409.0,,,688.0,,,
2020-04-15,US_TX,0.0,,1538.0,,,663.0,,,
2020-04-16,US_TX,0.0,,1459.0,,,694.0,,,
2020-04-17,US_TX,0.0,,1522.0,,,583.0,,,
2020-04-18,US_TX,0.0,,1321.0,,,624.0,,,
2020-04-19,US_TX,0.0,,1471.0,,,620.0,,,
2020-04-20,US_TX,0.0,,1411.0,,,636.0,,,
2020-04-21,US_TX,0.0,,1419.0,,,691.0,,,
2020-04-22,US_TX,0.0,,1678.0,,,689.0,,,
2020-04-23,US_TX,0.0,,1649.0,,,670.0,,,
2020-04-24,US_TX,0.0,,1674.0,,,651.0,,,
2020-04-25,US_TX,0.0,,1597.0,,,645.0,,,
2020-04-26,US_TX,0.0,,1542.0,,,660.0,,,
2020-04-27,US_TX,0.0,,1563.0,,,684.0,,,
2020-04-28,US_TX,0.0,,1682.0,,,718.0,,,
2020-04-29,US_TX,0.0,,1702.0,,,704.0,,,
2020-04-30,US_TX,0.0,,1686.0,,,736.0,,,
2020-05-01,US_TX,0.0,,1778.0,,,711.0,,,
2020-05-02,US_TX,0.0,,1725.0,,,624.0,,,
2020-05-03,US_TX,0.0,,1540.0,,,619.0,,,
2020-05-04,US_TX,0.0,,1533.0,,,689.0,,,
2020-05-05,US_TX,0.0,,1888.0,,,726.0,,,
2020-05-06,US_TX,0.0,,1812.0,,,716.0,,,
2020-05-07,US_TX,0.0,,1750.0,,,697.0,,,
2020-05-08,US_TX,0.0,,1734.0,,,674.0,,,
2020-05-09,US_TX,0.0,,1735.0,,,661.0,,,
2020-05-10,US_TX,0.0,,1626.0,,,610.0,,,
2020-05-11,US_TX,0.0,,1525.0,,,699.0,,,
2020-05-12,US_TX,0.0,,1725.0,,,674.0,,,
2020-05-13,US_TX,0.0,,1676.0,,,673.0,,,
2020-05-14,US_TX,0.0,,1648.0,,,683.0,,,
2020-05-15,US_TX,0.0,,1716.0,,,687.0,,,
2020-05-16,US_TX,0.0,,1791.0,,,604.0,,,
2020-05-17,US_TX,0.0,,1512.0,,,618.0,,,
2020-05-18,US_TX,0.0,,1551.0,,,675.0,,,
2020-05-19,US_TX,0.0,,1732.0,,,694.0,,,
2020-05-20,US_TX,0.0,,1791.0,,,690.0,,,
2020-05-21,US_TX,0.0,,1680.0,,,665.0,,,
2020-05-22,US_TX,0.0,,1578.0,,,666.0,,,
2020-05-23,US_TX,0.0,,1688.0,,,643.0,,,
2020-05-24,US_TX,0.0,,1572.0,,,657.0,,,
2020-05-25,US_TX,0.0,,1511.0,,,647.0,,,
