date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-07,US_UT,0.0,,,,,,,,
2020-03-08,US_UT,0.0,,,,,,,,
2020-03-09,US_UT,0.0,,,,,,,,
2020-03-10,US_UT,0.0,,,,,,,,
2020-03-11,US_UT,0.0,,,,,,,,
2020-03-12,US_UT,0.0,,,,,,,,
2020-03-13,US_UT,0.0,,,,,,,,
2020-03-14,US_UT,0.0,,,,,,,,
2020-03-15,US_UT,0.0,,,,,,,,
2020-03-16,US_UT,0.0,,,,,,,,
2020-03-17,US_UT,0.0,,,,,,,,
2020-03-18,US_UT,0.0,,,,,,,,
2020-03-19,US_UT,0.0,,,,,,,,
2020-03-20,US_UT,0.0,,,,,,,,
2020-03-21,US_UT,0.0,,,,,,,,
2020-03-22,US_UT,0.0,,,,,,,,
2020-03-23,US_UT,0.0,,,,,,,,
2020-03-24,US_UT,0.0,,,,,,,,
2020-03-25,US_UT,0.0,,,,,,,,
2020-03-26,US_UT,0.0,,,,,,,,
2020-03-27,US_UT,0.0,,,,,,,,
2020-03-28,US_UT,0.0,,,,,,,,
2020-03-29,US_UT,0.0,,,,,,,,
2020-03-30,US_UT,0.0,,,,,,,,
2020-03-31,US_UT,73.0,73.0,,,,,,,
2020-04-01,US_UT,18.0,91.0,,,,,,,
2020-04-02,US_UT,9.0,100.0,,,,,,,
2020-04-03,US_UT,6.0,106.0,,,,,,,
2020-04-04,US_UT,11.0,117.0,,,,,,,
2020-04-05,US_UT,7.0,124.0,,,,,,,
2020-04-06,US_UT,14.0,138.0,,,,,,,
2020-04-07,US_UT,10.0,148.0,,,,,,,
2020-04-08,US_UT,10.0,158.0,,,,,,,
2020-04-09,US_UT,10.0,168.0,,,,,,,
2020-04-10,US_UT,15.0,183.0,,,,,,,
2020-04-11,US_UT,7.0,190.0,,,,,,,
2020-04-12,US_UT,5.0,195.0,,,,,,,
2020-04-13,US_UT,6.0,201.0,,,,,,,
2020-04-14,US_UT,12.0,213.0,,,,,,,
2020-04-15,US_UT,8.0,221.0,,,,,,,
2020-04-16,US_UT,17.0,238.0,,,,,,,
2020-04-17,US_UT,6.0,244.0,,,,,,,
2020-04-18,US_UT,7.0,251.0,,,,,,,
2020-04-19,US_UT,8.0,259.0,,,,,,,
2020-04-20,US_UT,9.0,268.0,,,,,,,
2020-04-21,US_UT,9.0,277.0,,,,,,,
2020-04-22,US_UT,11.0,288.0,,,,,,,
2020-04-23,US_UT,13.0,301.0,,,,,,,
2020-04-24,US_UT,14.0,315.0,,,,,,,
2020-04-25,US_UT,14.0,329.0,,,,,,,
2020-04-26,US_UT,16.0,345.0,,,,,,,
2020-04-27,US_UT,4.0,349.0,,,,,,,
2020-04-28,US_UT,21.0,370.0,,,,,,,
2020-04-29,US_UT,13.0,383.0,,,,,,,
2020-04-30,US_UT,7.0,390.0,,,,,,,
2020-05-01,US_UT,13.0,403.0,,,,,,,
2020-05-02,US_UT,15.0,418.0,,,,,,,
2020-05-03,US_UT,18.0,436.0,,,,,,,
2020-05-04,US_UT,5.0,441.0,,,,,,,
2020-05-05,US_UT,15.0,456.0,,,,,,,
2020-05-06,US_UT,8.0,464.0,,,,,,,
2020-05-07,US_UT,12.0,476.0,194.0,,159.0,,,73.0,
2020-05-08,US_UT,12.0,488.0,216.0,3.0,162.0,,0.0,73.0,
2020-05-09,US_UT,10.0,498.0,172.0,4.0,166.0,,2.0,75.0,
2020-05-10,US_UT,14.0,512.0,144.0,2.0,168.0,,1.0,76.0,
2020-05-11,US_UT,5.0,517.0,160.0,1.0,169.0,,0.0,76.0,
2020-05-12,US_UT,18.0,535.0,166.0,9.0,178.0,,4.0,80.0,
2020-05-13,US_UT,18.0,553.0,158.0,4.0,182.0,,1.0,81.0,
2020-05-14,US_UT,5.0,558.0,142.0,5.0,187.0,,2.0,83.0,
2020-05-15,US_UT,8.0,566.0,161.0,3.0,190.0,,0.0,83.0,
2020-05-16,US_UT,12.0,578.0,168.0,4.0,194.0,,1.0,84.0,
2020-05-17,US_UT,8.0,586.0,181.0,2.0,196.0,,0.0,84.0,
2020-05-18,US_UT,9.0,595.0,179.0,1.0,197.0,,0.0,84.0,
2020-05-19,US_UT,24.0,619.0,96.0,0.0,197.0,,0.0,84.0,
