date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-01-27,US_VA,0.0,,,,,,,,
2020-01-28,US_VA,0.0,,,,,,,,
2020-01-29,US_VA,0.0,,,,,,,,
2020-01-30,US_VA,0.0,,,,,,,,
2020-01-31,US_VA,0.0,,,,,,,,
2020-02-01,US_VA,0.0,,,,,,,,
2020-02-02,US_VA,0.0,,,,,,,,
2020-02-03,US_VA,0.0,,,,,,,,
2020-02-04,US_VA,0.0,,,,,,,,
2020-02-05,US_VA,0.0,,,,,,,,
2020-02-06,US_VA,0.0,,,,,,,,
2020-02-07,US_VA,0.0,,,,,,,,
2020-02-08,US_VA,0.0,,,,,,,,
2020-02-09,US_VA,0.0,,,,,,,,
2020-02-10,US_VA,0.0,,,,,,,,
2020-02-11,US_VA,0.0,,,,,,,,
2020-02-12,US_VA,0.0,,,,,,,,
2020-02-13,US_VA,0.0,,,,,,,,
2020-02-14,US_VA,0.0,,,,,,,,
2020-02-15,US_VA,0.0,,,,,,,,
2020-02-16,US_VA,0.0,,,,,,,,
2020-02-17,US_VA,0.0,,,,,,,,
2020-02-18,US_VA,0.0,,,,,,,,
2020-02-19,US_VA,0.0,,,,,,,,
2020-02-20,US_VA,0.0,,,,,,,,
2020-02-21,US_VA,0.0,,,,,,,,
2020-02-22,US_VA,0.0,,,,,,,,
2020-02-23,US_VA,0.0,,,,,,,,
2020-02-24,US_VA,0.0,,,,,,,,
2020-02-25,US_VA,0.0,,,,,,,,
2020-02-26,US_VA,0.0,,,,,,,,
2020-02-27,US_VA,0.0,,,,,,,,
2020-02-28,US_VA,0.0,,,,,,,,
2020-02-29,US_VA,0.0,,,,,,,,
2020-03-01,US_VA,0.0,,,,,,,,
2020-03-02,US_VA,0.0,,,,,,,,
2020-03-03,US_VA,0.0,,,,,,,,
2020-03-04,US_VA,0.0,,,,,,,,
2020-03-05,US_VA,0.0,,,,,,,,
2020-03-06,US_VA,0.0,,,,,,,,
2020-03-07,US_VA,0.0,,,,,,,,
2020-03-08,US_VA,0.0,,,,,,,,
2020-03-09,US_VA,0.0,,,,,,,,
2020-03-10,US_VA,0.0,,,,,,,,
2020-03-11,US_VA,0.0,,,,,,,,
2020-03-12,US_VA,0.0,,,,,,,,
2020-03-13,US_VA,0.0,,,,,,,,
2020-03-14,US_VA,0.0,,,,,,,,
2020-03-15,US_VA,0.0,,,,,,,,
2020-03-16,US_VA,0.0,,,,,,,,
2020-03-17,US_VA,0.0,,,,,,,,
2020-03-18,US_VA,0.0,,,,,,,,
2020-03-19,US_VA,0.0,,,,,,,,
2020-03-20,US_VA,19.0,19.0,,,,,,,
2020-03-21,US_VA,1.0,20.0,,,,,,,
2020-03-22,US_VA,5.0,25.0,,,,,,,
2020-03-23,US_VA,7.0,32.0,,,,,,,
2020-03-24,US_VA,6.0,38.0,,,,,,,
2020-03-25,US_VA,7.0,45.0,,,,,,,
2020-03-26,US_VA,14.0,59.0,,,,,,,
2020-03-27,US_VA,6.0,65.0,,,,,,,
2020-03-28,US_VA,18.0,83.0,,,,,,,
2020-03-29,US_VA,16.0,99.0,,,,,,,
2020-03-30,US_VA,13.0,112.0,,,,,,,
2020-03-31,US_VA,24.0,136.0,,,,,,,
2020-04-01,US_VA,29.0,165.0,,,,,,,
2020-04-02,US_VA,43.0,208.0,246.0,,,,,,
2020-04-03,US_VA,38.0,246.0,,,,,,,
2020-04-04,US_VA,66.0,312.0,,,,,,,
2020-04-05,US_VA,78.0,390.0,,,,,,,
2020-04-06,US_VA,41.0,431.0,,,,,,,
2020-04-07,US_VA,66.0,497.0,,,,,,,
2020-04-08,US_VA,66.0,563.0,,,,,,,
2020-04-09,US_VA,0.0,563.0,669.0,,,469.0,,,285.0
2020-04-10,US_VA,122.0,685.0,1238.0,,,457.0,,,287.0
2020-04-11,US_VA,87.0,772.0,1252.0,,,426.0,,,283.0
2020-04-12,US_VA,65.0,837.0,751.0,,,440.0,,,294.0
2020-04-13,US_VA,35.0,872.0,1238.0,,,428.0,,,302.0
2020-04-14,US_VA,31.0,903.0,1282.0,,,422.0,,,276.0
2020-04-15,US_VA,75.0,978.0,1298.0,,,394.0,,,234.0
2020-04-16,US_VA,70.0,1048.0,1337.0,,,427.0,,,238.0
2020-04-17,US_VA,66.0,1114.0,1308.0,,,400.0,,,224.0
2020-04-18,US_VA,107.0,1221.0,1307.0,,,398.0,,,230.0
2020-04-19,US_VA,75.0,1296.0,1319.0,,,388.0,,,231.0
2020-04-20,US_VA,126.0,1422.0,1296.0,,,396.0,,,237.0
2020-04-21,US_VA,78.0,1500.0,1331.0,,,403.0,,,251.0
2020-04-22,US_VA,81.0,1581.0,1374.0,,,419.0,,,244.0
2020-04-23,US_VA,78.0,1659.0,1379.0,,,400.0,,,249.0
2020-04-24,US_VA,94.0,1753.0,1399.0,,,379.0,,,220.0
2020-04-25,US_VA,84.0,1837.0,1405.0,,,357.0,,,223.0
2020-04-26,US_VA,105.0,1942.0,1436.0,,,387.0,,,217.0
2020-04-27,US_VA,72.0,2014.0,1455.0,,,389.0,,,217.0
2020-04-28,US_VA,52.0,2066.0,1508.0,,,376.0,,,217.0
2020-04-29,US_VA,99.0,2165.0,1566.0,,,387.0,,,222.0
2020-04-30,US_VA,94.0,2259.0,1550.0,,,372.0,,,208.0
2020-05-01,US_VA,63.0,2322.0,1431.0,,,366.0,,,193.0
2020-05-02,US_VA,94.0,2416.0,1426.0,,,375.0,,,202.0
2020-05-03,US_VA,103.0,2519.0,1413.0,,,385.0,,,193.0
2020-05-04,US_VA,108.0,2627.0,1463.0,,,348.0,,,192.0
2020-05-05,US_VA,73.0,2700.0,1496.0,,,361.0,,,189.0
2020-05-06,US_VA,73.0,2773.0,1496.0,,,361.0,,,189.0
2020-05-07,US_VA,182.0,2955.0,1613.0,,,371.0,,,203.0
2020-05-08,US_VA,104.0,3059.0,1625.0,,,378.0,,,199.0
2020-05-09,US_VA,105.0,3164.0,1593.0,,,367.0,,,198.0
2020-05-10,US_VA,47.0,3211.0,1555.0,,,351.0,,,187.0
2020-05-11,US_VA,89.0,3300.0,1504.0,,,362.0,,,194.0
2020-05-12,US_VA,95.0,3395.0,1529.0,,,364.0,,,201.0
2020-05-13,US_VA,125.0,3520.0,1526.0,,,374.0,,,202.0
2020-05-14,US_VA,72.0,3592.0,1533.0,,,355.0,,,201.0
2020-05-15,US_VA,65.0,3657.0,1511.0,,,362.0,,,195.0
2020-05-16,US_VA,67.0,3724.0,1505.0,,,381.0,,,189.0
2020-05-17,US_VA,51.0,3775.0,1524.0,,,379.0,,,195.0
2020-05-18,US_VA,47.0,3822.0,1502.0,,,361.0,,,194.0
2020-05-19,US_VA,82.0,3904.0,1497.0,,,377.0,,,199.0
2020-05-20,US_VA,75.0,3979.0,1536.0,,,370.0,,,202.0
2020-05-21,US_VA,114.0,4093.0,1491.0,,,351.0,,,191.0
2020-05-22,US_VA,52.0,4145.0,1459.0,,,366.0,,,207.0
2020-05-23,US_VA,36.0,4181.0,1384.0,,,330.0,,,213.0
2020-05-24,US_VA,33.0,4214.0,1351.0,,,354.0,,,192.0
2020-05-25,US_VA,55.0,4269.0,1376.0,,,349.0,,,182.0
2020-05-26,US_VA,56.0,4325.0,1403.0,,,366.0,,,190.0
2020-05-27,US_VA,60.0,4385.0,1459.0,,,390.0,,,203.0
2020-05-28,US_VA,57.0,4442.0,1502.0,,,416.0,,,195.0
2020-05-29,US_VA,87.0,4529.0,1524.0,,,373.0,,,193.0
2020-05-30,US_VA,72.0,4601.0,1471.0,,,372.0,,,194.0
2020-05-31,US_VA,42.0,4643.0,1458.0,,,371.0,,,196.0
2020-06-01,US_VA,51.0,4694.0,1371.0,,,347.0,,,188.0
2020-06-02,US_VA,76.0,4770.0,1362.0,,,336.0,,,186.0
2020-06-03,US_VA,114.0,4884.0,1311.0,,,313.0,,,185.0
2020-06-04,US_VA,73.0,4957.0,1266.0,,,321.0,,,171.0
2020-06-05,US_VA,51.0,5008.0,1205.0,,,320.0,,,161.0
2020-06-06,US_VA,46.0,5054.0,1171.0,,,324.0,,,169.0
2020-06-07,US_VA,52.0,5106.0,1186.0,,,316.0,,,165.0
