date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-03,US_VT,0.0,,,,,,,,
2020-03-04,US_VT,0.0,,,,,,,,
2020-03-05,US_VT,0.0,,,,,,,,
2020-03-06,US_VT,0.0,,,,,,,,
2020-03-07,US_VT,0.0,,,,,,,,
2020-03-08,US_VT,0.0,,,,,,,,
2020-03-09,US_VT,0.0,,,,,,,,
2020-03-10,US_VT,0.0,,,,,,,,
2020-03-11,US_VT,0.0,,,,,,,,
2020-03-12,US_VT,0.0,,,,,,,,
2020-03-13,US_VT,0.0,,,,,,,,
2020-03-14,US_VT,0.0,,,,,,,,
2020-03-15,US_VT,0.0,,,,,,,,
2020-03-16,US_VT,0.0,,,,,,,,
2020-03-17,US_VT,0.0,,,,,,,,
2020-03-18,US_VT,0.0,,,,,,,,
2020-03-19,US_VT,0.0,,,,,,,,
2020-03-20,US_VT,0.0,,,,,,,,
2020-03-21,US_VT,0.0,,,,,,,,
2020-03-22,US_VT,0.0,,,,,,,,
2020-03-23,US_VT,0.0,,,,,,,,
2020-03-24,US_VT,0.0,,,,,,,,
2020-03-25,US_VT,0.0,,,,,,,,
2020-03-26,US_VT,0.0,,,,,,,,
2020-03-27,US_VT,18.0,18.0,,,,,,,
2020-03-28,US_VT,0.0,18.0,,,,,,,
2020-03-29,US_VT,0.0,18.0,,,,,,,
2020-03-30,US_VT,0.0,18.0,,,,,,,
2020-03-31,US_VT,18.0,36.0,21.0,,,,,,
2020-04-01,US_VT,9.0,45.0,30.0,,,,,,
2020-04-02,US_VT,0.0,45.0,29.0,,,,,,
2020-04-03,US_VT,0.0,45.0,29.0,,,,,,
2020-04-04,US_VT,0.0,45.0,29.0,,,,,,
2020-04-05,US_VT,0.0,45.0,29.0,,,,,,
2020-04-06,US_VT,0.0,45.0,28.0,,,,,,
2020-04-07,US_VT,0.0,45.0,29.0,,,,,,
2020-04-08,US_VT,5.0,50.0,35.0,,,,,,
2020-04-09,US_VT,-50.0,,33.0,,,,,,
2020-04-10,US_VT,0.0,,32.0,,,,,,
