date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,new_ventilator_patients,cumulative_ventilator_patients,current_ventilator_patients
2020-03-03,US_WI,0.0,,,,,,,,
2020-03-04,US_WI,0.0,,,,,,,,
2020-03-05,US_WI,0.0,,,,,,,,
2020-03-06,US_WI,0.0,,,,,,,,
2020-03-07,US_WI,0.0,,,,,,,,
2020-03-08,US_WI,0.0,,,,,,,,
2020-03-09,US_WI,0.0,,,,,,,,
2020-03-10,US_WI,0.0,,,,,,,,
2020-03-11,US_WI,0.0,,,,,,,,
2020-03-12,US_WI,0.0,,,,,,,,
2020-03-13,US_WI,0.0,,,,,,,,
2020-03-14,US_WI,0.0,,,,,,,,
2020-03-15,US_WI,0.0,,,,,,,,
2020-03-16,US_WI,0.0,,,,,,,,
2020-03-17,US_WI,0.0,,,,,,,,
2020-03-18,US_WI,0.0,,,,,,,,
2020-03-19,US_WI,0.0,,,,,,,,
2020-03-20,US_WI,0.0,,,,,,,,
2020-03-21,US_WI,0.0,,,,,,,,
2020-03-22,US_WI,0.0,,,,,,,,
2020-03-23,US_WI,0.0,,,,,,,,
2020-03-24,US_WI,0.0,,,,,,,,
2020-03-25,US_WI,0.0,,,,,,,,
2020-03-26,US_WI,0.0,,,,,,,,
2020-03-27,US_WI,0.0,,,,,,,,
2020-03-28,US_WI,0.0,,,,,,,,
2020-03-29,US_WI,0.0,,,,,,,,
2020-03-30,US_WI,0.0,,,,,,,,
2020-03-31,US_WI,337.0,337.0,,,,,,,
2020-04-01,US_WI,61.0,398.0,,,,,,,
2020-04-02,US_WI,63.0,461.0,192.0,,,103.0,,,
2020-04-03,US_WI,26.0,487.0,257.0,,,117.0,,,
2020-04-04,US_WI,101.0,588.0,279.0,,,117.0,,,
2020-04-05,US_WI,36.0,624.0,294.0,,175.0,134.0,,,
2020-04-06,US_WI,44.0,668.0,300.0,11.0,186.0,136.0,,,
2020-04-07,US_WI,77.0,745.0,334.0,14.0,200.0,157.0,,,
2020-04-08,US_WI,45.0,790.0,351.0,18.0,218.0,157.0,,,
2020-04-09,US_WI,53.0,843.0,446.0,12.0,230.0,196.0,,,
2020-04-10,US_WI,61.0,904.0,443.0,17.0,247.0,185.0,,,
2020-04-11,US_WI,46.0,950.0,445.0,10.0,257.0,184.0,,,
2020-04-12,US_WI,24.0,974.0,443.0,4.0,261.0,176.0,,,
2020-04-13,US_WI,19.0,993.0,431.0,3.0,264.0,163.0,,,
2020-04-14,US_WI,56.0,1049.0,441.0,19.0,283.0,161.0,,,
2020-04-15,US_WI,42.0,1091.0,406.0,7.0,290.0,162.0,,,
2020-04-16,US_WI,30.0,1121.0,394.0,9.0,299.0,147.0,,,
2020-04-17,US_WI,32.0,1153.0,361.0,7.0,306.0,141.0,,,348.0
2020-04-18,US_WI,23.0,1176.0,361.0,1.0,307.0,136.0,,,
2020-04-19,US_WI,14.0,1190.0,357.0,0.0,307.0,137.0,,,
2020-04-20,US_WI,21.0,1211.0,357.0,0.0,307.0,142.0,,,
2020-04-21,US_WI,41.0,1252.0,358.0,17.0,324.0,137.0,,,
2020-04-22,US_WI,50.0,1302.0,352.0,0.0,324.0,137.0,,,
2020-04-23,US_WI,16.0,1318.0,349.0,18.0,342.0,146.0,,,
2020-04-24,US_WI,35.0,1353.0,356.0,4.0,346.0,146.0,,,
2020-04-25,US_WI,23.0,1376.0,341.0,7.0,353.0,137.0,,,
2020-04-26,US_WI,21.0,1397.0,343.0,0.0,353.0,141.0,,,
2020-04-27,US_WI,18.0,1415.0,335.0,2.0,355.0,124.0,,,
2020-04-28,US_WI,41.0,1456.0,351.0,8.0,363.0,123.0,,,
2020-04-29,US_WI,33.0,1489.0,350.0,0.0,363.0,121.0,,,
2020-04-30,US_WI,23.0,1512.0,359.0,19.0,382.0,119.0,,,
2020-05-01,US_WI,32.0,1544.0,341.0,9.0,391.0,127.0,,,
2020-05-02,US_WI,47.0,1591.0,352.0,9.0,400.0,119.0,,,
2020-05-03,US_WI,17.0,1608.0,348.0,2.0,402.0,116.0,,,
2020-05-04,US_WI,13.0,1621.0,348.0,2.0,404.0,116.0,,,
2020-05-05,US_WI,42.0,1663.0,309.0,10.0,414.0,91.0,,,
2020-05-06,US_WI,31.0,1694.0,298.0,9.0,423.0,107.0,,,
2020-05-07,US_WI,38.0,1732.0,339.0,12.0,435.0,107.0,,,
2020-05-08,US_WI,35.0,1767.0,345.0,6.0,441.0,110.0,,,
2020-05-09,US_WI,39.0,1806.0,339.0,11.0,452.0,110.0,,,
2020-05-10,US_WI,14.0,1820.0,332.0,4.0,456.0,113.0,,,
2020-05-11,US_WI,26.0,1846.0,340.0,4.0,460.0,117.0,,,
2020-05-12,US_WI,31.0,1877.0,326.0,4.0,464.0,115.0,,,
2020-05-13,US_WI,31.0,1908.0,343.0,5.0,469.0,122.0,,,
2020-05-14,US_WI,31.0,1939.0,352.0,9.0,478.0,120.0,,,
2020-05-15,US_WI,38.0,1977.0,356.0,7.0,485.0,125.0,,,
2020-05-16,US_WI,41.0,2018.0,361.0,3.0,488.0,128.0,,,
2020-05-17,US_WI,20.0,2038.0,364.0,6.0,494.0,131.0,,,
2020-05-18,US_WI,30.0,2068.0,379.0,2.0,496.0,127.0,,,
2020-05-19,US_WI,42.0,2110.0,398.0,7.0,503.0,130.0,,,
2020-05-20,US_WI,51.0,2161.0,393.0,12.0,515.0,128.0,,,
2020-05-21,US_WI,57.0,2218.0,398.0,11.0,526.0,126.0,,,
2020-05-22,US_WI,41.0,2259.0,416.0,9.0,535.0,134.0,,,
2020-05-23,US_WI,33.0,2292.0,388.0,7.0,542.0,128.0,,,
2020-05-24,US_WI,23.0,2315.0,399.0,-1.0,541.0,126.0,,,
2020-05-25,US_WI,24.0,2339.0,388.0,2.0,543.0,121.0,,,
2020-05-26,US_WI,23.0,2362.0,422.0,1.0,544.0,135.0,,,
2020-05-27,US_WI,49.0,2411.0,413.0,6.0,550.0,139.0,,,
2020-05-28,US_WI,41.0,2452.0,408.0,6.0,556.0,138.0,,,
2020-05-29,US_WI,47.0,2499.0,423.0,11.0,567.0,144.0,,,
2020-05-30,US_WI,64.0,2563.0,409.0,10.0,577.0,144.0,,,
2020-05-31,US_WI,20.0,2583.0,414.0,8.0,585.0,133.0,,,
2020-06-01,US_WI,20.0,2603.0,403.0,1.0,586.0,136.0,,,
2020-06-02,US_WI,40.0,2643.0,388.0,7.0,593.0,139.0,,,
2020-06-03,US_WI,57.0,2700.0,357.0,13.0,606.0,130.0,,,
2020-06-04,US_WI,39.0,2739.0,355.0,10.0,616.0,117.0,,,
2020-06-05,US_WI,52.0,2791.0,355.0,9.0,625.0,124.0,,,
2020-06-06,US_WI,41.0,2832.0,315.0,11.0,636.0,118.0,,,
2020-06-07,US_WI,16.0,2848.0,308.0,2.0,638.0,107.0,,,
2020-06-08,US_WI,12.0,2860.0,322.0,-1.0,637.0,110.0,,,
2020-06-09,US_WI,44.0,2904.0,331.0,12.0,649.0,117.0,,,
2020-06-10,US_WI,39.0,2943.0,328.0,5.0,654.0,114.0,,,
2020-06-11,US_WI,33.0,2976.0,306.0,6.0,660.0,101.0,,,
2020-06-12,US_WI,27.0,3003.0,287.0,10.0,670.0,104.0,,,
2020-06-13,US_WI,32.0,3035.0,285.0,7.0,677.0,99.0,,,
2020-06-14,US_WI,14.0,3049.0,291.0,3.0,680.0,101.0,,,
2020-06-15,US_WI,12.0,3061.0,284.0,0.0,680.0,100.0,,,
2020-06-16,US_WI,35.0,3096.0,275.0,7.0,687.0,100.0,,,
2020-06-17,US_WI,32.0,3128.0,247.0,9.0,696.0,93.0,,,
2020-06-18,US_WI,32.0,3160.0,241.0,5.0,701.0,82.0,,,
2020-06-19,US_WI,17.0,3177.0,241.0,3.0,704.0,91.0,,,
2020-06-20,US_WI,26.0,3203.0,239.0,4.0,708.0,90.0,,,
2020-06-21,US_WI,17.0,3220.0,243.0,2.0,710.0,94.0,,,
2020-06-22,US_WI,11.0,3231.0,246.0,1.0,711.0,93.0,,,
2020-06-23,US_WI,37.0,3268.0,240.0,5.0,716.0,93.0,,,
