date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-02-15,US_IA,8.0,13.0,24.0,0.0,3.0,-1.0
2020-02-16,US_IA,10.0,18.0,16.0,-4.0,2.0,-1.0
2020-02-17,US_IA,-2.0,5.0,-8.0,-7.0,-8.0,4.0
2020-02-18,US_IA,-3.0,6.0,5.0,-1.0,1.0,0.0
2020-02-19,US_IA,-3.0,6.0,-2.0,0.0,3.0,0.0
2020-02-20,US_IA,-1.0,5.0,0.0,-2.0,1.0,1.0
2020-02-21,US_IA,9.0,6.0,13.0,4.0,3.0,-3.0
2020-02-22,US_IA,10.0,14.0,51.0,3.0,5.0,-2.0
2020-02-23,US_IA,14.0,22.0,83.0,3.0,5.0,-2.0
2020-02-24,US_IA,1.0,11.0,8.0,-3.0,4.0,0.0
2020-02-25,US_IA,-2.0,3.0,7.0,-4.0,1.0,1.0
2020-02-26,US_IA,7.0,10.0,6.0,5.0,4.0,-1.0
2020-02-27,US_IA,5.0,3.0,13.0,0.0,2.0,0.0
2020-02-28,US_IA,11.0,11.0,15.0,6.0,5.0,-3.0
2020-02-29,US_IA,14.0,18.0,48.0,9.0,4.0,-3.0
2020-03-01,US_IA,20.0,29.0,110.0,7.0,5.0,-3.0
2020-03-02,US_IA,6.0,13.0,19.0,-3.0,4.0,0.0
2020-03-03,US_IA,8.0,15.0,36.0,-1.0,2.0,-1.0
2020-03-04,US_IA,9.0,17.0,52.0,5.0,4.0,-1.0
2020-03-05,US_IA,3.0,6.0,12.0,3.0,3.0,0.0
2020-03-06,US_IA,13.0,15.0,47.0,14.0,6.0,-4.0
2020-03-07,US_IA,13.0,22.0,83.0,18.0,6.0,-3.0
2020-03-08,US_IA,18.0,28.0,140.0,17.0,5.0,-3.0
2020-03-09,US_IA,-1.0,10.0,-5.0,0.0,3.0,1.0
2020-03-10,US_IA,5.0,16.0,36.0,6.0,1.0,0.0
2020-03-11,US_IA,8.0,22.0,50.0,9.0,4.0,-1.0
2020-03-12,US_IA,5.0,22.0,31.0,5.0,0.0,0.0
2020-03-13,US_IA,10.0,33.0,39.0,11.0,0.0,-2.0
2020-03-14,US_IA,-7.0,18.0,-16.0,-1.0,1.0,3.0
2020-03-15,US_IA,0.0,30.0,18.0,1.0,-2.0,1.0
2020-03-16,US_IA,-3.0,48.0,15.0,-5.0,-15.0,5.0
2020-03-17,US_IA,-21.0,34.0,65.0,-2.0,-23.0,8.0
