date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-02-15,US_IN,9.0,4.0,16.0,7.0,0.0,-1.0
2020-02-16,US_IN,8.0,3.0,34.0,5.0,1.0,-1.0
2020-02-17,US_IN,5.0,-3.0,-4.0,2.0,-13.0,4.0
2020-02-18,US_IN,1.0,-1.0,3.0,4.0,2.0,0.0
2020-02-19,US_IN,4.0,0.0,9.0,5.0,2.0,0.0
2020-02-20,US_IN,3.0,-1.0,1.0,5.0,1.0,0.0
2020-02-21,US_IN,4.0,-2.0,12.0,6.0,2.0,-1.0
2020-02-22,US_IN,13.0,7.0,69.0,12.0,4.0,-2.0
2020-02-23,US_IN,9.0,6.0,83.0,8.0,3.0,-1.0
2020-02-24,US_IN,1.0,-2.0,-8.0,1.0,2.0,1.0
2020-02-25,US_IN,2.0,2.0,-4.0,3.0,2.0,0.0
2020-02-26,US_IN,1.0,-3.0,-7.0,2.0,-1.0,2.0
2020-02-27,US_IN,7.0,3.0,0.0,6.0,-1.0,1.0
2020-02-28,US_IN,8.0,2.0,8.0,9.0,1.0,-1.0
2020-02-29,US_IN,18.0,11.0,27.0,16.0,2.0,-3.0
2020-03-01,US_IN,18.0,12.0,88.0,14.0,4.0,-2.0
2020-03-02,US_IN,9.0,4.0,7.0,5.0,2.0,0.0
2020-03-03,US_IN,14.0,11.0,35.0,9.0,2.0,-1.0
2020-03-04,US_IN,14.0,7.0,42.0,8.0,2.0,-1.0
2020-03-05,US_IN,12.0,9.0,43.0,8.0,2.0,-1.0
2020-03-06,US_IN,5.0,0.0,10.0,8.0,1.0,0.0
2020-03-07,US_IN,18.0,13.0,85.0,19.0,5.0,-3.0
2020-03-08,US_IN,15.0,12.0,161.0,17.0,3.0,-2.0
2020-03-09,US_IN,7.0,6.0,24.0,5.0,1.0,0.0
2020-03-10,US_IN,6.0,6.0,15.0,5.0,0.0,0.0
2020-03-11,US_IN,8.0,9.0,22.0,6.0,0.0,0.0
2020-03-12,US_IN,7.0,23.0,32.0,5.0,-1.0,1.0
2020-03-13,US_IN,5.0,27.0,37.0,5.0,-4.0,1.0
2020-03-14,US_IN,-7.0,15.0,1.0,1.0,-1.0,3.0
2020-03-15,US_IN,-7.0,12.0,37.0,0.0,-5.0,2.0
2020-03-16,US_IN,-5.0,26.0,4.0,-3.0,-14.0,6.0
2020-03-17,US_IN,-21.0,16.0,52.0,-3.0,-21.0,8.0
2020-03-18,US_IN,-27.0,7.0,-10.0,-9.0,-25.0,12.0
2020-03-19,US_IN,-28.0,15.0,-4.0,-13.0,-27.0,13.0
2020-03-20,US_IN,-30.0,9.0,19.0,-15.0,-30.0,14.0
2020-03-21,US_IN,-39.0,3.0,10.0,-13.0,-22.0,10.0
2020-03-22,US_IN,-46.0,-15.0,-5.0,-26.0,-29.0,9.0
2020-03-23,US_IN,-30.0,3.0,6.0,-21.0,-35.0,14.0
2020-03-24,US_IN,-34.0,-2.0,11.0,-19.0,-39.0,16.0
2020-03-25,US_IN,-45.0,-20.0,61.0,-23.0,-45.0,19.0
2020-03-26,US_IN,-43.0,-18.0,38.0,-27.0,-46.0,20.0
2020-03-27,US_IN,-45.0,-20.0,14.0,-32.0,-46.0,22.0
2020-03-28,US_IN,-49.0,-21.0,29.0,-31.0,-35.0,13.0
2020-03-29,US_IN,-48.0,-25.0,24.0,-34.0,-36.0,11.0
2020-03-30,US_IN,-38.0,-17.0,25.0,-27.0,-45.0,18.0
2020-03-31,US_IN,-41.0,-17.0,0.0,-25.0,-47.0,19.0
2020-04-01,US_IN,-37.0,-12.0,24.0,-24.0,-48.0,19.0
2020-04-02,US_IN,-36.0,-9.0,80.0,-26.0,-48.0,19.0
2020-04-03,US_IN,-36.0,-9.0,89.0,-27.0,-48.0,20.0
2020-04-04,US_IN,-45.0,-13.0,41.0,-31.0,-36.0,13.0
2020-04-05,US_IN,-45.0,-17.0,54.0,-35.0,-37.0,10.0
2020-04-06,US_IN,-36.0,-13.0,59.0,-27.0,-47.0,18.0
2020-04-07,US_IN,-35.0,-9.0,88.0,-22.0,-48.0,18.0
2020-04-08,US_IN,-35.0,-11.0,77.0,-24.0,-48.0,18.0
2020-04-09,US_IN,-37.0,-9.0,11.0,-28.0,-49.0,20.0
2020-04-10,US_IN,-39.0,-10.0,24.0,-34.0,-55.0,23.0
2020-04-11,US_IN,-40.0,-2.0,70.0,-29.0,-36.0,12.0
2020-04-12,US_IN,-62.0,-37.0,10.0,-41.0,-43.0,11.0
2020-04-13,US_IN,-39.0,-17.0,-10.0,-31.0,-47.0,19.0
2020-04-14,US_IN,-37.0,-14.0,13.0,-25.0,-46.0,19.0
2020-04-15,US_IN,-30.0,-8.0,-2.0,-25.0,-47.0,19.0
2020-04-16,US_IN,-31.0,-6.0,23.0,-26.0,-46.0,19.0
2020-04-17,US_IN,-41.0,-19.0,-19.0,-35.0,-47.0,23.0
2020-04-18,US_IN,-35.0,-6.0,78.0,-22.0,-31.0,11.0
2020-04-19,US_IN,-36.0,-14.0,64.0,-31.0,-34.0,9.0
2020-04-20,US_IN,-25.0,-9.0,66.0,-22.0,-44.0,16.0
2020-04-21,US_IN,-27.0,-7.0,42.0,-21.0,-45.0,17.0
2020-04-22,US_IN,-28.0,-8.0,71.0,-21.0,-46.0,17.0
2020-04-23,US_IN,-34.0,-10.0,1.0,-28.0,-46.0,20.0
2020-04-24,US_IN,-32.0,-11.0,80.0,-24.0,-45.0,18.0
2020-04-25,US_IN,-36.0,-9.0,44.0,-24.0,-32.0,11.0
2020-04-26,US_IN,-33.0,-9.0,63.0,-25.0,-34.0,9.0
2020-04-27,US_IN,-21.0,-6.0,71.0,-19.0,-43.0,16.0
2020-04-28,US_IN,-22.0,-2.0,100.0,-16.0,-44.0,10.0
2020-04-29,US_IN,-27.0,-7.0,5.0,-22.0,-44.0,19.0
2020-04-30,US_IN,-27.0,-3.0,4.0,-22.0,-44.0,19.0
2020-05-01,US_IN,-23.0,-1.0,106.0,-16.0,-43.0,16.0
2020-05-02,US_IN,-24.0,5.0,204.0,-3.0,-28.0,6.0
2020-05-03,US_IN,-25.0,-3.0,103.0,-19.0,-30.0,7.0
2020-05-04,US_IN,-15.0,-1.0,67.0,-16.0,-39.0,14.0
2020-05-05,US_IN,-21.0,1.0,8.0,-18.0,-40.0,16.0
2020-05-06,US_IN,-17.0,2.0,75.0,-13.0,-40.0,15.0
2020-05-07,US_IN,-19.0,4.0,97.0,-14.0,-40.0,15.0
2020-05-08,US_IN,-25.0,-1.0,32.0,-18.0,-40.0,17.0
2020-05-09,US_IN,-20.0,17.0,109.0,-4.0,-24.0,7.0
2020-05-10,US_IN,-25.0,4.0,29.0,-19.0,-26.0,6.0
2020-05-11,US_IN,-17.0,-5.0,18.0,-17.0,-36.0,14.0
2020-05-12,US_IN,-14.0,1.0,81.0,-11.0,-36.0,13.0
2020-05-13,US_IN,-12.0,1.0,71.0,-11.0,-36.0,14.0
2020-05-14,US_IN,-17.0,-1.0,48.0,-15.0,-37.0,15.0
2020-05-15,US_IN,-18.0,-3.0,61.0,-15.0,-37.0,15.0
2020-05-16,US_IN,-14.0,5.0,166.0,0.0,-20.0,5.0
2020-05-17,US_IN,-21.0,-3.0,41.0,-16.0,-23.0,6.0
2020-05-18,US_IN,-10.0,-2.0,32.0,-14.0,-33.0,13.0
2020-05-19,US_IN,-11.0,1.0,31.0,-12.0,-34.0,13.0
2020-05-20,US_IN,-9.0,2.0,60.0,-8.0,-34.0,13.0
2020-05-21,US_IN,-8.0,5.0,75.0,-5.0,-35.0,12.0
2020-05-22,US_IN,-10.0,4.0,149.0,-1.0,-36.0,11.0
2020-05-23,US_IN,-13.0,9.0,205.0,6.0,-20.0,3.0
2020-05-24,US_IN,-7.0,12.0,249.0,-4.0,-23.0,1.0
2020-05-25,US_IN,-10.0,3.0,199.0,-21.0,-73.0,19.0
