date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-02-15,US_ME,4.0,-3.0,-6.0,13.0,-3.0,1.0
2020-02-16,US_ME,14.0,8.0,47.0,17.0,3.0,-2.0
2020-02-17,US_ME,15.0,5.0,32.0,12.0,-33.0,6.0
2020-02-18,US_ME,-9.0,-7.0,-8.0,4.0,-13.0,5.0
2020-02-19,US_ME,6.0,-1.0,5.0,13.0,-12.0,2.0
2020-02-20,US_ME,8.0,2.0,5.0,8.0,-9.0,2.0
2020-02-21,US_ME,3.0,-4.0,-2.0,4.0,-11.0,3.0
2020-02-22,US_ME,6.0,-3.0,23.0,10.0,-1.0,-1.0
2020-02-23,US_ME,14.0,10.0,55.0,33.0,6.0,-2.0
2020-02-24,US_ME,6.0,4.0,22.0,8.0,3.0,0.0
2020-02-25,US_ME,4.0,0.0,11.0,6.0,3.0,0.0
2020-02-26,US_ME,12.0,9.0,8.0,12.0,2.0,-1.0
2020-02-27,US_ME,-10.0,-11.0,-16.0,-9.0,-5.0,5.0
2020-02-28,US_ME,8.0,1.0,2.0,9.0,2.0,0.0
2020-02-29,US_ME,10.0,-1.0,1.0,15.0,1.0,-1.0
2020-03-01,US_ME,19.0,12.0,19.0,26.0,6.0,-2.0
2020-03-02,US_ME,7.0,5.0,6.0,9.0,3.0,0.0
2020-03-03,US_ME,20.0,10.0,55.0,12.0,2.0,-2.0
2020-03-04,US_ME,8.0,3.0,0.0,8.0,1.0,0.0
2020-03-05,US_ME,9.0,7.0,26.0,8.0,4.0,-1.0
2020-03-06,US_ME,5.0,0.0,6.0,5.0,2.0,0.0
2020-03-07,US_ME,9.0,-1.0,-1.0,9.0,1.0,0.0
2020-03-08,US_ME,18.0,11.0,58.0,32.0,7.0,-2.0
2020-03-09,US_ME,8.0,7.0,50.0,8.0,2.0,0.0
2020-03-10,US_ME,5.0,4.0,21.0,6.0,2.0,1.0
2020-03-11,US_ME,10.0,11.0,24.0,5.0,1.0,0.0
2020-03-12,US_ME,9.0,28.0,18.0,4.0,3.0,0.0
2020-03-13,US_ME,-4.0,17.0,-19.0,-9.0,-3.0,4.0
2020-03-14,US_ME,-1.0,19.0,18.0,-6.0,-1.0,2.0
2020-03-15,US_ME,0.0,26.0,39.0,0.0,2.0,2.0
2020-03-16,US_ME,-7.0,24.0,14.0,-11.0,-14.0,6.0
2020-03-17,US_ME,-24.0,7.0,-19.0,-18.0,-23.0,11.0
2020-03-18,US_ME,-25.0,9.0,43.0,-18.0,-28.0,11.0
2020-03-19,US_ME,-35.0,0.0,-9.0,-30.0,-31.0,14.0
2020-03-20,US_ME,-38.0,-4.0,-1.0,-36.0,-34.0,17.0
2020-03-21,US_ME,-41.0,-9.0,36.0,-37.0,-24.0,10.0
2020-03-22,US_ME,-38.0,-8.0,52.0,-35.0,-24.0,8.0
2020-03-23,US_ME,-37.0,-9.0,-7.0,-38.0,-36.0,15.0
2020-03-24,US_ME,-43.0,-17.0,-2.0,-40.0,-42.0,18.0
2020-03-25,US_ME,-40.0,-10.0,13.0,-42.0,-41.0,17.0
2020-03-26,US_ME,-40.0,-10.0,46.0,-42.0,-41.0,17.0
2020-03-27,US_ME,-44.0,-16.0,18.0,-51.0,-42.0,19.0
2020-03-28,US_ME,-46.0,-17.0,41.0,-48.0,-31.0,11.0
2020-03-29,US_ME,-50.0,-22.0,-24.0,-56.0,-31.0,10.0
2020-03-30,US_ME,-46.0,-23.0,-29.0,-52.0,-44.0,18.0
2020-03-31,US_ME,-38.0,-11.0,21.0,-41.0,-44.0,17.0
2020-04-01,US_ME,-33.0,1.0,-4.0,-45.0,-44.0,17.0
2020-04-02,US_ME,-56.0,-27.0,-42.0,-56.0,-47.0,22.0
2020-04-03,US_ME,-53.0,-22.0,-40.0,-59.0,-47.0,23.0
2020-04-04,US_ME,-54.0,-24.0,13.0,-60.0,-34.0,14.0
2020-04-05,US_ME,-50.0,-23.0,20.0,-59.0,-34.0,10.0
2020-04-06,US_ME,-42.0,-17.0,40.0,-51.0,-45.0,17.0
2020-04-07,US_ME,-43.0,-18.0,37.0,-47.0,-47.0,18.0
2020-04-08,US_ME,-41.0,-15.0,28.0,-48.0,-47.0,18.0
2020-04-09,US_ME,-51.0,-22.0,-25.0,-56.0,-48.0,19.0
2020-04-10,US_ME,-47.0,-22.0,-30.0,-58.0,-56.0,18.0
2020-04-11,US_ME,-43.0,-2.0,-16.0,-55.0,-33.0,10.0
2020-04-12,US_ME,-73.0,-56.0,26.0,-57.0,-43.0,9.0
2020-04-13,US_ME,-45.0,-16.0,-40.0,-54.0,-47.0,19.0
2020-04-14,US_ME,-36.0,-10.0,48.0,-43.0,-45.0,16.0
2020-04-15,US_ME,-33.0,-10.0,16.0,-43.0,-45.0,17.0
2020-04-16,US_ME,-37.0,-11.0,21.0,-46.0,-44.0,18.0
2020-04-17,US_ME,-40.0,-17.0,5.0,-50.0,-45.0,20.0
2020-04-18,US_ME,-46.0,-22.0,-14.0,-56.0,-32.0,13.0
2020-04-19,US_ME,-31.0,-10.0,102.0,-47.0,-27.0,7.0
2020-04-20,US_ME,-31.0,-13.0,35.0,-48.0,-48.0,16.0
2020-04-21,US_ME,-37.0,-15.0,10.0,-46.0,-45.0,18.0
