date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-02-15,US_ND,7.0,-2.0,-1.0,5.0,1.0,-1.0
2020-02-16,US_ND,9.0,0.0,10.0,4.0,1.0,-1.0
2020-02-17,US_ND,9.0,-3.0,4.0,1.0,-21.0,5.0
2020-02-18,US_ND,-2.0,-4.0,-5.0,6.0,-1.0,1.0
2020-02-19,US_ND,0.0,-4.0,-5.0,9.0,1.0,1.0
2020-02-20,US_ND,4.0,-1.0,7.0,5.0,1.0,0.0
2020-02-21,US_ND,4.0,-2.0,12.0,7.0,4.0,0.0
2020-02-22,US_ND,12.0,4.0,30.0,9.0,4.0,-2.0
2020-02-23,US_ND,11.0,7.0,17.0,11.0,3.0,-2.0
2020-02-24,US_ND,1.0,-3.0,6.0,-3.0,4.0,0.0
2020-02-25,US_ND,1.0,-3.0,-2.0,4.0,2.0,0.0
2020-02-26,US_ND,7.0,0.0,10.0,7.0,2.0,-1.0
2020-02-27,US_ND,8.0,-1.0,9.0,5.0,2.0,0.0
2020-02-28,US_ND,8.0,0.0,13.0,9.0,5.0,0.0
2020-02-29,US_ND,12.0,11.0,22.0,11.0,5.0,-2.0
2020-03-01,US_ND,12.0,9.0,-1.0,7.0,4.0,-1.0
2020-03-02,US_ND,6.0,1.0,7.0,2.0,4.0,-1.0
2020-03-03,US_ND,6.0,4.0,13.0,3.0,2.0,0.0
2020-03-04,US_ND,7.0,1.0,9.0,7.0,2.0,-1.0
2020-03-05,US_ND,6.0,1.0,15.0,5.0,2.0,0.0
2020-03-06,US_ND,7.0,0.0,21.0,6.0,3.0,0.0
2020-03-07,US_ND,15.0,8.0,47.0,10.0,5.0,-2.0
2020-03-08,US_ND,10.0,4.0,4.0,9.0,3.0,-1.0
2020-03-09,US_ND,5.0,2.0,15.0,1.0,4.0,0.0
2020-03-10,US_ND,5.0,6.0,10.0,6.0,2.0,0.0
2020-03-11,US_ND,8.0,10.0,21.0,12.0,2.0,-1.0
2020-03-12,US_ND,9.0,20.0,5.0,4.0,-1.0,0.0
2020-03-13,US_ND,3.0,19.0,5.0,4.0,-2.0,2.0
2020-03-14,US_ND,-2.0,15.0,-14.0,-6.0,2.0,3.0
2020-03-15,US_ND,-8.0,13.0,-13.0,-7.0,-1.0,3.0
2020-03-16,US_ND,-4.0,26.0,-16.0,-8.0,-13.0,6.0
2020-03-17,US_ND,-10.0,21.0,2.0,-2.0,-15.0,7.0
2020-03-18,US_ND,-19.0,18.0,-8.0,-7.0,-19.0,10.0
2020-03-19,US_ND,-30.0,11.0,-21.0,-17.0,-24.0,14.0
2020-03-20,US_ND,-40.0,10.0,-15.0,-19.0,-25.0,17.0
2020-03-21,US_ND,-52.0,-4.0,-15.0,-29.0,-19.0,13.0
2020-03-22,US_ND,-49.0,-11.0,25.0,-30.0,-23.0,9.0
2020-03-23,US_ND,-37.0,-6.0,19.0,-24.0,-27.0,13.0
2020-03-24,US_ND,-41.0,-9.0,4.0,-18.0,-30.0,16.0
2020-03-25,US_ND,-39.0,-9.0,2.0,-22.0,-31.0,16.0
