date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-02-15,US_NY,3.0,-4.0,-2.0,-4.0,1.0,0.0
2020-02-16,US_NY,7.0,-3.0,13.0,0.0,0.0,-1.0
2020-02-17,US_NY,7.0,-2.0,23.0,-22.0,-37.0,9.0
2020-02-18,US_NY,-2.0,-5.0,-4.0,-5.0,-10.0,3.0
2020-02-19,US_NY,3.0,-2.0,11.0,-3.0,-9.0,2.0
2020-02-20,US_NY,2.0,-3.0,0.0,-3.0,-9.0,2.0
2020-02-21,US_NY,-1.0,-5.0,-8.0,-6.0,-9.0,3.0
2020-02-22,US_NY,8.0,0.0,29.0,3.0,4.0,-1.0
2020-02-23,US_NY,9.0,2.0,54.0,3.0,3.0,-1.0
2020-02-24,US_NY,3.0,0.0,25.0,-1.0,4.0,0.0
2020-02-25,US_NY,-1.0,-2.0,-1.0,-1.0,3.0,0.0
2020-02-26,US_NY,4.0,3.0,-1.0,0.0,3.0,0.0
2020-02-27,US_NY,-1.0,-2.0,-4.0,0.0,0.0,1.0
2020-02-28,US_NY,1.0,0.0,-9.0,0.0,3.0,1.0
2020-02-29,US_NY,7.0,1.0,-5.0,-1.0,4.0,0.0
2020-03-01,US_NY,10.0,5.0,9.0,0.0,3.0,-1.0
2020-03-02,US_NY,6.0,5.0,16.0,-1.0,4.0,0.0
2020-03-03,US_NY,4.0,6.0,6.0,0.0,4.0,0.0
2020-03-04,US_NY,7.0,8.0,16.0,0.0,3.0,0.0
2020-03-05,US_NY,8.0,9.0,21.0,0.0,4.0,-1.0
2020-03-06,US_NY,-1.0,0.0,-11.0,-3.0,3.0,1.0
2020-03-07,US_NY,10.0,8.0,17.0,0.0,6.0,-1.0
2020-03-08,US_NY,10.0,7.0,61.0,0.0,2.0,-1.0
2020-03-09,US_NY,7.0,8.0,62.0,-4.0,1.0,0.0
2020-03-10,US_NY,1.0,7.0,14.0,-7.0,-1.0,1.0
2020-03-11,US_NY,3.0,11.0,20.0,-8.0,-1.0,1.0
2020-03-12,US_NY,1.0,27.0,6.0,-13.0,-3.0,2.0
2020-03-13,US_NY,-6.0,28.0,1.0,-19.0,-8.0,5.0
2020-03-14,US_NY,-9.0,21.0,20.0,-20.0,-2.0,4.0
2020-03-15,US_NY,-14.0,14.0,28.0,-25.0,-7.0,4.0
2020-03-16,US_NY,-15.0,24.0,-10.0,-36.0,-25.0,10.0
2020-03-17,US_NY,-31.0,13.0,-16.0,-42.0,-32.0,14.0
2020-03-18,US_NY,-33.0,10.0,7.0,-44.0,-36.0,16.0
2020-03-19,US_NY,-39.0,2.0,-16.0,-50.0,-40.0,18.0
2020-03-20,US_NY,-40.0,8.0,-9.0,-50.0,-43.0,20.0
2020-03-21,US_NY,-46.0,0.0,-1.0,-50.0,-30.0,13.0
2020-03-22,US_NY,-54.0,-19.0,-15.0,-59.0,-36.0,13.0
2020-03-23,US_NY,-62.0,-37.0,-64.0,-69.0,-57.0,26.0
2020-03-24,US_NY,-53.0,-18.0,-16.0,-63.0,-56.0,25.0
2020-03-25,US_NY,-56.0,-23.0,-38.0,-66.0,-57.0,26.0
2020-03-26,US_NY,-52.0,-18.0,1.0,-64.0,-57.0,25.0
2020-03-27,US_NY,-54.0,-20.0,-7.0,-64.0,-57.0,27.0
2020-03-28,US_NY,-61.0,-28.0,-52.0,-67.0,-45.0,18.0
2020-03-29,US_NY,-62.0,-32.0,-47.0,-68.0,-46.0,16.0
2020-03-30,US_NY,-55.0,-26.0,-40.0,-69.0,-60.0,26.0
2020-03-31,US_NY,-55.0,-24.0,-36.0,-69.0,-61.0,26.0
2020-04-01,US_NY,-52.0,-18.0,-13.0,-67.0,-61.0,26.0
2020-04-02,US_NY,-54.0,-20.0,-26.0,-69.0,-62.0,27.0
2020-04-03,US_NY,-57.0,-22.0,-56.0,-70.0,-62.0,30.0
2020-04-04,US_NY,-58.0,-21.0,-5.0,-65.0,-47.0,18.0
2020-04-05,US_NY,-59.0,-28.0,-11.0,-68.0,-47.0,15.0
