date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-02-15,US_SD,7.0,6.0,4.0,3.0,-1.0,0.0
2020-02-16,US_SD,15.0,11.0,28.0,1.0,1.0,-2.0
2020-02-17,US_SD,3.0,0.0,-7.0,4.0,-23.0,6.0
2020-02-18,US_SD,-5.0,1.0,-2.0,0.0,-1.0,1.0
2020-02-19,US_SD,-5.0,-1.0,-4.0,1.0,1.0,1.0
2020-02-20,US_SD,1.0,3.0,7.0,6.0,1.0,0.0
2020-02-21,US_SD,4.0,6.0,22.0,4.0,5.0,-1.0
2020-02-22,US_SD,7.0,9.0,34.0,3.0,2.0,-1.0
2020-02-23,US_SD,13.0,17.0,46.0,6.0,5.0,-2.0
2020-02-24,US_SD,-5.0,6.0,-4.0,-1.0,4.0,1.0
2020-02-25,US_SD,-9.0,-4.0,-14.0,-5.0,-6.0,4.0
2020-02-26,US_SD,6.0,10.0,3.0,6.0,2.0,-1.0
2020-02-27,US_SD,7.0,8.0,6.0,8.0,0.0,-1.0
2020-02-28,US_SD,12.0,13.0,13.0,9.0,2.0,-1.0
2020-02-29,US_SD,14.0,18.0,25.0,10.0,1.0,-2.0
2020-03-01,US_SD,19.0,21.0,16.0,11.0,5.0,-2.0
2020-03-02,US_SD,6.0,11.0,12.0,8.0,5.0,-1.0
2020-03-03,US_SD,8.0,11.0,18.0,9.0,2.0,-1.0
2020-03-04,US_SD,8.0,10.0,31.0,11.0,2.0,-1.0
2020-03-05,US_SD,5.0,5.0,15.0,10.0,2.0,0.0
2020-03-06,US_SD,10.0,11.0,36.0,13.0,5.0,-1.0
2020-03-07,US_SD,13.0,15.0,68.0,15.0,2.0,-2.0
2020-03-08,US_SD,18.0,18.0,83.0,10.0,2.0,-2.0
2020-03-09,US_SD,6.0,9.0,24.0,6.0,2.0,0.0
2020-03-10,US_SD,9.0,20.0,22.0,10.0,0.0,-1.0
2020-03-11,US_SD,7.0,25.0,50.0,10.0,0.0,-1.0
2020-03-12,US_SD,3.0,25.0,14.0,8.0,-3.0,1.0
2020-03-13,US_SD,1.0,36.0,12.0,4.0,-1.0,3.0
