date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-02-15,US_VA,2.0,2.0,3.0,4.0,0.0,0.0
2020-02-16,US_VA,4.0,0.0,9.0,-1.0,0.0,0.0
2020-02-17,US_VA,8.0,2.0,41.0,-6.0,-27.0,6.0
2020-02-18,US_VA,1.0,2.0,22.0,4.0,3.0,0.0
2020-02-19,US_VA,2.0,2.0,6.0,3.0,2.0,0.0
2020-02-20,US_VA,-2.0,3.0,-7.0,1.0,1.0,2.0
2020-02-21,US_VA,-3.0,-7.0,-7.0,-2.0,-4.0,3.0
2020-02-22,US_VA,4.0,2.0,32.0,6.0,2.0,-1.0
2020-02-23,US_VA,5.0,3.0,43.0,7.0,2.0,-1.0
2020-02-24,US_VA,1.0,0.0,4.0,1.0,5.0,0.0
2020-02-25,US_VA,4.0,1.0,11.0,2.0,3.0,0.0
2020-02-26,US_VA,7.0,4.0,7.0,6.0,2.0,-1.0
2020-02-27,US_VA,6.0,4.0,4.0,6.0,2.0,-1.0
2020-02-28,US_VA,6.0,4.0,7.0,6.0,2.0,-1.0
2020-02-29,US_VA,6.0,6.0,-1.0,6.0,2.0,-1.0
2020-03-01,US_VA,10.0,9.0,24.0,9.0,2.0,-1.0
2020-03-02,US_VA,7.0,5.0,20.0,2.0,5.0,-1.0
2020-03-03,US_VA,14.0,10.0,40.0,2.0,-4.0,0.0
2020-03-04,US_VA,9.0,8.0,39.0,5.0,2.0,-1.0
2020-03-05,US_VA,6.0,6.0,19.0,4.0,2.0,-1.0
2020-03-06,US_VA,3.0,1.0,5.0,3.0,1.0,0.0
2020-03-07,US_VA,6.0,8.0,27.0,8.0,1.0,-1.0
2020-03-08,US_VA,7.0,8.0,62.0,7.0,0.0,-1.0
2020-03-09,US_VA,7.0,8.0,64.0,-1.0,3.0,0.0
2020-03-10,US_VA,6.0,8.0,40.0,-1.0,1.0,0.0
2020-03-11,US_VA,7.0,9.0,40.0,0.0,-1.0,0.0
2020-03-12,US_VA,7.0,20.0,44.0,-3.0,-3.0,0.0
2020-03-13,US_VA,3.0,22.0,46.0,-8.0,-8.0,3.0
2020-03-14,US_VA,-7.0,14.0,37.0,-6.0,-3.0,3.0
2020-03-15,US_VA,-14.0,5.0,-13.0,-17.0,-11.0,5.0
2020-03-16,US_VA,-7.0,14.0,10.0,-25.0,-20.0,9.0
2020-03-17,US_VA,-13.0,10.0,52.0,-25.0,-28.0,11.0
2020-03-18,US_VA,-21.0,5.0,26.0,-30.0,-33.0,13.0
2020-03-19,US_VA,-23.0,5.0,62.0,-34.0,-35.0,14.0
2020-03-20,US_VA,-26.0,3.0,59.0,-36.0,-36.0,15.0
2020-03-21,US_VA,-37.0,-4.0,6.0,-34.0,-23.0,11.0
2020-03-22,US_VA,-38.0,-12.0,15.0,-43.0,-31.0,10.0
2020-03-23,US_VA,-34.0,-10.0,-29.0,-49.0,-40.0,19.0
2020-03-24,US_VA,-31.0,-7.0,29.0,-43.0,-42.0,17.0
2020-03-25,US_VA,-39.0,-17.0,-28.0,-49.0,-46.0,21.0
2020-03-26,US_VA,-35.0,-9.0,34.0,-46.0,-45.0,19.0
2020-03-27,US_VA,-37.0,-13.0,41.0,-49.0,-44.0,20.0
2020-03-28,US_VA,-42.0,-14.0,24.0,-44.0,-31.0,12.0
2020-03-29,US_VA,-39.0,-16.0,46.0,-50.0,-36.0,11.0
2020-03-30,US_VA,-32.0,-8.0,21.0,-49.0,-44.0,18.0
2020-03-31,US_VA,-40.0,-17.0,-15.0,-51.0,-48.0,21.0
2020-04-01,US_VA,-38.0,-12.0,-11.0,-50.0,-49.0,21.0
2020-04-02,US_VA,-38.0,-12.0,9.0,-52.0,-49.0,21.0
2020-04-03,US_VA,-38.0,-12.0,13.0,-52.0,-48.0,22.0
2020-04-04,US_VA,-45.0,-14.0,4.0,-51.0,-34.0,14.0
2020-04-05,US_VA,-44.0,-18.0,21.0,-56.0,-39.0,12.0
2020-04-06,US_VA,-38.0,-15.0,18.0,-54.0,-48.0,20.0
2020-04-07,US_VA,-37.0,-12.0,29.0,-50.0,-50.0,20.0
2020-04-08,US_VA,-38.0,-13.0,24.0,-49.0,-52.0,21.0
2020-04-09,US_VA,-38.0,-12.0,15.0,-53.0,-51.0,21.0
2020-04-10,US_VA,-39.0,-14.0,-7.0,-56.0,-54.0,24.0
2020-04-11,US_VA,-40.0,-9.0,17.0,-49.0,-36.0,13.0
