date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-27,AT_4,,13.0,,0.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,AT_4,7.0,20.0,0.0,0.0,7.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,AT_4,39.0,59.0,0.0,0.0,39.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,AT_4,13.0,72.0,0.0,0.0,13.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,AT_4,2.0,74.0,0.0,0.0,2.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,AT_4,3.0,77.0,0.0,0.0,3.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,AT_4,2.0,79.0,0.0,0.0,2.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,AT_4,1.0,80.0,0.0,0.0,1.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,AT_4,60.0,140.0,0.0,0.0,60.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,AT_4,376.0,516.0,0.0,0.0,376.0,516.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,AT_4,2.0,518.0,0.0,0.0,2.0,518.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,AT_4,123.0,641.0,0.0,0.0,123.0,641.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,AT_4,490.0,1131.0,0.0,0.0,490.0,1131.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,AT_4,54.0,1185.0,0.0,0.0,54.0,1185.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,AT_4,12.0,1197.0,0.0,0.0,12.0,1197.0,,,,,,,,,,,,,,,,,,,,,,,,
