date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-14,CA,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,CA,721.0,726.0,,,721.0,726.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,CA,2301.0,3027.0,,,2301.0,3027.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,CA,4255.0,7282.0,,,4255.0,7282.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18,CA,4015.0,11297.0,,,4015.0,11297.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,CA,1077.0,12362.0,,0.0,1077.0,12362.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,CA,862.0,13236.0,,,862.0,13236.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,CA,7849.0,21085.0,,,7849.0,21085.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CA,5791.0,26876.0,,1.0,5792.0,26877.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CA,8693.0,35569.0,0.0,1.0,8693.0,35570.0,,,,,,,,,,,,,,,,,,,,,,,,
