date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-26,CA_AB,,4792.0,,0.0,,4792.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CA_AB,8591.0,13383.0,0.0,0.0,8591.0,13383.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CA_AB,30915.0,44298.0,724.0,724.0,31639.0,45022.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CA_AB,37561.0,81859.0,3351.0,4075.0,40912.0,85934.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CA_AB,7698.0,89557.0,5394.0,9469.0,13092.0,99026.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CA_AB,681.0,90238.0,6525.0,15994.0,7206.0,106232.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CA_AB,430.0,90668.0,5685.0,21679.0,6115.0,112347.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CA_AB,4328.0,94996.0,29003.0,50682.0,33331.0,145678.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CA_AB,8240.0,103236.0,15506.0,66188.0,23746.0,169424.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,CA_AB,36725.0,139961.0,21219.0,87407.0,57944.0,227368.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,CA_AB,62279.0,202240.0,3211.0,90618.0,65490.0,292858.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,CA_AB,85781.0,288021.0,919.0,91537.0,86700.0,379558.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,CA_AB,100434.0,388455.0,1488.0,93025.0,101922.0,481480.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,CA_AB,115952.0,504407.0,3106.0,96131.0,119058.0,600538.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,CA_AB,96187.0,600594.0,15855.0,111986.0,112042.0,712580.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,CA_AB,127698.0,728292.0,52371.0,164357.0,180069.0,892649.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-17,CA_AB,204588.0,932880.0,67969.0,232326.0,272557.0,1165206.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-24,CA_AB,194490.0,1127370.0,38314.0,270640.0,232804.0,1398010.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,CA_AB,178062.0,1305432.0,23082.0,293722.0,201144.0,1599154.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-08,CA_AB,250968.0,1556400.0,16207.0,309929.0,267175.0,1866329.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-15,CA_AB,293672.0,1850072.0,10345.0,320274.0,304017.0,2170346.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-22,CA_AB,4310.0,1854382.0,642.0,320916.0,4952.0,2175298.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-29,CA_AB,503451.0,2357833.0,59004.0,379920.0,562455.0,2737753.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,CA_AB,153403.0,2511236.0,139950.0,519870.0,293353.0,3031106.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-12,CA_AB,78236.0,2589472.0,233298.0,753168.0,311534.0,3342640.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-19,CA_AB,48919.0,2638391.0,321885.0,1075053.0,370804.0,3713444.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-26,CA_AB,25103.0,2663494.0,217019.0,1292072.0,242122.0,3955566.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-03,CA_AB,54248.0,2717742.0,484253.0,1776325.0,538501.0,4494067.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,CA_AB,30184.0,2747926.0,208395.0,1984720.0,238579.0,4732646.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-17,CA_AB,32015.0,2779941.0,255127.0,2239847.0,287142.0,5019788.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-24,CA_AB,23956.0,2803897.0,141357.0,2381204.0,165313.0,5185101.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,CA_AB,21619.0,2825516.0,84346.0,2465550.0,105965.0,5291066.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,CA_AB,16618.0,2842134.0,46261.0,2511811.0,62879.0,5353945.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14,CA_AB,16468.0,2858602.0,37076.0,2548887.0,53544.0,5407489.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21,CA_AB,17998.0,2876600.0,33718.0,2582605.0,51716.0,5459205.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,CA_AB,22259.0,2898859.0,34194.0,2616799.0,56453.0,5515658.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,CA_AB,26236.0,2925095.0,33000.0,2649799.0,59236.0,5574894.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,CA_AB,22839.0,2947934.0,22206.0,2672005.0,45045.0,5619939.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,CA_AB,83264.0,3031198.0,53099.0,2725104.0,136363.0,5756302.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,CA_AB,58127.0,3089325.0,38776.0,2763880.0,96903.0,5853205.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,CA_AB,47043.0,3136368.0,38632.0,2802512.0,85675.0,5938880.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-09,CA_AB,38768.0,3175136.0,41074.0,2843586.0,79842.0,6018722.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-16,CA_AB,28349.0,3203485.0,53128.0,2896714.0,81477.0,6100199.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-23,CA_AB,26077.0,3229562.0,67656.0,2964370.0,93733.0,6193932.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-30,CA_AB,14689.0,3244251.0,41326.0,3005696.0,56015.0,6249947.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-06,CA_AB,14616.0,3258867.0,36423.0,3042119.0,51039.0,6300986.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-13,CA_AB,13795.0,3272662.0,34033.0,3076152.0,47828.0,6348814.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-20,CA_AB,17696.0,3290358.0,35566.0,3111718.0,53262.0,6402076.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-27,CA_AB,60772.0,3351130.0,37620.0,3149338.0,98392.0,6500468.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-04,CA_AB,14746.0,3365876.0,3791.0,3153129.0,18537.0,6519005.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-11,CA_AB,32569.0,3398445.0,14649.0,3167778.0,47218.0,6566223.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-18,CA_AB,25038.0,3423483.0,14342.0,3182120.0,39380.0,6605603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-25,CA_AB,19150.0,3442633.0,9961.0,3192081.0,29111.0,6634714.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,CA_AB,13690.0,3456323.0,7542.0,3199623.0,21232.0,6655946.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-08,CA_AB,16810.0,3473133.0,10885.0,3210508.0,27695.0,6683641.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,CA_AB,18568.0,3491701.0,14425.0,3224933.0,32993.0,6716634.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-22,CA_AB,15929.0,3507630.0,17022.0,3241955.0,32951.0,6749585.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-30,CA_AB,15116.0,3522746.0,32767.0,3274722.0,47883.0,6797468.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-06,CA_AB,7498.0,3530244.0,24325.0,3299047.0,31823.0,6829291.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-13,CA_AB,4857.0,3535101.0,15692.0,3314739.0,20549.0,6849840.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-20,CA_AB,4154.0,3539255.0,15071.0,3329810.0,19225.0,6869065.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-27,CA_AB,2716.0,3541971.0,10734.0,3340544.0,13450.0,6882515.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-06,CA_AB,2026.0,3543997.0,7621.0,3348165.0,9647.0,6892162.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,CA_AB,1897.0,3545894.0,6622.0,3354787.0,8519.0,6900681.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-20,CA_AB,1925.0,3547819.0,6045.0,3360832.0,7970.0,6908651.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27,CA_AB,1815.0,3549634.0,6073.0,3366905.0,7888.0,6916539.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-03,CA_AB,1735.0,3551369.0,5237.0,3372142.0,6972.0,6923511.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-10,CA_AB,1614.0,3552983.0,3628.0,3375770.0,5242.0,6928753.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-24,CA_AB,3716.0,3556699.0,6787.0,3382557.0,10503.0,6939256.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-08,CA_AB,4134.0,3560833.0,5983.0,3388540.0,10117.0,6949373.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-22,CA_AB,3460.0,3564293.0,4630.0,3393170.0,8090.0,6957463.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19,CA_AB,5246.0,3569539.0,7801.0,3400971.0,13047.0,6970510.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17,CA_AB,3844.0,3573383.0,6116.0,3407087.0,9960.0,6980470.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14,CA_AB,12094.0,3585477.0,6299.0,3413386.0,18393.0,6998863.0,,,,,,,,,,,,,,,,,,,,,,,,
