date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-19,CA_MB,,894.0,,0.0,,894.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CA_MB,1283.0,2177.0,0.0,0.0,1283.0,2177.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CA_MB,1255.0,3432.0,0.0,0.0,1255.0,3432.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CA_MB,5262.0,8694.0,880.0,880.0,6142.0,9574.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CA_MB,7805.0,16499.0,1264.0,2144.0,9069.0,18643.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CA_MB,9340.0,25839.0,1252.0,3396.0,10592.0,29235.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CA_MB,6602.0,32441.0,5107.0,8503.0,11709.0,40944.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CA_MB,1200.0,33641.0,5140.0,13643.0,6340.0,47284.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CA_MB,1207.0,34848.0,6763.0,20406.0,7970.0,55254.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CA_MB,1431.0,36279.0,4791.0,25197.0,6222.0,61476.0,,,,,,,,,,,,,,,,,,,,,,,,
