date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-19,CA_NT,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CA_NT,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CA_NT,122.0,122.0,0.0,0.0,122.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CA_NT,389.0,511.0,0.0,0.0,389.0,511.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CA_NT,1380.0,1891.0,0.0,0.0,1380.0,1891.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CA_NT,7580.0,9471.0,0.0,0.0,7580.0,9471.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CA_NT,2769.0,12240.0,118.0,118.0,2887.0,12358.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CA_NT,590.0,12830.0,181.0,299.0,771.0,13129.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CA_NT,745.0,13575.0,280.0,579.0,1025.0,14154.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CA_NT,942.0,14517.0,1355.0,1934.0,2297.0,16451.0,,,,,,,,,,,,,,,,,,,,,,,,
