date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-26,CA_PE,,1147.0,,0.0,,1147.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CA_PE,526.0,1673.0,0.0,0.0,526.0,1673.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CA_PE,808.0,2481.0,0.0,0.0,808.0,2481.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CA_PE,1824.0,4305.0,1392.0,1392.0,3216.0,5697.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CA_PE,913.0,5218.0,492.0,1884.0,1405.0,7102.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CA_PE,63.0,5281.0,681.0,2565.0,744.0,7846.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CA_PE,23.0,5304.0,948.0,3513.0,971.0,8817.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CA_PE,388.0,5692.0,1380.0,4893.0,1768.0,10585.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CA_PE,761.0,6453.0,263.0,5156.0,1024.0,11609.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,CA_PE,913.0,7366.0,56.0,5212.0,969.0,12578.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,CA_PE,1301.0,8667.0,295.0,5507.0,1596.0,14174.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,CA_PE,1725.0,10392.0,89.0,5596.0,1814.0,15988.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,CA_PE,2611.0,13003.0,19.0,5615.0,2630.0,18618.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,CA_PE,2294.0,15297.0,784.0,6399.0,3078.0,21696.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,CA_PE,4528.0,19825.0,1208.0,7607.0,5736.0,27432.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,CA_PE,6497.0,26322.0,1149.0,8756.0,7646.0,35078.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-17,CA_PE,7108.0,33430.0,811.0,9567.0,7919.0,42997.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-24,CA_PE,6168.0,39598.0,712.0,10279.0,6880.0,49877.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,CA_PE,5849.0,45447.0,359.0,10638.0,6208.0,56085.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-08,CA_PE,7211.0,52658.0,298.0,10936.0,7509.0,63594.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-15,CA_PE,9544.0,62202.0,818.0,11754.0,10362.0,73956.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-22,CA_PE,9219.0,71421.0,545.0,12299.0,9764.0,83720.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-29,CA_PE,8473.0,79894.0,1131.0,13430.0,9604.0,93324.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,CA_PE,9939.0,89833.0,996.0,14426.0,10935.0,104259.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-12,CA_PE,9526.0,99359.0,2894.0,17320.0,12420.0,116679.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-19,CA_PE,9599.0,108958.0,2752.0,20072.0,12351.0,129030.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-26,CA_PE,5465.0,114423.0,8277.0,28349.0,13742.0,142772.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-03,CA_PE,2840.0,117263.0,8691.0,37040.0,11531.0,154303.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,CA_PE,2475.0,119738.0,11253.0,48293.0,13728.0,168031.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-17,CA_PE,2164.0,121902.0,10408.0,58701.0,12572.0,180603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-24,CA_PE,1318.0,123220.0,10952.0,69653.0,12270.0,192873.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,CA_PE,1300.0,124520.0,10590.0,80243.0,11890.0,204763.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,CA_PE,1126.0,125646.0,10553.0,90796.0,11679.0,216442.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14,CA_PE,881.0,126527.0,9877.0,100673.0,10758.0,227200.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21,CA_PE,878.0,127405.0,8319.0,108992.0,9197.0,236397.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,CA_PE,801.0,128206.0,4255.0,113247.0,5056.0,241453.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,CA_PE,751.0,128957.0,2561.0,115808.0,3312.0,244765.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,CA_PE,647.0,129604.0,1931.0,117739.0,2578.0,247343.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,CA_PE,921.0,130525.0,1855.0,119594.0,2776.0,250119.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,CA_PE,989.0,131514.0,1523.0,121117.0,2512.0,252631.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,CA_PE,1025.0,132539.0,1565.0,122682.0,2590.0,255221.0,,,,,,,,,,,,,,,,,,,,,,,,
