date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-19,CA_SK,,1042.0,,0.0,,1042.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CA_SK,741.0,1783.0,0.0,0.0,741.0,1783.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CA_SK,1757.0,3540.0,0.0,0.0,1757.0,3540.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CA_SK,1982.0,5522.0,953.0,953.0,2935.0,6475.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CA_SK,8796.0,14318.0,793.0,1746.0,9589.0,16064.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CA_SK,9370.0,23688.0,720.0,2466.0,10090.0,26154.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CA_SK,3541.0,27229.0,606.0,3072.0,4147.0,30301.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CA_SK,2558.0,29787.0,2334.0,5406.0,4892.0,35193.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CA_SK,3096.0,32883.0,4139.0,9545.0,7235.0,42428.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CA_SK,4895.0,37778.0,6422.0,15967.0,11317.0,53745.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,CA_SK,8526.0,46304.0,7495.0,23462.0,16021.0,69766.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,CA_SK,10210.0,56514.0,3916.0,27378.0,14126.0,83892.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,CA_SK,13132.0,69646.0,984.0,28362.0,14116.0,98008.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,CA_SK,31475.0,101121.0,2240.0,30602.0,33715.0,131723.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,CA_SK,33461.0,134582.0,5697.0,36299.0,39158.0,170881.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,CA_SK,47855.0,182437.0,2866.0,39165.0,50721.0,221602.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,CA_SK,67116.0,249553.0,2334.0,41499.0,69450.0,291052.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-17,CA_SK,59933.0,309486.0,1425.0,42924.0,61358.0,352410.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-24,CA_SK,50626.0,360112.0,674.0,43598.0,51300.0,403710.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,CA_SK,46785.0,406897.0,964.0,44562.0,47749.0,451459.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-08,CA_SK,74956.0,481853.0,1881.0,46443.0,76837.0,528296.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-15,CA_SK,72470.0,554323.0,2368.0,48811.0,74838.0,603134.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-22,CA_SK,50448.0,604771.0,9379.0,58190.0,59827.0,662961.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-29,CA_SK,37645.0,642416.0,25024.0,83214.0,62669.0,725630.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,CA_SK,18614.0,661030.0,53851.0,137065.0,72465.0,798095.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-12,CA_SK,19876.0,680906.0,73159.0,210224.0,93035.0,891130.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-19,CA_SK,17162.0,698068.0,76883.0,287107.0,94045.0,985175.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-26,CA_SK,11929.0,709997.0,115623.0,402730.0,127552.0,1112727.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-03,CA_SK,9281.0,719278.0,87148.0,489878.0,96429.0,1209156.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,CA_SK,9729.0,729007.0,68059.0,557937.0,77788.0,1286944.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-17,CA_SK,7391.0,736398.0,37933.0,595870.0,45324.0,1332268.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-24,CA_SK,7123.0,743521.0,29846.0,625716.0,36969.0,1369237.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,CA_SK,5876.0,749397.0,22321.0,648037.0,28197.0,1397434.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,CA_SK,4074.0,753471.0,12253.0,660290.0,16327.0,1413761.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14,CA_SK,4064.0,757535.0,9776.0,670066.0,13840.0,1427601.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21,CA_SK,5103.0,762638.0,9022.0,679088.0,14125.0,1441726.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,CA_SK,5958.0,768596.0,8251.0,687339.0,14209.0,1455935.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,CA_SK,6433.0,775029.0,7983.0,695322.0,14416.0,1470351.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,CA_SK,5654.0,780683.0,6756.0,702078.0,12410.0,1482761.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,CA_SK,10477.0,791160.0,9413.0,711491.0,19890.0,1502651.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,CA_SK,14492.0,805652.0,11253.0,722744.0,25745.0,1528396.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,CA_SK,14060.0,819712.0,12337.0,735081.0,26397.0,1554793.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-09,CA_SK,14851.0,834563.0,13567.0,748648.0,28418.0,1583211.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-16,CA_SK,8136.0,842699.0,10939.0,759587.0,19075.0,1602286.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-23,CA_SK,7623.0,850322.0,14342.0,773929.0,21965.0,1624251.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-30,CA_SK,6082.0,856404.0,14830.0,788759.0,20912.0,1645163.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-06,CA_SK,5179.0,861583.0,12829.0,801588.0,18008.0,1663171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-13,CA_SK,3932.0,865515.0,9082.0,810670.0,13014.0,1676185.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-20,CA_SK,3634.0,869149.0,8351.0,819021.0,11985.0,1688170.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-27,CA_SK,17012.0,886161.0,6764.0,825785.0,23776.0,1711946.0,,,,,,,,,,,,,,,,,,,,,,,,
