date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_AR,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_AR,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_AR,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_AR,1.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_AR,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_AR,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_AR,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_AR,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_AR,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_AR,1.0,5.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_AR,0.0,5.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_AR,0.0,5.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_AR,0.0,5.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_AR,0.0,5.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_AR,89.0,94.0,0.0,1.0,90.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_AR,252.0,346.0,0.0,1.0,217.0,309.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_AR,165.0,511.0,2.0,3.0,169.0,478.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_AR,199.0,710.0,2.0,5.0,201.0,679.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_AR,34.0,744.0,0.0,5.0,25.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_AR,0.0,744.0,0.0,5.0,0.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_AR,0.0,744.0,0.0,5.0,0.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_AR,6.0,750.0,0.0,5.0,0.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_AR,23.0,773.0,0.0,5.0,0.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_AR,17.0,790.0,0.0,5.0,0.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CH_AR,16.0,806.0,0.0,5.0,0.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,CH_AR,6.0,812.0,0.0,5.0,0.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CH_AR,17.0,829.0,0.0,5.0,0.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,CH_AR,0.0,829.0,0.0,5.0,0.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,CH_AR,152.0,981.0,2.0,7.0,223.0,927.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,CH_AR,354.0,1335.0,0.0,7.0,341.0,1268.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,CH_AR,363.0,1698.0,0.0,7.0,341.0,1609.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,CH_AR,473.0,2171.0,1.0,8.0,386.0,1995.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,CH_AR,70.0,2241.0,0.0,8.0,85.0,2080.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CH_AR,53.0,2294.0,0.0,8.0,0.0,2080.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,CH_AR,0.0,2294.0,0.0,8.0,0.0,2080.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,CH_AR,384.0,2678.0,97.0,105.0,482.0,2562.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,CH_AR,230.0,2908.0,193.0,298.0,352.0,2914.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,CH_AR,214.0,3122.0,152.0,450.0,340.0,3254.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,CH_AR,77.0,3199.0,167.0,617.0,222.0,3476.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,CH_AR,239.0,3438.0,58.0,675.0,308.0,3784.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CH_AR,14.0,3452.0,0.0,675.0,0.0,3784.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,CH_AR,5.0,3457.0,0.0,675.0,0.0,3784.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,CH_AR,26.0,3483.0,0.0,675.0,0.0,3784.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,CH_AR,25.0,3508.0,3.0,678.0,1.0,3785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,CH_AR,22.0,3530.0,7.0,685.0,0.0,3785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,CH_AR,17.0,3547.0,3.0,688.0,0.0,3785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,CH_AR,7.0,3554.0,11.0,699.0,0.0,3785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CH_AR,0.0,3554.0,0.0,699.0,0.0,3785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,CH_AR,0.0,3554.0,0.0,699.0,0.0,3785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,CH_AR,22.0,3576.0,111.0,810.0,199.0,3984.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,CH_AR,19.0,3595.0,25.0,835.0,0.0,3984.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,CH_AR,12.0,3607.0,11.0,846.0,2.0,3986.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,CH_AR,11.0,3618.0,20.0,866.0,0.0,3986.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,CH_AR,17.0,3635.0,18.0,884.0,47.0,4033.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CH_AR,1.0,3636.0,6.0,890.0,0.0,4033.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,CH_AR,0.0,3636.0,0.0,890.0,0.0,4033.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,CH_AR,28.0,3664.0,346.0,1236.0,371.0,4404.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,CH_AR,45.0,3709.0,176.0,1412.0,206.0,4610.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,CH_AR,82.0,3791.0,233.0,1645.0,323.0,4933.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,CH_AR,76.0,3867.0,235.0,1880.0,316.0,5249.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,CH_AR,12.0,3879.0,107.0,1987.0,117.0,5366.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CH_AR,8.0,3887.0,3.0,1990.0,0.0,5366.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,CH_AR,0.0,3887.0,0.0,1990.0,0.0,5366.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,CH_AR,20.0,3907.0,147.0,2137.0,165.0,5531.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,CH_AR,39.0,3946.0,178.0,2315.0,202.0,5733.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,CH_AR,120.0,4066.0,219.0,2534.0,355.0,6088.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,CH_AR,34.0,4100.0,114.0,2648.0,41.0,6129.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,CH_AR,6.0,4106.0,28.0,2676.0,42.0,6171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,CH_AR,3.0,4109.0,0.0,2676.0,0.0,6171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,CH_AR,0.0,4109.0,0.0,2676.0,0.0,6171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,CH_AR,47.0,4156.0,184.0,2860.0,205.0,6376.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,CH_AR,105.0,4261.0,133.0,2993.0,227.0,6603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,CH_AR,58.0,4319.0,160.0,3153.0,185.0,6788.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,CH_AR,39.0,4358.0,38.0,3191.0,1.0,6789.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,CH_AR,25.0,4383.0,33.0,3224.0,0.0,6789.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,CH_AR,5.0,4388.0,37.0,3261.0,0.0,6789.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,CH_AR,1.0,4389.0,0.0,3261.0,0.0,6789.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,CH_AR,158.0,4547.0,49.0,3310.0,189.0,6978.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,CH_AR,179.0,4726.0,66.0,3376.0,191.0,7169.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,CH_AR,16.0,4742.0,34.0,3410.0,11.0,7180.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,CH_AR,12.0,4754.0,54.0,3464.0,11.0,7191.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,CH_AR,15.0,4769.0,17.0,3481.0,0.0,7191.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,CH_AR,2.0,4771.0,3.0,3484.0,1.0,7192.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,CH_AR,1.0,4772.0,0.0,3484.0,0.0,7192.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,CH_AR,330.0,5102.0,77.0,3561.0,401.0,7593.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,CH_AR,18.0,5120.0,30.0,3591.0,20.0,7613.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,CH_AR,265.0,5385.0,91.0,3682.0,376.0,7989.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,CH_AR,138.0,5523.0,81.0,3763.0,200.0,8189.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,CH_AR,182.0,5705.0,5.0,3768.0,204.0,8393.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,CH_AR,1.0,5706.0,7.0,3775.0,0.0,8393.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,CH_AR,0.0,5706.0,0.0,3775.0,0.0,8393.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,CH_AR,355.0,6061.0,20.0,3795.0,392.0,8785.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,CH_AR,208.0,6269.0,24.0,3819.0,203.0,8988.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,CH_AR,113.0,6382.0,90.0,3909.0,198.0,9186.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,CH_AR,397.0,6779.0,89.0,3998.0,416.0,9602.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,CH_AR,244.0,7023.0,18.0,4016.0,241.0,9843.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,CH_AR,6.0,7029.0,6.0,4022.0,0.0,9843.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,CH_AR,0.0,7029.0,0.0,4022.0,0.0,9843.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,CH_AR,344.0,7373.0,67.0,4089.0,447.0,10290.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,CH_AR,209.0,7582.0,91.0,4180.0,291.0,10581.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,CH_AR,223.0,7805.0,38.0,4218.0,219.0,10800.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,CH_AR,129.0,7934.0,35.0,4253.0,107.0,10907.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,CH_AR,142.0,8076.0,39.0,4292.0,200.0,11107.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,CH_AR,8.0,8084.0,9.0,4301.0,0.0,11107.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,CH_AR,0.0,8084.0,0.0,4301.0,0.0,11107.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,CH_AR,0.0,8084.0,0.0,4301.0,2.0,11109.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,CH_AR,168.0,8252.0,205.0,4506.0,378.0,11487.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,CH_AR,547.0,8799.0,58.0,4564.0,614.0,12101.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,CH_AR,255.0,9054.0,31.0,4595.0,270.0,12371.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,CH_AR,291.0,9345.0,160.0,4755.0,467.0,12838.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,CH_AR,11.0,9356.0,4.0,4759.0,1.0,12839.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,CH_AR,0.0,9356.0,2.0,4761.0,0.0,12839.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,CH_AR,114.0,9470.0,303.0,5064.0,408.0,13247.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,CH_AR,246.0,9716.0,25.0,5089.0,259.0,13506.0,,,,,,,,,,,,,,,,,,,,,,,,
