date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_GE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_GE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_GE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_GE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_GE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_GE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_GE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_GE,16.0,16.0,0.0,0.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_GE,26.0,42.0,0.0,0.0,26.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_GE,14.0,56.0,0.0,0.0,15.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_GE,0.0,56.0,0.0,0.0,0.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_GE,0.0,56.0,0.0,0.0,0.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_GE,0.0,56.0,0.0,0.0,0.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_GE,0.0,56.0,0.0,0.0,0.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_GE,56.0,112.0,0.0,0.0,57.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_GE,540.0,652.0,0.0,0.0,541.0,655.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_GE,558.0,1210.0,0.0,0.0,564.0,1219.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_GE,695.0,1905.0,0.0,0.0,699.0,1918.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_GE,704.0,2609.0,0.0,0.0,708.0,2626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_GE,0.0,2609.0,0.0,0.0,0.0,2626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_GE,1.0,2610.0,0.0,0.0,0.0,2626.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_GE,858.0,3468.0,2.0,2.0,867.0,3493.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_GE,892.0,4360.0,0.0,2.0,896.0,4389.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_GE,924.0,5284.0,0.0,2.0,932.0,5321.0,,,,,,,,,,,,,,,,,,,,,,,,
