date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_JU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_JU,153.0,153.0,0.0,0.0,154.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_JU,48.0,201.0,0.0,0.0,54.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_JU,81.0,282.0,0.0,0.0,88.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_JU,101.0,383.0,0.0,0.0,137.0,433.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_JU,79.0,462.0,1.0,1.0,103.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_JU,0.0,462.0,0.0,1.0,0.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_JU,0.0,462.0,0.0,1.0,0.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_JU,64.0,526.0,0.0,1.0,67.0,603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_JU,53.0,579.0,0.0,1.0,54.0,657.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_JU,41.0,620.0,0.0,1.0,42.0,699.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CH_JU,45.0,665.0,0.0,1.0,48.0,747.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,CH_JU,178.0,843.0,0.0,1.0,229.0,976.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CH_JU,0.0,843.0,0.0,1.0,0.0,976.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,CH_JU,0.0,843.0,0.0,1.0,0.0,976.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,CH_JU,78.0,921.0,1.0,2.0,82.0,1058.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,CH_JU,204.0,1125.0,0.0,2.0,206.0,1264.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,CH_JU,294.0,1419.0,0.0,2.0,316.0,1580.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,CH_JU,268.0,1687.0,0.0,2.0,310.0,1890.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,CH_JU,175.0,1862.0,0.0,2.0,197.0,2087.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CH_JU,0.0,1862.0,0.0,2.0,0.0,2087.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,CH_JU,0.0,1862.0,0.0,2.0,0.0,2087.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,CH_JU,185.0,2047.0,0.0,2.0,187.0,2274.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,CH_JU,155.0,2202.0,0.0,2.0,160.0,2434.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,CH_JU,130.0,2332.0,0.0,2.0,130.0,2564.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,CH_JU,135.0,2467.0,0.0,2.0,131.0,2695.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,CH_JU,123.0,2590.0,0.0,2.0,122.0,2817.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CH_JU,0.0,2590.0,0.0,2.0,0.0,2817.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,CH_JU,0.0,2590.0,0.0,2.0,0.0,2817.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,CH_JU,102.0,2692.0,112.0,114.0,241.0,3058.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,CH_JU,131.0,2823.0,231.0,345.0,390.0,3448.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,CH_JU,133.0,2956.0,54.0,399.0,201.0,3649.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,CH_JU,124.0,3080.0,35.0,434.0,158.0,3807.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,CH_JU,0.0,3080.0,187.0,621.0,227.0,4034.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CH_JU,0.0,3080.0,0.0,621.0,0.0,4034.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,CH_JU,0.0,3080.0,0.0,621.0,0.0,4034.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,CH_JU,101.0,3181.0,50.0,671.0,164.0,4198.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,CH_JU,97.0,3278.0,53.0,724.0,174.0,4372.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,CH_JU,121.0,3399.0,105.0,829.0,252.0,4624.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,CH_JU,131.0,3530.0,106.0,935.0,270.0,4894.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,CH_JU,2.0,3532.0,51.0,986.0,54.0,4948.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CH_JU,0.0,3532.0,0.0,986.0,0.0,4948.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,CH_JU,0.0,3532.0,0.0,986.0,0.0,4948.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,CH_JU,52.0,3584.0,205.0,1191.0,264.0,5212.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,CH_JU,121.0,3705.0,184.0,1375.0,298.0,5510.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,CH_JU,175.0,3880.0,82.0,1457.0,276.0,5786.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,CH_JU,114.0,3994.0,125.0,1582.0,261.0,6047.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,CH_JU,41.0,4035.0,190.0,1772.0,233.0,6280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CH_JU,1.0,4036.0,1.0,1773.0,0.0,6280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,CH_JU,0.0,4036.0,0.0,1773.0,0.0,6280.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,CH_JU,203.0,4239.0,25.0,1798.0,231.0,6511.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,CH_JU,286.0,4525.0,52.0,1850.0,352.0,6863.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,CH_JU,129.0,4654.0,115.0,1965.0,246.0,7109.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,CH_JU,111.0,4765.0,131.0,2096.0,242.0,7351.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,CH_JU,137.0,4902.0,115.0,2211.0,252.0,7603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,CH_JU,0.0,4902.0,0.0,2211.0,0.0,7603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,CH_JU,1.0,4903.0,0.0,2211.0,1.0,7604.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,CH_JU,103.0,5006.0,93.0,2304.0,196.0,7800.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,CH_JU,136.0,5142.0,117.0,2421.0,252.0,8052.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,CH_JU,198.0,5340.0,82.0,2503.0,292.0,8344.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,CH_JU,113.0,5453.0,131.0,2634.0,240.0,8584.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,CH_JU,257.0,5710.0,6.0,2640.0,262.0,8846.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,CH_JU,0.0,5710.0,0.0,2640.0,0.0,8846.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,CH_JU,0.0,5710.0,0.0,2640.0,0.0,8846.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,CH_JU,95.0,5805.0,95.0,2735.0,190.0,9036.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,CH_JU,122.0,5927.0,118.0,2853.0,240.0,9276.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,CH_JU,246.0,6173.0,68.0,2921.0,328.0,9604.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,CH_JU,172.0,6345.0,120.0,3041.0,294.0,9898.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,CH_JU,221.0,6566.0,116.0,3157.0,362.0,10260.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,CH_JU,0.0,6566.0,0.0,3157.0,0.0,10260.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,CH_JU,0.0,6566.0,0.0,3157.0,0.0,10260.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,CH_JU,89.0,6655.0,100.0,3257.0,189.0,10449.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,CH_JU,125.0,6780.0,112.0,3369.0,245.0,10694.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,CH_JU,177.0,6957.0,62.0,3431.0,246.0,10940.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,CH_JU,53.0,7010.0,152.0,3583.0,209.0,11149.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,CH_JU,99.0,7109.0,153.0,3736.0,270.0,11419.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,CH_JU,0.0,7109.0,0.0,3736.0,0.0,11419.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,CH_JU,0.0,7109.0,0.0,3736.0,0.0,11419.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,CH_JU,13.0,7122.0,187.0,3923.0,202.0,11621.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,CH_JU,7.0,7129.0,239.0,4162.0,248.0,11869.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,CH_JU,118.0,7247.0,189.0,4351.0,330.0,12199.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,CH_JU,12.0,7259.0,235.0,4586.0,247.0,12446.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,CH_JU,56.0,7315.0,185.0,4771.0,240.0,12686.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,CH_JU,0.0,7315.0,1.0,4772.0,0.0,12686.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,CH_JU,0.0,7315.0,0.0,4772.0,0.0,12686.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,CH_JU,119.0,7434.0,133.0,4905.0,243.0,12929.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,CH_JU,77.0,7511.0,238.0,5143.0,304.0,13233.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,CH_JU,533.0,8044.0,116.0,5259.0,667.0,13900.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,CH_JU,80.0,8124.0,264.0,5523.0,353.0,14253.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,CH_JU,1.0,8125.0,0.0,5523.0,0.0,14253.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,CH_JU,0.0,8125.0,0.0,5523.0,0.0,14253.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,CH_JU,0.0,8125.0,0.0,5523.0,0.0,14253.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,CH_JU,0.0,8125.0,0.0,5523.0,0.0,14253.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,CH_JU,116.0,8241.0,180.0,5703.0,292.0,14545.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,CH_JU,223.0,8464.0,158.0,5861.0,406.0,14951.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,CH_JU,270.0,8734.0,174.0,6035.0,440.0,15391.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,CH_JU,337.0,9071.0,103.0,6138.0,442.0,15833.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,CH_JU,1.0,9072.0,0.0,6138.0,0.0,15833.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,CH_JU,1.0,9073.0,0.0,6138.0,1.0,15834.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,CH_JU,276.0,9349.0,18.0,6156.0,283.0,16117.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,CH_JU,249.0,9598.0,137.0,6293.0,391.0,16508.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,CH_JU,298.0,9896.0,77.0,6370.0,381.0,16889.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,CH_JU,342.0,10238.0,133.0,6503.0,492.0,17381.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,CH_JU,383.0,10621.0,11.0,6514.0,387.0,17768.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-17,CH_JU,1.0,10622.0,0.0,6514.0,0.0,17768.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18,CH_JU,1.0,10623.0,0.0,6514.0,0.0,17768.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,CH_JU,349.0,10972.0,14.0,6528.0,364.0,18132.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20,CH_JU,331.0,11303.0,156.0,6684.0,480.0,18612.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-21,CH_JU,398.0,11701.0,94.0,6778.0,512.0,19124.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-22,CH_JU,324.0,12025.0,230.0,7008.0,556.0,19680.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,CH_JU,479.0,12504.0,17.0,7025.0,491.0,20171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-24,CH_JU,2.0,12506.0,0.0,7025.0,0.0,20171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-25,CH_JU,1.0,12507.0,0.0,7025.0,0.0,20171.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26,CH_JU,299.0,12806.0,92.0,7117.0,386.0,20557.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27,CH_JU,580.0,13386.0,176.0,7293.0,747.0,21304.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,CH_JU,381.0,13767.0,148.0,7441.0,542.0,21846.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,CH_JU,291.0,14058.0,259.0,7700.0,543.0,22389.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,CH_JU,344.0,14402.0,166.0,7866.0,502.0,22891.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,CH_JU,3.0,14405.0,0.0,7866.0,0.0,22891.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02,CH_JU,0.0,14405.0,0.0,7866.0,0.0,22891.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03,CH_JU,604.0,15009.0,29.0,7895.0,622.0,23513.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04,CH_JU,550.0,15559.0,266.0,8161.0,781.0,24294.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-05,CH_JU,667.0,16226.0,162.0,8323.0,795.0,25089.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,CH_JU,509.0,16735.0,385.0,8708.0,863.0,25952.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,CH_JU,522.0,17257.0,305.0,9013.0,802.0,26754.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-08,CH_JU,391.0,17648.0,6.0,9019.0,389.0,27143.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-09,CH_JU,1.0,17649.0,0.0,9019.0,0.0,27143.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,CH_JU,535.0,18184.0,184.0,9203.0,695.0,27838.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,CH_JU,477.0,18661.0,366.0,9569.0,822.0,28660.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,CH_JU,661.0,19322.0,281.0,9850.0,941.0,29601.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13,CH_JU,376.0,19698.0,351.0,10201.0,728.0,30329.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,CH_JU,520.0,20218.0,364.0,10565.0,846.0,31175.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-15,CH_JU,394.0,20612.0,7.0,10572.0,397.0,31572.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16,CH_JU,4.0,20616.0,1.0,10573.0,0.0,31572.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,CH_JU,436.0,21052.0,255.0,10828.0,664.0,32236.0,,,,,,,,,,,,,,,,,,,,,,,,
