date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_LU,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_LU,2.0,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_LU,77.0,79.0,0.0,0.0,50.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_LU,179.0,258.0,0.0,0.0,167.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_LU,0.0,258.0,0.0,0.0,0.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_LU,385.0,643.0,0.0,0.0,386.0,605.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_LU,0.0,643.0,0.0,0.0,0.0,605.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_LU,380.0,1023.0,0.0,0.0,376.0,981.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_LU,156.0,1179.0,0.0,0.0,138.0,1119.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_LU,38.0,1217.0,0.0,0.0,34.0,1153.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_LU,0.0,1217.0,0.0,0.0,0.0,1153.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_LU,0.0,1217.0,0.0,0.0,0.0,1153.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_LU,0.0,1217.0,0.0,0.0,0.0,1153.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_LU,0.0,1217.0,0.0,0.0,0.0,1153.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_LU,0.0,1217.0,0.0,0.0,0.0,1153.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_LU,624.0,1841.0,1.0,1.0,618.0,1771.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_LU,372.0,2213.0,0.0,1.0,381.0,2152.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_LU,763.0,2976.0,0.0,1.0,804.0,2956.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_LU,1151.0,4127.0,0.0,1.0,1289.0,4245.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_LU,311.0,4438.0,2.0,3.0,311.0,4556.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_LU,0.0,4438.0,0.0,3.0,0.0,4556.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_LU,617.0,5055.0,0.0,3.0,621.0,5177.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_LU,925.0,5980.0,0.0,3.0,922.0,6099.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_LU,601.0,6581.0,18.0,21.0,574.0,6673.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CH_LU,459.0,7040.0,9.0,30.0,448.0,7121.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,CH_LU,601.0,7641.0,5.0,35.0,639.0,7760.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CH_LU,553.0,8194.0,0.0,35.0,568.0,8328.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,CH_LU,1.0,8195.0,0.0,35.0,0.0,8328.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,CH_LU,73.0,8268.0,6.0,41.0,83.0,8411.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,CH_LU,372.0,8640.0,1.0,42.0,361.0,8772.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,CH_LU,661.0,9301.0,2.0,44.0,621.0,9393.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,CH_LU,1010.0,10311.0,22.0,66.0,989.0,10382.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,CH_LU,1090.0,11401.0,167.0,233.0,1243.0,11625.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CH_LU,885.0,12286.0,0.0,233.0,882.0,12507.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,CH_LU,3.0,12289.0,0.0,233.0,1.0,12508.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,CH_LU,935.0,13224.0,225.0,458.0,1153.0,13661.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,CH_LU,1507.0,14731.0,427.0,885.0,1928.0,15589.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,CH_LU,873.0,15604.0,9.0,894.0,867.0,16456.0,,,,,,,,,,,,,,,,,,,,,,,,
