date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_NE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_NE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_NE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_NE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_NE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_NE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_NE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_NE,48.0,48.0,0.0,0.0,48.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_NE,102.0,150.0,0.0,0.0,102.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_NE,63.0,213.0,0.0,0.0,63.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_NE,0.0,213.0,0.0,0.0,0.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_NE,1.0,214.0,0.0,0.0,1.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_NE,0.0,214.0,0.0,0.0,0.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_NE,0.0,214.0,0.0,0.0,0.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_NE,45.0,259.0,0.0,0.0,45.0,259.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_NE,108.0,367.0,0.0,0.0,108.0,367.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_NE,109.0,476.0,0.0,0.0,109.0,476.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_NE,102.0,578.0,0.0,0.0,102.0,578.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_NE,45.0,623.0,0.0,0.0,45.0,623.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_NE,0.0,623.0,0.0,0.0,0.0,623.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_NE,0.0,623.0,0.0,0.0,0.0,623.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_NE,48.0,671.0,1.0,1.0,46.0,669.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_NE,110.0,781.0,0.0,1.0,110.0,779.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_NE,113.0,894.0,0.0,1.0,113.0,892.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CH_NE,113.0,1007.0,0.0,1.0,110.0,1002.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,CH_NE,130.0,1137.0,0.0,1.0,112.0,1114.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CH_NE,0.0,1137.0,0.0,1.0,0.0,1114.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,CH_NE,1.0,1138.0,0.0,1.0,1.0,1115.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,CH_NE,200.0,1338.0,0.0,1.0,194.0,1309.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,CH_NE,280.0,1618.0,0.0,1.0,274.0,1583.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,CH_NE,337.0,1955.0,0.0,1.0,333.0,1916.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,CH_NE,426.0,2381.0,2.0,3.0,404.0,2320.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,CH_NE,296.0,2677.0,0.0,3.0,283.0,2603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CH_NE,0.0,2677.0,0.0,3.0,0.0,2603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,CH_NE,0.0,2677.0,0.0,3.0,0.0,2603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,CH_NE,334.0,3011.0,46.0,49.0,377.0,2980.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,CH_NE,343.0,3354.0,105.0,154.0,432.0,3412.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,CH_NE,383.0,3737.0,102.0,256.0,472.0,3884.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,CH_NE,460.0,4197.0,104.0,360.0,552.0,4436.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,CH_NE,411.0,4608.0,98.0,458.0,496.0,4932.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CH_NE,0.0,4608.0,0.0,458.0,0.0,4932.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,CH_NE,0.0,4608.0,0.0,458.0,0.0,4932.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,CH_NE,252.0,4860.0,47.0,505.0,294.0,5226.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,CH_NE,437.0,5297.0,31.0,536.0,460.0,5686.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,CH_NE,772.0,6069.0,17.0,553.0,786.0,6472.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,CH_NE,1004.0,7073.0,41.0,594.0,1036.0,7508.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,CH_NE,1036.0,8109.0,50.0,644.0,1082.0,8590.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CH_NE,0.0,8109.0,0.0,644.0,0.0,8590.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,CH_NE,0.0,8109.0,0.0,644.0,0.0,8590.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,CH_NE,620.0,8729.0,45.0,689.0,646.0,9236.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,CH_NE,584.0,9313.0,87.0,776.0,664.0,9900.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,CH_NE,565.0,9878.0,37.0,813.0,593.0,10493.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,CH_NE,560.0,10438.0,48.0,861.0,598.0,11091.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,CH_NE,565.0,11003.0,57.0,918.0,603.0,11694.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CH_NE,1.0,11004.0,0.0,918.0,0.0,11694.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,CH_NE,0.0,11004.0,0.0,918.0,0.0,11694.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,CH_NE,246.0,11250.0,64.0,982.0,298.0,11992.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,CH_NE,355.0,11605.0,298.0,1280.0,645.0,12637.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,CH_NE,295.0,11900.0,168.0,1448.0,457.0,13094.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,CH_NE,313.0,12213.0,336.0,1784.0,623.0,13717.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,CH_NE,264.0,12477.0,279.0,2063.0,523.0,14240.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CH_NE,1.0,12478.0,0.0,2063.0,0.0,14240.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,CH_NE,0.0,12478.0,0.0,2063.0,0.0,14240.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,CH_NE,368.0,12846.0,328.0,2391.0,690.0,14930.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,CH_NE,293.0,13139.0,509.0,2900.0,782.0,15712.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,CH_NE,526.0,13665.0,386.0,3286.0,897.0,16609.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,CH_NE,511.0,14176.0,480.0,3766.0,984.0,17593.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,CH_NE,368.0,14544.0,330.0,4096.0,688.0,18281.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,CH_NE,0.0,14544.0,0.0,4096.0,0.0,18281.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,CH_NE,0.0,14544.0,1.0,4097.0,1.0,18282.0,,,,,,,,,,,,,,,,,,,,,,,,
