date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_SG,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_SG,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_SG,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_SG,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_SG,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_SG,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_SG,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_SG,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_SG,8.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_SG,2.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_SG,0.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_SG,0.0,13.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_SG,0.0,13.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_SG,0.0,13.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_SG,5.0,18.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_SG,12.0,30.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_SG,131.0,161.0,0.0,1.0,247.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_SG,159.0,320.0,1.0,2.0,132.0,382.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_SG,137.0,457.0,0.0,2.0,126.0,508.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_SG,8.0,465.0,0.0,2.0,1.0,509.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_SG,0.0,465.0,0.0,2.0,2.0,511.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_SG,257.0,722.0,0.0,2.0,284.0,795.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_SG,317.0,1039.0,2.0,4.0,426.0,1221.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_SG,414.0,1453.0,0.0,4.0,478.0,1699.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CH_SG,443.0,1896.0,0.0,4.0,503.0,2202.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,CH_SG,184.0,2080.0,0.0,4.0,216.0,2418.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CH_SG,216.0,2296.0,0.0,4.0,271.0,2689.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,CH_SG,0.0,2296.0,0.0,4.0,1.0,2690.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,CH_SG,467.0,2763.0,0.0,4.0,434.0,3124.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,CH_SG,863.0,3626.0,1.0,5.0,963.0,4087.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,CH_SG,838.0,4464.0,3.0,8.0,922.0,5009.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,CH_SG,764.0,5228.0,1.0,9.0,908.0,5917.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,CH_SG,573.0,5801.0,3.0,12.0,631.0,6548.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CH_SG,617.0,6418.0,1.0,13.0,774.0,7322.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,CH_SG,1.0,6419.0,1.0,14.0,2.0,7324.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,CH_SG,922.0,7341.0,22.0,36.0,976.0,8300.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,CH_SG,2750.0,10091.0,16.0,52.0,3010.0,11310.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,CH_SG,2694.0,12785.0,21.0,73.0,2866.0,14176.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,CH_SG,2755.0,15540.0,31.0,104.0,2907.0,17083.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,CH_SG,2085.0,17625.0,23.0,127.0,2135.0,19218.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CH_SG,721.0,18346.0,9.0,136.0,786.0,20004.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,CH_SG,59.0,18405.0,0.0,136.0,65.0,20069.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,CH_SG,1119.0,19524.0,24.0,160.0,1205.0,21274.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,CH_SG,1504.0,21028.0,71.0,231.0,1714.0,22988.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,CH_SG,1186.0,22214.0,73.0,304.0,1384.0,24372.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,CH_SG,1121.0,23335.0,73.0,377.0,1313.0,25685.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,CH_SG,955.0,24290.0,105.0,482.0,1126.0,26811.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CH_SG,147.0,24437.0,2.0,484.0,157.0,26968.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,CH_SG,6.0,24443.0,0.0,484.0,1.0,26969.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,CH_SG,600.0,25043.0,126.0,610.0,716.0,27685.0,,,,,,,,,,,,,,,,,,,,,,,,
