date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_SH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_SH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_SH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_SH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_SH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_SH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_SH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_SH,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_SH,93.0,93.0,0.0,0.0,112.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_SH,0.0,93.0,0.0,0.0,0.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_SH,0.0,93.0,0.0,0.0,0.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_SH,0.0,93.0,0.0,0.0,0.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_SH,0.0,93.0,0.0,0.0,0.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_SH,0.0,93.0,0.0,0.0,0.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_SH,1.0,94.0,0.0,0.0,0.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_SH,184.0,278.0,0.0,0.0,205.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_SH,96.0,374.0,0.0,0.0,95.0,413.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_SH,342.0,716.0,0.0,0.0,499.0,912.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_SH,392.0,1108.0,0.0,0.0,519.0,1431.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_SH,0.0,1108.0,0.0,0.0,0.0,1431.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_SH,0.0,1108.0,0.0,0.0,0.0,1431.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_SH,145.0,1253.0,0.0,0.0,167.0,1598.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_SH,207.0,1460.0,1.0,1.0,214.0,1812.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_SH,249.0,1709.0,0.0,1.0,264.0,2076.0,,,,,,,,,,,,,,,,,,,,,,,,
