date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_TI,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_TI,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_TI,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_TI,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_TI,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_TI,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_TI,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_TI,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_TI,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_TI,2.0,3.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_TI,0.0,3.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_TI,0.0,3.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_TI,0.0,3.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_TI,0.0,3.0,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_TI,1431.0,1434.0,0.0,0.0,1473.0,1476.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_TI,1805.0,3239.0,0.0,0.0,1817.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_TI,721.0,3960.0,0.0,0.0,731.0,4024.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_TI,785.0,4745.0,0.0,0.0,802.0,4826.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_TI,1408.0,6153.0,0.0,0.0,1463.0,6289.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_TI,589.0,6742.0,0.0,0.0,587.0,6876.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_TI,1.0,6743.0,0.0,0.0,0.0,6876.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_TI,553.0,7296.0,0.0,0.0,550.0,7426.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_TI,930.0,8226.0,0.0,0.0,929.0,8355.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_TI,362.0,8588.0,1.0,1.0,350.0,8705.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CH_TI,250.0,8838.0,0.0,1.0,267.0,8972.0,,,,,,,,,,,,,,,,,,,,,,,,
