date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_VS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_VS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_VS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_VS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_VS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_VS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_VS,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_VS,4.0,4.0,1.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_VS,7.0,11.0,1.0,2.0,7.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_VS,11.0,22.0,1.0,3.0,11.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_VS,2.0,24.0,1.0,4.0,3.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_VS,1.0,25.0,0.0,4.0,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_VS,1.0,26.0,0.0,4.0,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_VS,0.0,26.0,0.0,4.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_VS,175.0,201.0,0.0,4.0,175.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_VS,379.0,580.0,7.0,11.0,379.0,581.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_VS,174.0,754.0,2.0,13.0,173.0,754.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_VS,398.0,1152.0,9.0,22.0,398.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_VS,158.0,1310.0,0.0,22.0,159.0,1311.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_VS,0.0,1310.0,0.0,22.0,0.0,1311.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_VS,1.0,1311.0,1.0,23.0,1.0,1312.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_VS,197.0,1508.0,0.0,23.0,197.0,1509.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_VS,484.0,1992.0,4.0,27.0,491.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_VS,684.0,2676.0,2.0,29.0,677.0,2677.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CH_VS,971.0,3647.0,6.0,35.0,971.0,3648.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,CH_VS,654.0,4301.0,7.0,42.0,660.0,4308.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CH_VS,195.0,4496.0,2.0,44.0,196.0,4504.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,CH_VS,4.0,4500.0,0.0,44.0,3.0,4507.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,CH_VS,302.0,4802.0,5.0,49.0,313.0,4820.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,CH_VS,894.0,5696.0,5.0,54.0,914.0,5734.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,CH_VS,728.0,6424.0,6.0,60.0,729.0,6463.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,CH_VS,1158.0,7582.0,11.0,71.0,1158.0,7621.0,,,,,,,,,,,,,,,,,,,,,,,,
