date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_ZG,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_ZG,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_ZG,111.0,111.0,0.0,0.0,179.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_ZG,35.0,146.0,0.0,0.0,65.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_ZG,0.0,146.0,0.0,0.0,0.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_ZG,0.0,146.0,0.0,0.0,0.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_ZG,0.0,146.0,0.0,0.0,0.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_ZG,0.0,146.0,0.0,0.0,0.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_ZG,32.0,178.0,1.0,1.0,68.0,312.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_ZG,28.0,206.0,0.0,1.0,52.0,364.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_ZG,0.0,206.0,0.0,1.0,0.0,364.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_ZG,0.0,206.0,0.0,1.0,0.0,364.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_ZG,0.0,206.0,0.0,1.0,0.0,364.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_ZG,0.0,206.0,0.0,1.0,0.0,364.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_ZG,0.0,206.0,0.0,1.0,0.0,364.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_ZG,3.0,209.0,0.0,1.0,0.0,364.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_ZG,44.0,253.0,0.0,1.0,51.0,415.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_ZG,114.0,367.0,0.0,1.0,105.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_ZG,186.0,553.0,0.0,1.0,153.0,673.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_ZG,2.0,555.0,0.0,1.0,0.0,673.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_ZG,0.0,555.0,0.0,1.0,0.0,673.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CH_ZG,100.0,655.0,0.0,1.0,108.0,781.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CH_ZG,149.0,804.0,0.0,1.0,146.0,927.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CH_ZG,127.0,931.0,47.0,48.0,222.0,1149.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CH_ZG,154.0,1085.0,51.0,99.0,213.0,1362.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,CH_ZG,243.0,1328.0,32.0,131.0,280.0,1642.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,CH_ZG,248.0,1576.0,1.0,132.0,248.0,1890.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,CH_ZG,246.0,1822.0,0.0,132.0,249.0,2139.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,CH_ZG,377.0,2199.0,3.0,135.0,385.0,2524.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,CH_ZG,657.0,2856.0,5.0,140.0,702.0,3226.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,CH_ZG,779.0,3635.0,5.0,145.0,835.0,4061.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,CH_ZG,690.0,4325.0,50.0,195.0,817.0,4878.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,CH_ZG,656.0,4981.0,8.0,203.0,688.0,5566.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CH_ZG,540.0,5521.0,0.0,203.0,552.0,6118.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,CH_ZG,533.0,6054.0,0.0,203.0,550.0,6668.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,CH_ZG,254.0,6308.0,5.0,208.0,251.0,6919.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,CH_ZG,243.0,6551.0,3.0,211.0,240.0,7159.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,CH_ZG,233.0,6784.0,2.0,213.0,231.0,7390.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,CH_ZG,18.0,6802.0,15.0,228.0,0.0,7390.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,CH_ZG,28.0,6830.0,24.0,252.0,0.0,7390.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CH_ZG,1.0,6831.0,2.0,254.0,0.0,7390.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,CH_ZG,0.0,6831.0,0.0,254.0,0.0,7390.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,CH_ZG,10.0,6841.0,63.0,317.0,70.0,7460.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,CH_ZG,6.0,6847.0,67.0,384.0,64.0,7524.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,CH_ZG,11.0,6858.0,130.0,514.0,141.0,7665.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,CH_ZG,201.0,7059.0,76.0,590.0,265.0,7930.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,CH_ZG,42.0,7101.0,123.0,713.0,162.0,8092.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CH_ZG,22.0,7123.0,82.0,795.0,113.0,8205.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,CH_ZG,86.0,7209.0,30.0,825.0,122.0,8327.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,CH_ZG,4.0,7213.0,58.0,883.0,54.0,8381.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,CH_ZG,19.0,7232.0,210.0,1093.0,222.0,8603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,CH_ZG,25.0,7257.0,104.0,1197.0,96.0,8699.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,CH_ZG,16.0,7273.0,110.0,1307.0,90.0,8789.0,,,,,,,,,,,,,,,,,,,,,,,,
