date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-21,CH_ZH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,CH_ZH,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,CH_ZH,24.0,24.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,CH_ZH,11.0,35.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,CH_ZH,1.0,36.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,CH_ZH,0.0,36.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,CH_ZH,0.0,36.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,CH_ZH,25.0,61.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,CH_ZH,49.0,110.0,1.0,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,CH_ZH,30.0,140.0,0.0,1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CH_ZH,1.0,141.0,0.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CH_ZH,2.0,143.0,0.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,CH_ZH,1.0,144.0,0.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,CH_ZH,0.0,144.0,0.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CH_ZH,81.0,225.0,0.0,1.0,80.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CH_ZH,363.0,588.0,0.0,1.0,404.0,493.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CH_ZH,381.0,969.0,1.0,2.0,403.0,896.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CH_ZH,488.0,1457.0,1.0,3.0,403.0,1299.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CH_ZH,467.0,1924.0,0.0,3.0,397.0,1696.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CH_ZH,231.0,2155.0,0.0,3.0,265.0,1961.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,CH_ZH,1.0,2156.0,0.0,3.0,1.0,1962.0,,,,,,,,,,,,,,,,,,,,,,,,
