date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-02-17,CO_66,,,,,,912.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,CO_66,,,,,-652.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CO_66,,,,,567.0,827.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,CO_66,,,,,21.0,848.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,CO_66,,,,,60.0,908.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,CO_66,,,,,0.0,908.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,CO_66,,,,,0.0,908.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,CO_66,,,,,0.0,908.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,CO_66,,,,,0.0,908.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,CO_66,,,,,12.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,CO_66,,,,,90.0,1010.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,CO_66,,,,,172.0,1182.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,CO_66,,,,,339.0,1521.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,CO_66,,,,,800.0,2321.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,CO_66,,,,,47.0,2368.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,CO_66,,,,,520.0,2888.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,CO_66,,,,,492.0,3380.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,CO_66,,,,,596.0,3976.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,CO_66,,,,,632.0,4608.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,CO_66,,,,,1388.0,5996.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,CO_66,,,,,4520.0,10516.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,CO_66,,,,,4173.0,14689.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,CO_66,,,,,3873.0,18562.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,CO_66,,,,,3364.0,21926.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,CO_66,,,,,1524.0,23450.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-15,CO_66,,,,,655.0,24105.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,CO_66,,,,,764.0,24869.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,CO_66,,,,,590.0,25459.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-18,CO_66,,,,,1802.0,27261.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,CO_66,,,,,1523.0,28784.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,CO_66,,,,,833.0,29617.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,CO_66,,,,,388.0,30005.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,CO_66,,,,,247.0,30252.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,CO_66,,,,,1405.0,31657.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,CO_66,,,,,1316.0,32973.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,CO_66,,,,,2285.0,35258.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,CO_66,,,,,2754.0,38012.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,CO_66,,,,,4387.0,42399.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,CO_66,,,,,3369.0,45768.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,CO_66,,,,,3387.0,49155.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,CO_66,,,,,4318.0,53473.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,CO_66,,,,,3104.0,56577.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,CO_66,,,,,447.0,57024.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,CO_66,,,,,244.0,57268.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,CO_66,,,,,937.0,58205.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,CO_66,,,,,996.0,59201.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,CO_66,,,,,2133.0,61334.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,CO_66,,,,,2020.0,63354.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-07,CO_66,,,,,3732.0,67086.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-08,CO_66,,,,,4551.0,71637.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-09,CO_66,,,,,3402.0,75039.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-10,CO_66,,,,,3031.0,78070.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11,CO_66,,,,,1015.0,79085.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-12,CO_66,,,,,1499.0,80584.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,CO_66,,,,,2223.0,82807.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-14,CO_66,,,,,2796.0,85603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-15,CO_66,,,,,2412.0,88015.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,CO_66,,,,,3638.0,91653.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-17,CO_66,,,,,3720.0,95373.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18,CO_66,,,,,0.0,95373.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,CO_66,,,,,5110.0,100483.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20,CO_66,,,,,2974.0,103457.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-21,CO_66,,,,,-103351.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-22,CO_66,,,,,3.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-23,CO_66,,,,,2.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-24,CO_66,,,,,1.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-25,CO_66,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26,CO_66,,,,,1.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27,CO_66,,,,,2.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,CO_66,,,,,0.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,CO_66,,,,,2.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,CO_66,,,,,123.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,CO_66,,,,,120857.0,121098.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02,CO_66,,,,,-120977.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03,CO_66,,,,,2.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04,CO_66,,,,,129709.0,129832.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,CO_66,,,,,8537.0,138369.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,CO_66,,,,,5349.0,143718.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-08,CO_66,,,,,4456.0,148174.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-09,CO_66,,,,,2624.0,150798.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,CO_66,,,,,5103.0,155901.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,CO_66,,,,,4684.0,160585.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,CO_66,,,,,4813.0,165398.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13,CO_66,,,,,4874.0,170272.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,CO_66,,,,,5233.0,175505.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-15,CO_66,,,,,3726.0,179231.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16,CO_66,,,,,1660.0,180891.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,CO_66,,,,,2163.0,183054.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,CO_66,,,,,4301.0,187355.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,CO_66,,,,,12047.0,199402.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24,CO_66,,,,,6171.0,205573.0,,,,,,,,,,,,,,,,,,,,,,,,
