date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-12-31,CZ_53,12.0,12.0,0.0,0.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,CZ_53,1.0,13.0,0.0,0.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,CZ_53,55.0,68.0,0.0,0.0,55.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,CZ_53,95.0,163.0,0.0,0.0,95.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,CZ_53,180.0,343.0,0.0,0.0,180.0,343.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,CZ_53,166.0,509.0,0.0,0.0,166.0,509.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,CZ_53,264.0,773.0,0.0,0.0,264.0,773.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,CZ_53,85.0,858.0,0.0,0.0,85.0,858.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,CZ_53,236.0,1094.0,0.0,0.0,236.0,1094.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,CZ_53,278.0,1372.0,0.0,0.0,278.0,1372.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,CZ_53,350.0,1722.0,0.0,0.0,350.0,1722.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,CZ_53,368.0,2090.0,0.0,0.0,368.0,2090.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,CZ_53,395.0,2485.0,0.0,0.0,395.0,2485.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,CZ_53,506.0,2991.0,0.0,0.0,506.0,2991.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,CZ_53,351.0,3342.0,0.0,0.0,351.0,3342.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,CZ_53,528.0,3870.0,0.0,0.0,528.0,3870.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,CZ_53,379.0,4249.0,0.0,0.0,379.0,4249.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,CZ_53,577.0,4826.0,0.0,0.0,577.0,4826.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,CZ_53,1.0,4827.0,0.0,0.0,1.0,4827.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,CZ_53,740.0,5567.0,31.0,31.0,771.0,5598.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,CZ_53,734.0,6301.0,140.0,171.0,874.0,6472.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,CZ_53,547.0,6848.0,105.0,276.0,652.0,7124.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,CZ_53,570.0,7418.0,110.0,386.0,680.0,7804.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,CZ_53,348.0,7766.0,354.0,740.0,702.0,8506.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,CZ_53,0.0,7766.0,24.0,764.0,24.0,8530.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,CZ_53,429.0,8195.0,224.0,988.0,653.0,9183.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,CZ_53,393.0,8588.0,305.0,1293.0,698.0,9881.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,CZ_53,266.0,8854.0,334.0,1627.0,600.0,10481.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,CZ_53,368.0,9222.0,343.0,1970.0,711.0,11192.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,CZ_53,284.0,9506.0,386.0,2356.0,670.0,11862.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,CZ_53,1.0,9507.0,0.0,2356.0,1.0,11863.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,CZ_53,0.0,9507.0,1.0,2357.0,1.0,11864.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,CZ_53,495.0,10002.0,493.0,2850.0,988.0,12852.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,CZ_53,368.0,10370.0,354.0,3204.0,722.0,13574.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,CZ_53,442.0,10812.0,500.0,3704.0,942.0,14516.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,CZ_53,622.0,11434.0,372.0,4076.0,994.0,15510.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,CZ_53,508.0,11942.0,569.0,4645.0,1077.0,16587.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,CZ_53,11.0,11953.0,1.0,4646.0,12.0,16599.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,CZ_53,549.0,12502.0,127.0,4773.0,676.0,17275.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,CZ_53,531.0,13033.0,12.0,4785.0,543.0,17818.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,CZ_53,729.0,13762.0,8.0,4793.0,737.0,18555.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,CZ_53,801.0,14563.0,11.0,4804.0,812.0,19367.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,CZ_53,914.0,15477.0,15.0,4819.0,929.0,20296.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,CZ_53,164.0,15641.0,0.0,4819.0,164.0,20460.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,CZ_53,1.0,15642.0,0.0,4819.0,1.0,20461.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,CZ_53,374.0,16016.0,585.0,5404.0,959.0,21420.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,CZ_53,370.0,16386.0,714.0,6118.0,1084.0,22504.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,CZ_53,473.0,16859.0,514.0,6632.0,987.0,23491.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,CZ_53,379.0,17238.0,557.0,7189.0,936.0,24427.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,CZ_53,472.0,17710.0,341.0,7530.0,813.0,25240.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,CZ_53,1.0,17711.0,0.0,7530.0,1.0,25241.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,CZ_53,507.0,18218.0,417.0,7947.0,924.0,26165.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,CZ_53,772.0,18990.0,381.0,8328.0,1153.0,27318.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,CZ_53,1459.0,20449.0,256.0,8584.0,1715.0,29033.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,CZ_53,1639.0,22088.0,349.0,8933.0,1988.0,31021.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,CZ_53,1358.0,23446.0,293.0,9226.0,1651.0,32672.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,CZ_53,108.0,23554.0,1.0,9227.0,109.0,32781.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,CZ_53,70.0,23624.0,0.0,9227.0,70.0,32851.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,CZ_53,893.0,24517.0,925.0,10152.0,1818.0,34669.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,CZ_53,1124.0,25641.0,792.0,10944.0,1916.0,36585.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10,CZ_53,1221.0,26862.0,952.0,11896.0,2173.0,38758.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-11,CZ_53,916.0,27778.0,1140.0,13036.0,2056.0,40814.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,CZ_53,1077.0,28855.0,1317.0,14353.0,2394.0,43208.0,,,,,,,,,,,,,,,,,,,,,,,,
