date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-02-19,DE_BB,,85192.0,2631.0,69431.0,,154623.0,78412.0,78412.0,,69430.0,,,4114.0,4114.0,,1.0,,,0.0,0.0,,0.0,,,,,,,,
2021-02-21,DE_BB,0.0,85192.0,0.0,69431.0,0.0,154623.0,78412.0,156824.0,0.0,69430.0,,,4114.0,8228.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-22,DE_BB,1897.0,87089.0,2725.0,72156.0,4622.0,159245.0,79099.0,235923.0,2725.0,72155.0,,,4114.0,12342.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-23,DE_BB,3418.0,90507.0,835.0,72991.0,4253.0,163498.0,80632.0,316555.0,752.0,72907.0,,,4118.0,16460.0,83.0,84.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-24,DE_BB,4251.0,94758.0,580.0,73696.0,4956.0,168454.0,82224.0,398779.0,558.0,73465.0,,,4123.0,20583.0,147.0,231.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-25,DE_BB,4511.0,99269.0,422.0,74118.0,4933.0,173387.0,84060.0,482839.0,200.0,73665.0,,,4144.0,24727.0,222.0,453.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-26,DE_BB,5049.0,104318.0,583.0,74701.0,5632.0,179019.0,85573.0,568412.0,360.0,74025.0,,,4160.0,28887.0,223.0,676.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-28,DE_BB,0.0,104318.0,0.0,74702.0,1.0,179020.0,85573.0,653985.0,1.0,74026.0,,,4160.0,33047.0,0.0,676.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-01,DE_BB,4337.0,108655.0,733.0,75456.0,5091.0,184111.0,86879.0,740864.0,536.0,74562.0,,,4173.0,37220.0,218.0,894.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-02,DE_BB,4506.0,113161.0,407.0,75863.0,4913.0,189024.0,88082.0,828946.0,122.0,74684.0,,,4196.0,41416.0,285.0,1179.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-03,DE_BB,4693.0,117854.0,432.0,76295.0,5125.0,194149.0,89140.0,918086.0,46.0,74730.0,,,4207.0,45623.0,386.0,1565.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-04,DE_BB,4815.0,122669.0,558.0,76853.0,5373.0,199522.0,90030.0,1008116.0,186.0,74916.0,,,4215.0,49838.0,372.0,1937.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-05,DE_BB,6452.0,129121.0,506.0,77359.0,6958.0,206480.0,91590.0,1099706.0,117.0,75033.0,,,4227.0,54065.0,389.0,2326.0,,,0.0,0.0,0.0,0.0,,,,,,,,
