date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-02-19,DE_BW,,394169.0,10517.0,199307.0,,593476.0,372387.0,372387.0,,198451.0,,,17965.0,17965.0,,856.0,,,0.0,0.0,,0.0,,,,,,,,
2021-02-21,DE_BW,18733.0,412902.0,6262.0,213854.0,33280.0,626756.0,385345.0,757732.0,14461.0,212912.0,,,20034.0,37999.0,86.0,942.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-22,DE_BW,10760.0,423662.0,8090.0,221979.0,18885.0,645641.0,393020.0,1150752.0,7448.0,220360.0,,,21391.0,59390.0,677.0,1619.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-23,DE_BW,12634.0,436296.0,7354.0,229463.0,20118.0,665759.0,402084.0,1552836.0,6754.0,227114.0,,,22100.0,81490.0,730.0,2349.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-24,DE_BW,13825.0,450121.0,8454.0,238118.0,22480.0,688239.0,410169.0,1963005.0,7754.0,234868.0,,,23081.0,104571.0,901.0,3250.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-25,DE_BW,17872.0,467993.0,7051.0,245408.0,25162.0,713401.0,420170.0,2383175.0,6753.0,241621.0,,,24558.0,129129.0,537.0,3787.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-26,DE_BW,19397.0,487390.0,8785.0,254302.0,28291.0,741692.0,430166.0,2813341.0,8422.0,250043.0,,,26402.0,155531.0,472.0,4259.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-28,DE_BW,31398.0,518788.0,5258.0,268877.0,45973.0,787665.0,443698.0,3257039.0,13780.0,263823.0,,,29157.0,184688.0,795.0,5054.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-01,DE_BW,21089.0,539877.0,6748.0,275770.0,27982.0,815647.0,452091.0,3709130.0,6346.0,270169.0,,,29834.0,214522.0,547.0,5601.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-02,DE_BW,23149.0,563026.0,7111.0,283086.0,30465.0,846112.0,461216.0,4170346.0,7109.0,277278.0,,,30505.0,245027.0,207.0,5808.0,,,0.0,0.0,0.0,0.0,,,,,,,,
