date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-02-19,DE_HE,,218692.0,2498.0,102298.0,,320990.0,207129.0,207129.0,,102153.0,,,6384.0,6384.0,,145.0,,,0.0,0.0,,0.0,,,,,,,,
2021-02-21,DE_HE,7326.0,226018.0,2584.0,108868.0,13896.0,334886.0,213580.0,420709.0,6569.0,108722.0,,,6696.0,13080.0,1.0,146.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-22,DE_HE,4914.0,230932.0,3473.0,112341.0,8387.0,343273.0,217792.0,638501.0,3473.0,112195.0,,,6941.0,20021.0,0.0,146.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-23,DE_HE,6144.0,237076.0,3498.0,115839.0,9642.0,352915.0,223030.0,861531.0,3498.0,115693.0,,,7266.0,27287.0,0.0,146.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-24,DE_HE,8472.0,245548.0,3866.0,119705.0,12338.0,365253.0,230204.0,1091735.0,3866.0,119559.0,,,7973.0,35260.0,0.0,146.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-25,DE_HE,8802.0,254350.0,3752.0,123457.0,12554.0,377807.0,237853.0,1329588.0,3752.0,123311.0,,,7983.0,43243.0,0.0,146.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-26,DE_HE,8591.0,262941.0,3528.0,126985.0,12119.0,389926.0,244545.0,1574133.0,3528.0,126839.0,,,8073.0,51316.0,0.0,146.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-28,DE_HE,26930.0,289871.0,2920.0,136932.0,36877.0,426803.0,258484.0,1832617.0,9946.0,136785.0,,,8918.0,60234.0,1.0,147.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-01,DE_HE,9419.0,299290.0,2740.0,139672.0,12159.0,438962.0,265941.0,2098558.0,2737.0,139522.0,,,9309.0,69543.0,3.0,150.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-02,DE_HE,10958.0,310248.0,5984.0,145656.0,16942.0,455904.0,273826.0,2372384.0,5980.0,145502.0,,,9547.0,79090.0,4.0,154.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-03,DE_HE,11167.0,321415.0,6164.0,151820.0,17331.0,473235.0,281244.0,2653628.0,6162.0,151664.0,,,10239.0,89329.0,2.0,156.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-04,DE_HE,12127.0,333542.0,5923.0,157868.0,18175.0,491410.0,288122.0,2941750.0,6047.0,157711.0,,,10999.0,100328.0,1.0,157.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-05,DE_HE,16544.0,350086.0,5708.0,163582.0,22258.0,513668.0,297602.0,3239352.0,5713.0,163424.0,,,12196.0,112524.0,1.0,158.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-07,DE_HE,29394.0,379480.0,271.0,169370.0,35182.0,548850.0,308498.0,3547850.0,4983.0,168407.0,,,12813.0,125337.0,805.0,963.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-08,DE_HE,16447.0,395927.0,5199.0,179166.0,26243.0,575093.0,317121.0,3864971.0,9588.0,177995.0,,,13378.0,138715.0,208.0,1171.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-09,DE_HE,17730.0,413657.0,5582.0,184829.0,23393.0,598486.0,326982.0,4191953.0,5085.0,183080.0,,,14494.0,153209.0,578.0,1749.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-10,DE_HE,17752.0,431409.0,5431.0,190260.0,23183.0,621669.0,335919.0,4527872.0,4863.0,187943.0,,,15003.0,168212.0,568.0,2317.0,,,0.0,0.0,0.0,0.0,,,,,,,,
