date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-02-19,DE_NI,,279853.0,3011.0,139810.0,,419663.0,254313.0,254313.0,,138187.0,,,7571.0,7571.0,,1623.0,,,0.0,0.0,,0.0,,,,,,,,
2021-02-21,DE_NI,4662.0,284515.0,1731.0,143862.0,8714.0,428377.0,257371.0,511684.0,4052.0,142239.0,,,7632.0,15203.0,0.0,1623.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-22,DE_NI,12272.0,296787.0,3351.0,147888.0,16298.0,444675.0,267016.0,778700.0,4025.0,146264.0,,,8661.0,23864.0,1.0,1624.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-23,DE_NI,13709.0,310496.0,3425.0,151742.0,17563.0,462238.0,278424.0,1057124.0,3854.0,150118.0,,,9187.0,33051.0,0.0,1624.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-24,DE_NI,15603.0,326099.0,3544.0,155493.0,19354.0,481592.0,290451.0,1347575.0,3751.0,153869.0,,,10103.0,43154.0,0.0,1624.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-25,DE_NI,15297.0,341396.0,4413.0,160413.0,20217.0,501809.0,301961.0,1649536.0,4919.0,158788.0,,,10599.0,53753.0,1.0,1625.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-26,DE_NI,15791.0,357187.0,5157.0,165970.0,21348.0,523157.0,312969.0,1962505.0,5557.0,164345.0,,,10746.0,64499.0,0.0,1625.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-28,DE_NI,5667.0,362854.0,0.0,168877.0,8574.0,531731.0,315120.0,2277625.0,2907.0,167252.0,,,10988.0,75487.0,0.0,1625.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-01,DE_NI,13877.0,376731.0,3726.0,173123.0,18123.0,549854.0,324352.0,2601977.0,4246.0,171498.0,,,11458.0,86945.0,0.0,1625.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-02,DE_NI,16335.0,393066.0,3102.0,176582.0,19794.0,569648.0,335613.0,2937590.0,3458.0,174956.0,,,12020.0,98965.0,1.0,1626.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-03,DE_NI,16137.0,409203.0,4770.0,181638.0,21193.0,590841.0,346798.0,3284388.0,4487.0,179443.0,,,12628.0,111593.0,569.0,2195.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-04,DE_NI,21853.0,431056.0,5407.0,187462.0,27677.0,618518.0,361028.0,3645416.0,5139.0,184582.0,,,14236.0,125829.0,685.0,2880.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-05,DE_NI,21083.0,452139.0,6581.0,194235.0,27856.0,646374.0,372559.0,4017975.0,6516.0,191098.0,,,14512.0,140341.0,257.0,3137.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-07,DE_NI,12258.0,464397.0,1172.0,199508.0,17531.0,663905.0,376950.0,4394925.0,4829.0,195927.0,,,14832.0,155173.0,444.0,3581.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-08,DE_NI,18658.0,483055.0,6944.0,206705.0,25855.0,689760.0,387765.0,4782690.0,7103.0,203030.0,,,15420.0,170593.0,94.0,3675.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-09,DE_NI,19255.0,502310.0,7983.0,214949.0,27499.0,717259.0,397222.0,5179912.0,8244.0,211274.0,,,16709.0,187302.0,0.0,3675.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-10,DE_NI,18409.0,520719.0,10196.0,225366.0,28826.0,746085.0,405169.0,5585081.0,10417.0,221691.0,,,17188.0,204490.0,0.0,3675.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-11,DE_NI,18721.0,539440.0,11523.0,237348.0,30703.0,776788.0,415466.0,6000547.0,11737.0,233428.0,,,17995.0,222485.0,245.0,3920.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-12,DE_NI,19843.0,559283.0,11486.0,249246.0,31741.0,808529.0,419677.0,6420224.0,11779.0,245207.0,,,19655.0,242140.0,119.0,4039.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-14,DE_NI,18211.0,577494.0,439.0,252829.0,21794.0,830323.0,422980.0,6843204.0,3036.0,248243.0,,,19965.0,262105.0,547.0,4586.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-15,DE_NI,29207.0,606701.0,9000.0,262173.0,38551.0,868874.0,427327.0,7270531.0,9186.0,257429.0,,,21851.0,283956.0,158.0,4744.0,,,0.0,0.0,0.0,0.0,,,,,,,,
