date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-02-19,DE_SH,,118459.0,3256.0,72518.0,,190977.0,108633.0,108633.0,,71305.0,,,3266.0,3266.0,,1213.0,,,0.0,0.0,,0.0,,,,,,,,
2021-02-21,DE_SH,4940.0,123399.0,2497.0,77320.0,9742.0,200719.0,111534.0,220167.0,4802.0,76107.0,,,3479.0,6745.0,0.0,1213.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-22,DE_SH,2309.0,125708.0,2645.0,79951.0,4940.0,205659.0,112904.0,333071.0,2632.0,78739.0,,,3586.0,10331.0,-1.0,1212.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-23,DE_SH,3097.0,128805.0,2480.0,82559.0,5705.0,211364.0,114431.0,447502.0,2562.0,81301.0,,,3696.0,14027.0,46.0,1258.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-24,DE_SH,2614.0,131419.0,1954.0,84537.0,4592.0,215956.0,115885.0,563387.0,1978.0,83279.0,,,3806.0,17833.0,0.0,1258.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-25,DE_SH,3228.0,134647.0,2160.0,86697.0,5388.0,221344.0,117436.0,680823.0,2077.0,85356.0,,,3919.0,21752.0,83.0,1341.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-26,DE_SH,3464.0,138111.0,2097.0,88793.0,5560.0,226904.0,118747.0,799570.0,1998.0,87354.0,,,4067.0,25819.0,98.0,1439.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-28,DE_SH,2073.0,140184.0,0.0,89010.0,2290.0,229194.0,119839.0,919409.0,217.0,87571.0,,,4178.0,29997.0,0.0,1439.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-01,DE_SH,8113.0,148297.0,1629.0,90834.0,9937.0,239131.0,124115.0,1043524.0,1823.0,89394.0,,,4526.0,34523.0,1.0,1440.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-02,DE_SH,6922.0,155219.0,1404.0,92243.0,8331.0,247462.0,127409.0,1170933.0,1409.0,90803.0,,,4756.0,39279.0,0.0,1440.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-03,DE_SH,6944.0,162163.0,1180.0,93419.0,8120.0,255582.0,131025.0,1301958.0,1176.0,91979.0,,,4981.0,44260.0,0.0,1440.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-04,DE_SH,6075.0,168238.0,1508.0,94925.0,7581.0,263163.0,134424.0,1436382.0,1463.0,93442.0,,,5207.0,49467.0,43.0,1483.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-05,DE_SH,7090.0,175328.0,1002.0,95928.0,8093.0,271256.0,137758.0,1574140.0,947.0,94389.0,,,5440.0,54907.0,56.0,1539.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-07,DE_SH,10805.0,186133.0,71.0,96050.0,10927.0,282183.0,143118.0,1717258.0,121.0,94510.0,,,5900.0,60807.0,1.0,1540.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-08,DE_SH,122.0,186255.0,0.0,96081.0,153.0,282336.0,143118.0,1860376.0,-2.0,94508.0,,,5900.0,66707.0,33.0,1573.0,,,0.0,0.0,0.0,0.0,,,,,,,,
