date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-02-19,DE_SN,,150611.0,2088.0,73490.0,,224101.0,141591.0,141591.0,,73399.0,,,6959.0,6959.0,,91.0,,,0.0,0.0,,0.0,,,,,,,,
2021-02-21,DE_SN,14125.0,164736.0,2752.0,78380.0,19015.0,243116.0,153419.0,295010.0,4708.0,78107.0,,,8097.0,15056.0,182.0,273.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-22,DE_SN,6176.0,170912.0,2813.0,81193.0,8989.0,252105.0,158976.0,453986.0,2813.0,80920.0,,,8394.0,23450.0,0.0,273.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-23,DE_SN,7948.0,178860.0,2417.0,83610.0,10365.0,262470.0,166696.0,620682.0,2417.0,83337.0,,,8580.0,32030.0,0.0,273.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-24,DE_SN,5418.0,184278.0,2076.0,85686.0,7494.0,269964.0,171212.0,791894.0,2007.0,85344.0,,,9059.0,41089.0,69.0,342.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-25,DE_SN,6706.0,190984.0,2249.0,87935.0,8955.0,278919.0,176722.0,968616.0,2165.0,87509.0,,,9491.0,50580.0,84.0,426.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-26,DE_SN,7580.0,198564.0,3400.0,91335.0,10980.0,289899.0,182784.0,1151400.0,3058.0,90567.0,,,9924.0,60504.0,342.0,768.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-02-28,DE_SN,13769.0,212333.0,1986.0,95582.0,18016.0,307915.0,193518.0,1344918.0,4247.0,94814.0,,,10838.0,71342.0,0.0,768.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-01,DE_SN,6384.0,218717.0,2412.0,97994.0,8796.0,316711.0,198054.0,1542972.0,2360.0,97174.0,,,11084.0,82426.0,52.0,820.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-02,DE_SN,8033.0,226750.0,2904.0,100898.0,10937.0,327648.0,204692.0,1747664.0,2794.0,99968.0,,,11267.0,93693.0,110.0,930.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-03,DE_SN,8597.0,235347.0,2703.0,103601.0,11300.0,338948.0,211510.0,1959174.0,2595.0,102563.0,,,11594.0,105287.0,108.0,1038.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-04,DE_SN,8959.0,244306.0,2858.0,106459.0,11817.0,350765.0,217891.0,2177065.0,2551.0,105114.0,,,11995.0,117282.0,307.0,1345.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-05,DE_SN,5660.0,249966.0,2577.0,109036.0,8237.0,359002.0,221884.0,2398949.0,2494.0,107608.0,,,12161.0,129443.0,83.0,1428.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-07,DE_SN,16943.0,266909.0,2151.0,113544.0,21451.0,380453.0,233928.0,2632877.0,4425.0,112033.0,,,12687.0,142130.0,83.0,1511.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-08,DE_SN,7672.0,274581.0,2414.0,115958.0,10086.0,390539.0,239636.0,2872513.0,2337.0,114370.0,,,12743.0,154873.0,77.0,1588.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-09,DE_SN,8340.0,282921.0,1901.0,117859.0,10241.0,400780.0,246046.0,3118559.0,1837.0,116207.0,,,12786.0,167659.0,64.0,1652.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-10,DE_SN,6645.0,289566.0,3514.0,121373.0,10159.0,410939.0,250774.0,3369333.0,3446.0,119653.0,,,12866.0,180525.0,68.0,1720.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-11,DE_SN,6768.0,296334.0,4059.0,125432.0,10827.0,421766.0,254908.0,3624241.0,3871.0,123524.0,,,12928.0,193453.0,188.0,1908.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-12,DE_SN,6812.0,303146.0,4639.0,130071.0,11451.0,433217.0,258048.0,3882289.0,4522.0,128046.0,,,13189.0,206642.0,117.0,2025.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-14,DE_SN,10347.0,313493.0,5512.0,140658.0,20934.0,454151.0,261632.0,4143921.0,10421.0,138467.0,,,14053.0,220695.0,166.0,2191.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-15,DE_SN,4287.0,317780.0,5091.0,145749.0,9378.0,463529.0,263186.0,4407107.0,4742.0,143209.0,,,14236.0,234931.0,349.0,2540.0,,,0.0,0.0,0.0,0.0,,,,,,,,
2021-03-16,DE_SN,1695.0,319475.0,7868.0,153617.0,9563.0,473092.0,264668.0,4671775.0,7390.0,150599.0,,,14449.0,249380.0,478.0,3018.0,,,0.0,0.0,0.0,0.0,,,,,,,,
