date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-04,ES,,82834.0,,,,82834.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,ES,56505.0,139339.0,,,56505.0,139339.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,ES,67984.0,207323.0,,,67984.0,207323.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,ES,70653.0,277976.0,,,70653.0,277976.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES,128115.0,406091.0,,,128115.0,406091.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES,82031.0,488122.0,,,82031.0,488122.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES,93516.0,581638.0,,,93516.0,581638.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES,94548.0,676186.0,,,94548.0,676186.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,ES,92764.0,768950.0,,,92764.0,768950.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES,126677.0,895627.0,,2315.0,128992.0,897942.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES,61129.0,956756.0,7026.0,9341.0,68155.0,966097.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES,53539.0,1010295.0,6301.0,15642.0,59840.0,1025937.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES,43950.0,1054245.0,33414.0,49056.0,77364.0,1103301.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,ES,43124.0,1097369.0,19400.0,68456.0,62524.0,1165825.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES,51526.0,1148895.0,20242.0,88698.0,71768.0,1237593.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES,18624.0,1167519.0,34999.0,123697.0,53623.0,1291216.0,,,,,,,,,,,,,,,,,,,,,,,,
