date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-02,ES_AN,,8178692.0,,6853856.0,,15032548.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,ES_AN,27786.0,8206478.0,2480.0,6856336.0,30266.0,15062814.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,ES_AN,33979.0,8240457.0,2355.0,6858691.0,36334.0,15099148.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,ES_AN,24628.0,8265085.0,1488.0,6860179.0,26116.0,15125264.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,ES_AN,38047.0,8303133.0,2487.0,6862666.0,15084412.0,15165799.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,ES_AN,38802.0,8341935.0,2913.0,6865579.0,41715.0,15207514.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES_AN,42651.0,8384587.0,2674.0,6868253.0,15157961.0,15252840.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES_AN,46433.0,8431020.0,2999.0,6871252.0,15192441.0,15302272.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES_AN,46075.0,8477096.0,3133.0,6874385.0,15228022.0,15351481.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES_AN,0.0,,0.0,,-15211763.0,139718.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,ES_AN,51163.0,8528259.0,1994.0,6876379.0,15264920.0,15404638.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,ES_AN,8419913.0,8570784.0,6878368.0,6878901.0,15298281.0,15449685.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES_AN,8454893.0,8617940.0,6879817.0,6881590.0,15334710.0,15499530.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES_AN,8613016.0,8782727.0,6880373.0,6884941.0,15493389.0,15667668.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES_AN,8691387.0,8870295.0,6872844.0,6888037.0,15564231.0,15758332.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES_AN,-8681375.0,188920.0,-6867191.0,20846.0,-15548566.0,209766.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,ES_AN,8761948.0,8950868.0,6868878.0,6889724.0,15630826.0,15840592.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES_AN,8799366.0,9000159.0,6866173.0,6891689.0,15665539.0,15891848.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES_AN,8845358.0,9058552.0,6855815.0,6893793.0,15701173.0,15952345.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,ES_AN,8913740.0,9120765.0,6844807.0,6895758.0,15758547.0,16016523.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,ES_AN,8964552.0,9175168.0,6842400.0,6897404.0,15806952.0,16072572.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,ES_AN,-8959684.0,215484.0,-6829893.0,67511.0,-15789577.0,282995.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,ES_AN,9112289.0,9327773.0,6831771.0,6899282.0,15944060.0,16227055.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,ES_AN,9144916.0,9366068.0,6822234.0,6900874.0,15967150.0,16266942.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,ES_AN,9183561.0,9406083.0,6811555.0,6902319.0,15995116.0,16308402.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,ES_AN,9220215.0,9444944.0,6799262.0,6903791.0,16019477.0,16348735.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,ES_AN,9257996.0,9485691.0,6787193.0,6905146.0,16045189.0,16390837.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,ES_AN,-9253902.0,231789.0,-6773453.0,131693.0,-16027355.0,363482.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,ES_AN,9300064.0,9531853.0,6774822.0,6906515.0,16074886.0,16438368.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,ES_AN,9326077.0,9561468.0,6764121.0,6907673.0,16090198.0,16469141.0,,,,,,,,,,,,,,,,,,,,,,,,
