date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-03,ES_CL,,2753418.0,,1994733.0,,4748151.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,ES_CL,17179.0,2770598.0,656.0,1995389.0,17835.0,4765987.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,ES_CL,14965.0,2785563.0,415.0,1995804.0,15380.0,4781367.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,ES_CL,35317.0,2820880.0,869.0,1996673.0,36186.0,4817553.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,ES_CL,19408.0,2840288.0,532.0,1997205.0,4801288.0,4837493.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES_CL,21430.0,2861718.0,474.0,1997679.0,4818057.0,4859397.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES_CL,23306.0,2885024.0,651.0,1998330.0,4835111.0,4883354.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES_CL,22755.0,2907780.0,699.0,1999029.0,23454.0,4906809.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES_CL,0.0,,0.0,,1442.0,59411.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,ES_CL,34887.0,2942667.0,2372.0,2001401.0,4884657.0,4944068.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,ES_CL,2890918.0,2957873.0,2001683.0,2001807.0,4892601.0,4959680.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES_CL,2908527.0,2978980.0,2001901.0,2002333.0,4910428.0,4981313.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES_CL,2921699.0,2995416.0,2002157.0,2002790.0,4923856.0,4998206.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES_CL,2934967.0,3011833.0,1998062.0,2003358.0,4933029.0,5015191.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES_CL,-2931523.0,80310.0,-1997298.0,6060.0,-4928821.0,86370.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,ES_CL,2953116.0,3033426.0,1998816.0,2004876.0,4951932.0,5038302.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES_CL,2961560.0,3046024.0,1995640.0,2005233.0,4957200.0,5051257.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES_CL,2970980.0,3057271.0,1992301.0,2005546.0,4963281.0,5062817.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,ES_CL,2982526.0,3067967.0,1987170.0,2005926.0,4969696.0,5073893.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,ES_CL,2990182.0,3078727.0,1986576.0,2006234.0,4976758.0,5084961.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,ES_CL,-2989004.0,89723.0,-1981214.0,25020.0,-4970218.0,114743.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,ES_CL,2998298.0,3088021.0,1981567.0,2006587.0,4979865.0,5094608.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,ES_CL,3006891.0,3096670.0,1972357.0,2006803.0,4979248.0,5103473.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,ES_CL,3013390.0,3104701.0,1972020.0,2007071.0,4985410.0,5111772.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,ES_CL,3020343.0,3112274.0,1966781.0,2007346.0,4987124.0,5119620.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,ES_CL,3027951.0,3121125.0,1962042.0,2007724.0,4989993.0,5128849.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,ES_CL,-3026782.0,94343.0,-1951059.0,56665.0,-4977841.0,151008.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,ES_CL,3034263.0,3128606.0,1951482.0,2008147.0,4985745.0,5136753.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,ES_CL,3038366.0,3136458.0,1945523.0,2008451.0,4983889.0,5144909.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,ES_CL,3046074.0,3143287.0,1944165.0,2008733.0,4990239.0,5152020.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,ES_CL,3051359.0,3150044.0,1939668.0,2009013.0,4991027.0,5159057.0,,,,,,,,,,,,,,,,,,,,,,,,
