date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-02,ES_CM,,1963863.0,,1588009.0,,3551872.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,ES_CM,7819.0,1971682.0,406.0,1588415.0,8225.0,3560097.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,ES_CM,8651.0,1980333.0,386.0,1588801.0,9037.0,3569134.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,ES_CM,7960.0,1988293.0,383.0,1589184.0,8343.0,3577477.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,ES_CM,15985.0,2004278.0,535.0,1589719.0,16520.0,3593997.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,ES_CM,9651.0,2013929.0,1499.0,1591218.0,11150.0,3605147.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES_CM,12535.0,2026464.0,602.0,1591820.0,3599075.0,3618284.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES_CM,15874.0,2042338.0,714.0,1592534.0,3611530.0,3634872.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES_CM,16537.0,2058876.0,604.0,1593138.0,3625135.0,3652014.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES_CM,0.0,,0.0,,-3621401.0,30613.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,ES_CM,0.0,,0.0,,3196.0,33809.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,ES_CM,21576.0,2080452.0,701.0,1593839.0,3640482.0,3674291.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,ES_CM,2050218.0,2088539.0,1597402.0,1597402.0,3647620.0,3685941.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES_CM,2055281.0,2098774.0,1597698.0,1597887.0,3652979.0,3696661.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES_CM,2061010.0,2109570.0,1598183.0,1598378.0,3659193.0,3707948.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES_CM,2068231.0,2120909.0,1597631.0,1598833.0,3665862.0,3719742.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES_CM,-2065471.0,55438.0,-1597240.0,1593.0,-3662711.0,57031.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,ES_CM,2080133.0,2135571.0,1597684.0,1599277.0,3677817.0,3734848.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES_CM,2083453.0,2142833.0,1597880.0,1599888.0,3681333.0,3742721.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES_CM,2092381.0,2153107.0,1595656.0,1599279.0,3688037.0,3752386.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,ES_CM,2101658.0,2163198.0,1592726.0,1599708.0,3694384.0,3762906.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,ES_CM,2108741.0,2172597.0,1592369.0,1599997.0,3701110.0,3772594.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,ES_CM,-2107318.0,65279.0,-1587511.0,12486.0,-3694829.0,77765.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,ES_CM,220.0,2188587.0,0.0,1593880.0,220.0,3782467.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,ES_CM,2121442.0,2188587.0,1576420.0,1593880.0,3697862.0,3782467.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,ES_CM,-2121059.0,67528.0,-1572520.0,21360.0,-3693579.0,88888.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,ES_CM,2121107.0,2189284.0,1569355.0,1593880.0,3690462.0,3783164.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,ES_CM,2120002.0,2189664.0,1566189.0,1593880.0,3686191.0,3783544.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,ES_CM,-2117976.0,71688.0,-1563535.0,30345.0,-3681511.0,102033.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,ES_CM,2125416.0,2197104.0,1563535.0,1593880.0,3688951.0,3790984.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,ES_CM,0.0,2211002.0,0.0,1612054.0,0.0,3823056.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,ES_CM,-2137563.0,73439.0,-1578847.0,33207.0,-3716410.0,106646.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,ES_CM,2144252.0,2218357.0,1576987.0,1612518.0,3721239.0,3830875.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,ES_CM,2146261.0,2221707.0,1574581.0,1612772.0,3720842.0,3834479.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,ES_CM,-2145726.0,75981.0,-1571082.0,41690.0,-3716808.0,117671.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,ES_CM,2152337.0,2228318.0,1571396.0,1613086.0,3723733.0,3841404.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,ES_CM,2151921.0,2228494.0,1563708.0,1613086.0,3715629.0,3841580.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,ES_CM,2152119.0,2229065.0,1560260.0,1613086.0,3712379.0,3842151.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,ES_CM,2144161.0,2221436.0,1582875.0,1638322.0,3727036.0,3859758.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,ES_CM,2144428.0,2223531.0,1580949.0,1639284.0,3725377.0,3862815.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,ES_CM,-2143236.0,80295.0,-1579439.0,59845.0,-3722675.0,140140.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,ES_CM,2147066.0,2227361.0,1579811.0,1639656.0,3726877.0,3867017.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,ES_CM,2141949.0,2223681.0,1573674.0,1635286.0,3715623.0,3858967.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,ES_CM,0.0,2225600.0,0.0,1636067.0,0.0,3861667.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,ES_CM,2143721.0,2229160.0,1572154.0,1637074.0,3715875.0,3866234.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,ES_CM,-2140674.0,88486.0,-1571308.0,65766.0,-3711982.0,154252.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,ES_CM,4804.0,93290.0,1179.0,66945.0,5983.0,160235.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,ES_CM,2138193.0,2231483.0,1570392.0,1637337.0,3708585.0,3868820.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,ES_CM,2140902.0,2235109.0,1569827.0,1638559.0,3710729.0,3873668.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,ES_CM,0.0,2236059.0,0.0,1638914.0,0.0,3874973.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,ES_CM,-2137025.0,99034.0,-1568782.0,70132.0,-3705807.0,169166.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,ES_CM,2132615.0,2238038.0,1568480.0,1639661.0,3701095.0,3877699.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,ES_CM,-2114282.0,123756.0,-1567701.0,71960.0,-3681983.0,195716.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,ES_CM,5099.0,128855.0,651.0,72611.0,5750.0,201466.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,ES_CM,3235.0,132090.0,442.0,73053.0,3677.0,205143.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-09,ES_CM,6204.0,138294.0,886.0,73939.0,7090.0,212233.0,,,,,,,,,,,,,,,,,,,,,,,,
