date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-02,ES_CT,,6859471.0,,6008529.0,,12868000.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,ES_CT,40772.0,6900243.0,2011.0,6010540.0,42783.0,12910783.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,ES_CT,43998.0,6944241.0,2929.0,6013469.0,46927.0,12957710.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,ES_CT,22521.0,6966762.0,3110.0,6016579.0,25631.0,12983341.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,ES_CT,88726.0,7055488.0,8743.0,6025322.0,97469.0,13080810.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,ES_CT,36357.0,7091845.0,3553.0,6028875.0,13037935.0,13120720.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES_CT,39254.0,7131099.0,4066.0,6032941.0,43320.0,13164040.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES_CT,38221.0,7169320.0,3662.0,6036603.0,13113790.0,13205923.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES_CT,39290.0,7208611.0,5168.0,6041771.0,13144795.0,13250382.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES_CT,0.0,,0.0,,-13127805.0,122577.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,ES_CT,90276.0,7298887.0,11068.0,6052839.0,13229149.0,13351726.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,ES_CT,7184803.0,7329709.0,6055138.0,6055305.0,13239941.0,13385014.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES_CT,0.0,7365768.0,0.0,6058901.0,0.0,13424669.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES_CT,-7203851.0,161917.0,-6057988.0,913.0,-13261839.0,162830.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES_CT,7255720.0,7421176.0,6062519.0,6065117.0,13318239.0,13486293.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES_CT,-7252130.0,169046.0,-6061016.0,4101.0,-13313146.0,173147.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,ES_CT,7313411.0,7482457.0,6064895.0,6068996.0,13378306.0,13551453.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES_CT,7320286.0,7497592.0,6064803.0,6072275.0,13385089.0,13569867.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES_CT,7342702.0,7515795.0,6064670.0,6074290.0,13407372.0,13590085.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,ES_CT,7348794.0,7532018.0,6057699.0,6076125.0,13406493.0,13608143.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,ES_CT,7363650.0,7548565.0,6054721.0,6077983.0,13418371.0,13626548.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,ES_CT,-7361417.0,187148.0,-6042559.0,35424.0,-13403976.0,222572.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,ES_CT,7397443.0,7584591.0,6046134.0,6081558.0,13443577.0,13666149.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,ES_CT,7400348.0,7596227.0,6021876.0,6082552.0,13422224.0,13678779.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,ES_CT,7411001.0,7603132.0,6016503.0,6085934.0,13427504.0,13689066.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,ES_CT,7420004.0,7613341.0,6006589.0,6086976.0,13426593.0,13700317.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,ES_CT,7428111.0,7622216.0,5995985.0,6087709.0,13424096.0,13709925.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,ES_CT,-7421398.0,200818.0,-5979832.0,107877.0,-13401230.0,308695.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,ES_CT,7442266.0,7643084.0,5982141.0,6090018.0,13424407.0,13733102.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,ES_CT,7454086.0,7650566.0,5970019.0,6090761.0,13424105.0,13741327.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,ES_CT,7455091.0,7654229.0,5965109.0,6094760.0,13420200.0,13748989.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,ES_CT,7459564.0,7661893.0,5957382.0,6095782.0,13416946.0,13757675.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,ES_CT,7458326.0,7670122.0,5950925.0,6097004.0,13409251.0,13767126.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,ES_CT,-7445694.0,224428.0,-5944913.0,152091.0,-13390607.0,376519.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,ES_CT,7464098.0,7688526.0,5947550.0,6099641.0,13411648.0,13788167.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,ES_CT,7452303.0,7693042.0,5938592.0,6100595.0,13390895.0,13793637.0,,,,,,,,,,,,,,,,,,,,,,,,
