date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-02,ES_EX,,1144813.0,,892457.0,,2037270.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,ES_EX,4755.0,1149568.0,79.0,892536.0,4834.0,2042104.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,ES_EX,8150.0,1157719.0,259.0,892795.0,8409.0,2050514.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,ES_EX,6864.0,1164583.0,199.0,892994.0,7063.0,2057577.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,ES_EX,9771.0,1174355.0,300.0,893294.0,10071.0,2067649.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,ES_EX,4599.0,1178954.0,126.0,893420.0,2063071.0,2072374.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES_EX,4051.0,1183005.0,117.0,893537.0,2065196.0,2076542.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES_EX,7365.0,1190371.0,138.0,893675.0,2069753.0,2084046.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES_EX,7945.0,1198316.0,239.0,893914.0,2074368.0,2092230.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES_EX,0.0,,0.0,,-2069908.0,22322.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,ES_EX,9049.0,1207366.0,97.0,894011.0,2079055.0,2101377.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,ES_EX,1184550.0,1212163.0,894075.0,894075.0,2078625.0,2106238.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES_EX,1188875.0,1217746.0,893915.0,894169.0,2082790.0,2111915.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES_EX,1193336.0,1224023.0,894025.0,894279.0,2087361.0,2118302.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES_EX,1204086.0,1235487.0,893960.0,894598.0,2098046.0,2130085.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES_EX,-1203146.0,32341.0,-893960.0,638.0,-2097106.0,32979.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,ES_EX,1213532.0,1246019.0,894134.0,894772.0,2107666.0,2140791.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES_EX,3794.0,1249813.0,59.0,894831.0,3853.0,2144644.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES_EX,1221691.0,1255411.0,893241.0,894962.0,2114932.0,2150373.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,ES_EX,1226693.0,1261349.0,891919.0,895053.0,2118612.0,2156402.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,ES_EX,1232180.0,1268866.0,892067.0,895202.0,2124247.0,2164068.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,ES_EX,-1231365.0,37501.0,-890742.0,4460.0,-2122107.0,41961.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,ES_EX,1238300.0,1275801.0,890897.0,895357.0,2129197.0,2171158.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,ES_EX,1240667.0,1279363.0,886778.0,895424.0,2127445.0,2174787.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,ES_EX,1244406.0,1283333.0,884712.0,895488.0,2129118.0,2178821.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,ES_EX,1248891.0,1288569.0,882362.0,895564.0,2131253.0,2184133.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,ES_EX,1256273.0,1296116.0,878786.0,895782.0,2135059.0,2191898.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,ES_EX,-1255826.0,40290.0,-874120.0,21662.0,-2129946.0,61952.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,ES_EX,1263552.0,1303842.0,874248.0,895910.0,2137800.0,2199752.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,ES_EX,1268601.0,1310002.0,869364.0,895969.0,2137965.0,2205971.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,ES_EX,1273845.0,1315726.0,868651.0,896041.0,2142496.0,2211767.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,ES_EX,1276275.0,1318819.0,867316.0,896106.0,2143591.0,2214925.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,ES_EX,1281941.0,1325604.0,866545.0,896321.0,2148486.0,2221925.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,ES_EX,-1280502.0,45102.0,-865820.0,30501.0,-2146322.0,75603.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,ES_EX,1284882.0,1329984.0,865907.0,896408.0,2150789.0,2226392.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,ES_EX,1284514.0,1331436.0,865305.0,896421.0,2149819.0,2227857.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,ES_EX,1286129.0,1333820.0,864134.0,896487.0,2150263.0,2230307.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,ES_EX,1286342.0,1335013.0,876101.0,909516.0,2162443.0,2244529.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,ES_EX,1289952.0,1340028.0,874676.0,910153.0,2164628.0,2250181.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,ES_EX,-1287446.0,52582.0,-873668.0,36485.0,-2161114.0,89067.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,ES_EX,1292890.0,1345472.0,874279.0,910764.0,2167169.0,2256236.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,ES_EX,1292181.0,1347134.0,873047.0,910936.0,2165228.0,2258070.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,ES_EX,1292265.0,1348698.0,873260.0,911289.0,2165525.0,2259987.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,ES_EX,1290649.0,1351122.0,873148.0,911514.0,2163797.0,2262636.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,ES_EX,1288921.0,1353172.0,873421.0,911932.0,2162342.0,2265104.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,ES_EX,-1284580.0,68592.0,-873324.0,38608.0,-2157904.0,107200.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,ES_EX,1284251.0,1355965.0,872849.0,912141.0,2157100.0,2268106.0,,,,,,,,,,,,,,,,,,,,,,,,
