date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-03,ES_ML,12.0,69206.0,6.0,58680.0,18.0,127886.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,ES_ML,790.0,69996.0,53.0,58733.0,843.0,128729.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,ES_ML,16.0,70012.0,-5.0,58728.0,11.0,128740.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,ES_ML,0.0,,0.0,,-127908.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,ES_ML,356.0,70368.0,87.0,58815.0,128351.0,129183.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES_ML,315.0,70683.0,41.0,58856.0,128534.0,129539.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES_ML,201.0,70884.0,22.0,58878.0,128757.0,129762.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES_ML,238.0,71123.0,28.0,58906.0,266.0,130029.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES_ML,187.0,71310.0,21.0,58927.0,129007.0,130237.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,ES_ML,-70021.0,1289.0,-58927.0,0.0,-128948.0,1289.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,ES_ML,70287.0,71576.0,58955.0,58955.0,129242.0,130531.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES_ML,70508.0,71805.0,58944.0,58973.0,129452.0,130778.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES_ML,128.0,71933.0,19.0,58992.0,147.0,130925.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES_ML,70786.0,72083.0,58813.0,59016.0,129599.0,131099.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES_ML,109.0,72192.0,14.0,59030.0,123.0,131222.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES_ML,121.0,72313.0,8.0,59038.0,129.0,131351.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES_ML,71266.0,72565.0,58733.0,59065.0,129999.0,131630.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,ES_ML,71546.0,72845.0,58662.0,59076.0,130208.0,131921.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,ES_ML,238.0,73083.0,3.0,59079.0,241.0,132162.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,ES_ML,-71780.0,1303.0,-58448.0,631.0,-130228.0,1934.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,ES_ML,4.0,1307.0,175.0,806.0,179.0,2113.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,ES_ML,72126.0,73433.0,58304.0,59110.0,130430.0,132543.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,ES_ML,265.0,73698.0,20.0,59130.0,285.0,132828.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,ES_ML,72677.0,73985.0,58100.0,59140.0,130777.0,133125.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,ES_ML,72945.0,74255.0,58082.0,59144.0,131027.0,133399.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,ES_ML,73347.0,74663.0,58096.0,59163.0,131443.0,133826.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,ES_ML,73735.0,75054.0,58270.0,59343.0,132005.0,134397.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,ES_ML,73930.0,75257.0,58281.0,59352.0,132211.0,134609.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,ES_ML,74072.0,75391.0,58278.0,59358.0,132350.0,134749.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,ES_ML,109.0,75500.0,-1.0,59357.0,108.0,134857.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,ES_ML,74119.0,75580.0,58277.0,59359.0,132396.0,134939.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,ES_ML,74131.0,75695.0,58301.0,59384.0,132432.0,135079.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,ES_ML,74020.0,75758.0,58307.0,59391.0,132327.0,135149.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,ES_ML,73999.0,75817.0,58148.0,59400.0,132147.0,135217.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,ES_ML,73505.0,75553.0,59027.0,60281.0,132532.0,135834.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,ES_ML,73497.0,75646.0,59092.0,60347.0,132589.0,135993.0,,,,,,,,,,,,,,,,,,,,,,,,
