date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-02,ES_PV,,2179403.0,,1810300.0,,3989703.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,ES_PV,14382.0,2193786.0,505.0,1810805.0,14887.0,4004591.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,ES_PV,14188.0,2207974.0,397.0,1811202.0,14585.0,4019176.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,ES_PV,15391.0,2223365.0,344.0,1811546.0,15735.0,4034911.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,ES_PV,26100.0,2249466.0,1701.0,1813247.0,27801.0,4062713.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,ES_PV,11691.0,2261157.0,666.0,1813913.0,4061967.0,4075070.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES_PV,13004.0,2274161.0,802.0,1814715.0,4073483.0,4088876.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES_PV,13865.0,2288026.0,755.0,1815470.0,4085725.0,4103496.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES_PV,12222.0,2300248.0,792.0,1816262.0,4096507.0,4116510.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES_PV,0.0,,0.0,,-4094046.0,22464.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,ES_PV,26916.0,2327164.0,2809.0,1819071.0,4123771.0,4146235.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,ES_PV,2311509.0,2337035.0,1819674.0,1819674.0,4131183.0,4156709.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES_PV,2319331.0,2347010.0,1820087.0,1820477.0,4139418.0,4167487.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES_PV,2324422.0,2357555.0,1820732.0,1821122.0,4145154.0,4178677.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES_PV,2332292.0,2367823.0,1820457.0,1821790.0,4152749.0,4189613.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES_PV,-2329393.0,38430.0,-1818746.0,3044.0,-4148139.0,41474.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,ES_PV,2348832.0,2391601.0,1819411.0,1822766.0,4168243.0,4214367.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES_PV,8878.0,2400480.0,881.0,1823647.0,9759.0,4224127.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES_PV,2366510.0,2410278.0,1819083.0,1824242.0,4185593.0,4234520.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,ES_PV,2373799.0,2418012.0,1817973.0,1824610.0,4191772.0,4242622.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,ES_PV,2379225.0,2423755.0,1818004.0,1824910.0,4197229.0,4248665.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,ES_PV,-2378968.0,44787.0,-1815858.0,9052.0,-4194826.0,53839.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,ES_PV,2391304.0,2436091.0,1816447.0,1825499.0,4207751.0,4261590.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,ES_PV,2395411.0,2440396.0,1813681.0,1825958.0,4209092.0,4266354.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,ES_PV,2398863.0,2444386.0,1812258.0,1826317.0,4211121.0,4270703.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,ES_PV,2402447.0,2448505.0,1810055.0,1826676.0,4212502.0,4275181.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,ES_PV,2405404.0,2451825.0,1808059.0,1826832.0,4213463.0,4278657.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,ES_PV,-2404578.0,47247.0,-1805720.0,21112.0,-4210298.0,68359.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,ES_PV,2410676.0,2457923.0,1806264.0,1827376.0,4216940.0,4285299.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,ES_PV,2411600.0,2460577.0,1803723.0,1827725.0,4215323.0,4288302.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,ES_PV,2413172.0,2462507.0,1801776.0,1828075.0,4214948.0,4290582.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,ES_PV,2415002.0,2464337.0,1801976.0,1828275.0,4216978.0,4292612.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,ES_PV,2414240.0,2465802.0,1795629.0,1828526.0,4209869.0,4294328.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,ES_PV,-2412044.0,53758.0,-1792401.0,36125.0,-4204445.0,89883.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,ES_PV,0.0,2469361.0,0.0,1828967.0,0.0,4298328.0,,,,,,,,,,,,,,,,,,,,,,,,
