date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-01-03,ES_RI,,314493.0,,259144.0,,573637.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,ES_RI,1493.0,315987.0,20.0,259164.0,1513.0,575151.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,ES_RI,720.0,316707.0,20.0,259184.0,740.0,575891.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,ES_RI,1203.0,317910.0,51.0,259235.0,1254.0,577145.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,ES_RI,1923.0,319833.0,90.0,259325.0,2013.0,579158.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,ES_RI,2284.0,322117.0,63.0,259388.0,577679.0,581505.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,ES_RI,6781.0,328898.0,1096.0,260484.0,584731.0,589382.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,ES_RI,2195.0,331093.0,108.0,260592.0,586300.0,591685.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,ES_RI,0.0,,0.0,,-585732.0,5953.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,ES_RI,325729.0,333490.0,260704.0,260704.0,586433.0,594194.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,ES_RI,1573.0,335064.0,101.0,260805.0,1674.0,595869.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,ES_RI,328789.0,336794.0,260844.0,260888.0,589633.0,597682.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,ES_RI,329680.0,337971.0,260919.0,260963.0,590599.0,598934.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,ES_RI,1453.0,339424.0,174.0,261137.0,1627.0,600561.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,ES_RI,233.0,8650.0,50.0,317.0,283.0,8967.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,ES_RI,332145.0,340994.0,260889.0,261206.0,593034.0,602200.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,ES_RI,1166.0,342160.0,73.0,261279.0,1239.0,603439.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,ES_RI,334252.0,343184.0,260860.0,261315.0,595112.0,604499.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,ES_RI,335389.0,344323.0,260707.0,261391.0,596096.0,605714.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,ES_RI,336078.0,345277.0,260364.0,261448.0,596442.0,606725.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,ES_RI,-336049.0,9228.0,-259856.0,1592.0,-595905.0,10820.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,ES_RI,337146.0,346374.0,259889.0,261481.0,597035.0,607855.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,ES_RI,337840.0,347140.0,259024.0,261514.0,596864.0,608654.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,ES_RI,338236.0,347973.0,258067.0,261545.0,596303.0,609518.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,ES_RI,339119.0,348936.0,257287.0,261588.0,596406.0,610524.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,ES_RI,339915.0,349856.0,256172.0,261605.0,596087.0,611461.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,ES_RI,340830.0,350931.0,255107.0,261628.0,595937.0,612559.0,,,,,,,,,,,,,,,,,,,,,,,,
